Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000560,99877,0.0004466618297347323,0.02479049230553581,100465,0.00046141358853749644,0.014880804260190115,800218,0.00047290799471477854,0.006480733999985004,0.00046913393445221287,0.009151874950027984,
500,999105,100013,0.00045080718563518735,0.024826772519572455,100031,0.0004623978201089114,0.014965360738171167,799061,0.00047724389049519833,0.006542679470027945,0.000473111110226883,0.00921624854244549,
1000,1000847,99715,0.0004558038323399152,0.025141653713082284,100087,0.0004662721012131156,0.015416587568815131,801045,0.0004818648024406526,0.006391650906004032,0.00047770902606188815,0.009162239583073137,
1500,999315,100008,0.00046073109770789356,0.025667946564274857,99978,0.00047907897700196855,0.015123327131969034,799329,0.0004893844230200656,0.006535481635221542,0.0004854858728733996,0.009309376923192387,
2000,997972,99566,0.0004725642627448977,0.0256211959905992,99827,0.0004839014543443627,0.015957606659520972,798579,0.0004994553992861003,0.00670941760301736,0.0004952166565532683,0.0095213092150882,
2500,1002179,100049,0.000481190995678667,0.026087217263540866,100694,0.0004926989239702862,0.016296899517349594,801436,0.0005106940901335044,0.00670172041186071,0.0005059406874392148,0.009601079248317915,
3000,999971,100083,0.0004922016631201782,0.027487185635922184,100031,0.0005081406141738277,0.016574861792844217,799857,0.0005239913056037485,0.006967495439809866,0.000519224004048905,0.009982289486395105,
3500,999886,100305,0.000513094515080503,0.02827376501669907,100153,0.0005297134991645991,0.017053907521492117,799428,0.000541711955915567,0.007170126640547992,0.0005376393377951525,0.010277171597562123,
4000,999491,100403,0.0005276545378210757,0.029550909833371514,100398,0.000545447354106091,0.018117890794637343,798690,0.000563166200994707,0.007516057544228675,0.0005578190649949303,0.010794494397648404,
4500,998690,99760,0.0005519508529716251,0.03009222133119487,99814,0.0005716473711244848,0.019546356222573988,799116,0.0005899090143868335,0.008118971463467132,0.0005842921824936822,0.011456007369654247,
5000,999563,99789,0.0005948071699767427,0.03313992524226117,100014,0.0006123814181713343,0.02019717239586458,799760,0.0006317610806309409,0.008405021506451936,0.0006261327897163039,0.012054267714991452,
5500,999350,100279,0.0006259528136188665,0.03454362329101806,100063,0.0006503944420848985,0.020766916842389294,799008,0.0006742203895588004,0.009037456445993032,0.0006669913706667797,0.012771301345874819,
6000,1000324,100008,0.0006905703691118983,0.038716902647788175,100315,0.0007133114782628743,0.02342620744654339,800001,0.0007373386766322235,0.009826237717202854,0.0007302534789333941,0.014078438585898169,
6500,999495,99587,0.0007654072184841876,0.04468454717985279,99559,0.0007992872360009222,0.026416496750670457,800349,0.0008296052838666182,0.010839021476880711,0.0008201888012782088,0.01576296029494895,
7000,1000074,100776,0.0008857043603131757,0.0497638326585695,99659,0.0009250544626450705,0.03129672182141101,799639,0.0009654766010720037,0.013119670251200855,0.0009534099367769764,0.018623621851982953,
7100,1000760,100431,0.0009320512886817067,0.052543537354004244,99973,0.0009791505652055944,0.032848869194682564,800356,0.0010188242167842986,0.013666418443792513,0.001006152861103056,0.019484192014069306,
7200,1000660,100034,0.0009644798926775362,0.05536117719975209,100312,0.0010138046552691149,0.032777733471568704,800314,0.001060833619744019,0.014499309021209175,0.0010464868703808302,0.02041652509343833,
7300,999258,99830,0.000989442035522732,0.05577481718922168,100004,0.0010322833977684629,0.03514859405623775,799424,0.0010856240670911428,0.014659304699383556,0.0010706768437449808,0.02081744654533664,
7400,1001174,99941,0.001034959481499261,0.0587046357350837,100580,0.0010911731555090576,0.037184330880890834,800653,0.0011463926777654386,0.015291268502085172,0.0011297215250820794,0.02182437818001666,
7500,1000396,99575,0.001066099657394968,0.06197338689430078,100485,0.0011248049862598898,0.03764741006120317,800336,0.001184546157033893,0.016490573958937247,0.0011667558002684273,0.023142835437166883,
7600,1000262,100607,0.0011103993219586323,0.06452831313924479,99772,0.0011796062535959963,0.039309625947159525,799883,0.0012370780410718763,0.01673619766890908,0.0012186040401862286,0.023794765771367903,
7700,1000194,99927,0.0011878036264129145,0.06797962512634223,99682,0.0012652372178104854,0.04188318853955579,800585,0.0013352915210044787,0.018171711935647056,0.001313574558201475,0.02551105085613391,
7800,1000739,100570,0.0012791090763577772,0.07292433131152432,100048,0.0013566299303699794,0.046557652326883095,800121,0.0014340677137477074,0.019448308443347943,0.0014107532576171386,0.02753265336916019,
7900,1000424,99932,0.0013189477838261912,0.07692230716887484,99638,0.0014242134098656088,0.04793351934001084,800854,0.0015051777556667962,0.02038698689149333,0.0014785116030825447,0.028777798213557453,
8000,999555,100146,0.0014122208046783444,0.0844666786491722,99402,0.0015280183807140834,0.051246453793686246,800007,0.0016182039629701766,0.02212730638606912,0.001588597771597325,0.031268914667026824,
8100,999481,100426,0.001486622197657474,0.0853464242327684,99667,0.0016054199643547016,0.05392958551978087,799388,0.0016985332370116951,0.023603056338098647,0.001667955668669579,0.03283103930940158,
8200,999896,99564,0.0016723479330754895,0.0970029327869511,99913,0.001809407476658045,0.061503508052005246,800419,0.001950414918615199,0.026908406721979364,0.0019086366357772009,0.037344883867922264,
8300,1000276,100071,0.0017857673614724615,0.10635448831329757,99668,0.0019391169623208522,0.06758438014207167,800537,0.0021045936116010685,0.028891856341430815,0.0020562089774030412,0.04049682287688598,
8400,999843,99842,0.0020146607960564735,0.12273391959295687,100460,0.0022373505255312634,0.07597053553653195,799541,0.0024636955894629707,0.03407580099081848,0.0023961138221596703,0.04713840072891444,
8500,999717,99813,0.0021352234046177116,0.13260797691683449,100266,0.002371745155069555,0.08387688747930505,799638,0.002628515132552462,0.03624264979903406,0.0025535116807729823,0.050641331496813595,
8600,998544,100156,0.002305567453482892,0.14343623946643236,99837,0.0025968045167563177,0.09101835992668049,798551,0.0028844614373540914,0.0402804579795154,0.002797636510430019,0.0557000993446458,
8700,997969,99838,0.002651311665727807,0.16780183897914622,99855,0.00303231456438767,0.10768614491011967,798276,0.0034261830733683593,0.047879430172020704,0.0033092542393461464,0.06586076321007968,
8800,1000148,99991,0.003426328777387383,0.23981158304247382,100201,0.004193125157023705,0.1626830071556172,799956,0.005132407686660114,0.07376655716064384,0.004867737272912246,0.09927530725452632,
8900,1000492,99915,0.0037541830538865414,0.2732022218886053,99975,0.004696584779777561,0.18232558139534882,800602,0.005829740848435134,0.08463506211575789,0.005509231903829555,0.1132282916804932,
9000,1000974,100103,0.0047834253320401445,0.45563070037861003,99841,0.0071411021253169225,0.32975430935186945,801030,0.01068444190723097,0.1693993982747213,0.0097408808862727,0.21401854593625808,
9100,999023,99400,0.004667888026655019,0.7055130784708249,99434,0.008888927898548345,0.5669489309491723,800189,0.018042396292825686,0.32835367644394015,0.015800613973525956,0.38962766622990663,
9200,999627,99951,0.0001688218447930013,0.9934067693169654,100139,0.0006303446142032775,0.9859595162723814,799537,0.004839986636892917,0.9522436109898604,0.003951218191617533,0.9597369818942465,
9300,999282,99955,0.00019686786092547252,0.9950577759991996,100228,0.0006849046773396806,0.9876182304346091,799099,0.004119139708671906,0.9551982920764511,0.0033823535049157566,0.9624370297873873,
9400,1000390,99796,7.122162714234577e-05,0.9967433564471522,99944,0.0002251465170608133,0.9935363803730088,800650,0.001352629607274567,0.9841766065072128,0.001112158830124056,0.9863653175261647,
9500,1000387,100194,7.408820100288054e-05,0.9961474739006327,100342,0.0001880211820705281,0.9934822905662634,799851,0.0009492223424712557,0.9860361492327946,0.0007852221735294243,0.9877957230551776,
