Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999578,100359,0.00042040367106686627,0.023027331878555983,99819,0.0004318048152706662,0.014656528316252417,799400,0.00044137325735714883,0.005918188641481111,0.00043831236663012497,0.008508590625243853,
100,999666,99902,0.00041999727910222877,0.023473003543472603,99639,0.00043091347802574507,0.014010578187255995,800125,0.00044089488992659997,0.00581659115763162,0.0004378116090938358,0.00839780486682552,
500,998530,99620,0.0004175180050333848,0.023388877735394498,99999,0.00042901931849032883,0.014040140401404014,798911,0.00044468643836522733,0.005931824696367931,0.0004404069318417502,0.008485473646260002,
1000,998952,99718,0.0004232257057577154,0.023726909885878177,100257,0.00043960376854623566,0.0139441634998055,798977,0.0004478616735065877,0.005920070289883188,0.0004445736654645669,0.008502911050781218,
1500,1000902,99667,0.0004269326206183241,0.022836044026608607,100427,0.00043647239119531196,0.014388560845191035,800808,0.00045419649868176225,0.006087601522462313,0.0004497032637022248,0.008588253395437315,
2000,1000967,99395,0.0004313414948225756,0.02418632728004427,100631,0.00044158129191454324,0.014200395504367441,800941,0.0004631611841692199,0.006122798058783356,0.0004578320133173485,0.008728559482979958,
2500,1000935,100319,0.00043162225512294376,0.02329568675923803,99548,0.0004454517587755318,0.014204202997548921,801068,0.00047125517656969193,0.006430165728752116,0.0004647166763861755,0.008893684405081249,
3000,1002490,100457,0.0004409355621530042,0.02342295708611645,100539,0.00044956375985469906,0.014352639274311461,801494,0.00048597126805865283,0.006568982425320714,0.0004778070705350136,0.009038494149567576,
3500,999076,100184,0.0004370155170742458,0.024115627245867605,99967,0.0004549684925134562,0.014954935128592436,798925,0.0005034492331738435,0.0068980192133178955,0.0004919365258169247,0.009430713979717259,
4000,999506,99600,0.0004406406575695765,0.024246987951807228,99780,0.00045577497264754523,0.015253557827219884,800126,0.0005267427702651493,0.007087633697692613,0.0005110780946446284,0.009612748697856742,
