Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999658,99806,0.00041911398256359547,0.02284431797687514,799986,0.00043016882638359944,0.01405149590117827,99866,0.0004436946453036302,0.006148238639777302,0.00043041634072347215,0.014139835823851758,
500,1000359,100370,0.000419825686512529,0.024310052804622895,799866,0.0004331180725870153,0.01401984832459437,100123,0.0004413367914825953,0.006162420223125555,0.0004326069820701999,0.014265878549600694,
1000,999105,99842,0.00042663771802558056,0.02397788505839226,798915,0.0004366322534387962,0.014387012385547899,100348,0.00044672677692802294,0.005829712600151473,0.00043664735779556663,0.014485964938620064,
1500,999813,100481,0.00042900439793477115,0.022959564494780108,799157,0.0004416090361349415,0.014137397282386315,100175,0.00045377230056789183,0.005879710506613426,0.0004415609555074422,0.01419665477444282,
2000,999829,100294,0.00042867070031261473,0.02427862085468722,799490,0.0004472281578862065,0.014325382431299953,100045,0.0004628954442740858,0.006057274226598031,0.00044693433966007975,0.014496478897891539,
2500,999843,99749,0.00044382588611755717,0.022927548145846074,800175,0.00045576140676746764,0.014623051207548348,99919,0.00046998838035607185,0.00616499364485233,0.0004559924317630925,0.014606293188030521,
3000,1000725,99772,0.00044814412877848287,0.02348354247684721,800942,0.00046711994517485033,0.014559106651917368,100011,0.0004907049815342245,0.005989341172471028,0.00046758511584394513,0.014592420495141022,
3500,999594,100029,0.0004576386874670272,0.024702836177508524,799314,0.0004789988212654682,0.014990354228751154,100251,0.0005132155259511832,0.005625879043600563,0.0004802929727286823,0.015023099378347608,
4000,1000558,100385,0.0004687280951523507,0.024376151815510286,800321,0.0004961785071715433,0.014420463788904702,99852,0.0005373650520957552,0.0062091896006089015,0.0004975346996893545,0.014599853281868717,
4500,1001708,100012,0.0004807109643487663,0.025586929568451787,800686,0.0005181897636927991,0.01495967208119038,101010,0.0005846869698788598,0.006623106623106623,0.0005211532551662336,0.015180072436278835,
5000,999676,99848,0.0004985663048671429,0.02397644419517667,800078,0.0005474006507586729,0.015049782646191997,99750,0.0006332527202965963,0.00637593984962406,0.0005510895781389648,0.01507588458660606,
5500,1000433,99602,0.000521954416820758,0.02472841910805004,801132,0.0005836276759588964,0.01516978475457228,99699,0.000703796348155281,0.006539684450195087,0.0005894630657277682,0.01526139181734309,
6000,1001139,99985,0.0005492290255690129,0.025923888583287494,800985,0.000641806563199594,0.015424758266384514,100169,0.000847677091638599,0.006069742135790514,0.0006531591125091444,0.01553730301186948,
6500,1001363,100063,0.0005892748282731037,0.02498425991625276,801011,0.000719894439041976,0.015423009172158685,100289,0.0010572029587339123,0.0063715861161244,0.0007406243282220603,0.015471911784238084,
7000,999059,99523,0.0006480942185162896,0.025531786622187837,799795,0.0008425257394243168,0.015468963922005015,99741,0.0013958420282446514,0.00690789143882656,0.0008783974063708283,0.01561669531028698,
7100,999886,99432,0.0006616653025882039,0.025806581382251188,800602,0.0008654837948676553,0.015458367578397256,99852,0.0014589966770545673,0.006469574970957017,0.0009044856090622479,0.015589777234604744,
7200,999379,99871,0.0006710221663697202,0.025572989156011253,799337,0.0008993901950331521,0.01556164671471482,100171,0.0016037494547664097,0.00660869912449711,0.0009471688936210496,0.015664727795961293,
7300,1000151,99773,0.0006968082047516341,0.02614935904503222,800312,0.0009610815588258763,0.015550185427683204,100066,0.001740769433421017,0.006105970059760558,0.0010127266619184977,0.01566263494212374,
7400,1000962,99698,0.0007017169448761485,0.026580272422716603,801527,0.0009980865545029447,0.0158435087027636,99737,0.001905669589316512,0.0068881157444077926,0.0010590001074675926,0.01602058819415722,
7500,999333,100141,0.0007246101533841284,0.02514454618987228,799481,0.0010382470411155979,0.01544376914523297,99711,0.001992010558136782,0.006799650991365045,0.0011019823550413837,0.01555337410052505,
7600,1001015,99730,0.0007406893966485007,0.02632106688057756,800760,0.0011131627517537847,0.016036015785004246,100525,0.0022462385971113914,0.006674956478487939,0.001189840605382264,0.016120637552883822,
7700,1000111,99508,0.0007663946763558127,0.02633959078667042,800104,0.0011468644695984626,0.015661713977182967,100499,0.0024372845496774004,0.006587130220201196,0.0012386804174701247,0.015812244840822668,
7800,1000235,100127,0.0007944108585522276,0.026166768204380436,799255,0.0012389649014519835,0.01595235563118154,100853,0.0027384284434855935,0.007149018869047029,0.001345653363614692,0.016087219503416697,
7900,1000698,100113,0.0008413717235841717,0.02625033711905547,800937,0.0013647249868377236,0.015720337554639127,99648,0.0032380325609948648,0.006593208092485549,0.0014989082148501197,0.015864926281455544,
8000,1000298,99910,0.0008509296081161415,0.026393754378941047,800421,0.0014363561875549628,0.015840413982141897,99967,0.003471027766558172,0.006532155611351746,0.001581223061413079,0.015964242655688604,
8100,1000180,100103,0.0008776923155768415,0.02577345334305665,800152,0.0014803422922824159,0.015986962477129347,99925,0.003646309337371155,0.006494871153365024,0.0016364213844081875,0.01601811673898698,
8200,999588,99967,0.0009338983403960683,0.026678804005321757,799649,0.001674227847263566,0.01626713720644933,99972,0.004435014361736923,0.0065918457168007046,0.0018763039322224984,0.016340732381741278,
8300,1001475,99862,0.0009899936920295853,0.027117422042418536,801318,0.001891611688267081,0.016233255711215772,100295,0.005342501823270232,0.006929557804476794,0.0021473041915746074,0.01638682942659577,
8400,998835,99256,0.0010296806740245636,0.025781816716369792,799589,0.001986812497877905,0.015941940171763244,99990,0.006022544730268154,0.006900690069006901,0.0022957041462565156,0.01601465707549295,
8500,999484,100086,0.001096346778770706,0.02723657654417201,799639,0.0021515165083589092,0.01602723228857022,99759,0.006744929153680345,0.006696137691837328,0.0025043250921171927,0.01621836867823797,
8600,1000315,100147,0.001188059772132871,0.02695038293708249,800242,0.0024723703856041907,0.015987663731721155,99926,0.008071714307427083,0.006945139403158337,0.0029031348805130352,0.016181902700649297,
8700,1001466,100704,0.0013458313999445992,0.02628495392437242,800314,0.0030023857936992025,0.01611867342068238,100448,0.010736476319928238,0.007018556865243708,0.003611545037757469,0.0162282094449537,
