Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,998940,99891,0.0004170679541032072,0.023375479272406924,798985,0.00042819725673219606,0.014165472443162262,100064,0.00043609435255124524,0.006026143268308283,0.00042787541340539496,0.014271127395038741,
500,1000239,99893,0.0004163146696967565,0.023234861301592705,800414,0.00043063325746377245,0.013946532669343615,99932,0.0004441337743502799,0.005904014730016411,0.0004305520838299629,0.014070637117728864,
1000,998850,99888,0.0004181666667987557,0.023676517699823804,799235,0.0004343141428112253,0.014371242500641238,99727,0.0004497787443216978,0.005986342715613625,0.0004342433606426371,0.014464634329478901,
1500,998331,99908,0.0004281318745540051,0.023021179485126317,798888,0.000439687787895465,0.014308639008221428,99535,0.00045085453031320355,0.0061586376651429145,0.0004396446694472089,0.01436798015888518,
2000,999841,100163,0.0004274028270416155,0.022922636103151862,799896,0.00044536087649727353,0.014605648734335463,99782,0.0004635777442653586,0.006153414443486801,0.00044537986290812314,0.014595320655984302,
2500,1000185,99622,0.00043023302226662775,0.02371966031599446,800108,0.00045418065421113827,0.014824248726421933,100455,0.00047246098655930974,0.00621173659847693,0.00045363139562043574,0.014845253628078805,
3000,999949,99659,0.000433908343371244,0.023921572562437914,800419,0.00046432717104471355,0.01497715571469443,99871,0.0004910288950103259,0.006788757497171351,0.00046396237036694436,0.015050767589147047,
3500,1000283,99789,0.0004384575201092694,0.024231127679403542,800368,0.0004774521979700699,0.015694030745856905,100126,0.0005199738979101673,0.007021153346783053,0.00047781838215909297,0.015677563249600363,
4000,998563,99914,0.0004417697570732511,0.02456112256540625,798381,0.0004935147006689497,0.01585458571784649,100268,0.0005537391790054073,0.007180755575058842,0.0004943844942617686,0.015854783323636067,
4500,1000838,100391,0.000440897890651622,0.02412566863563467,799919,0.0005126674543360066,0.0168104520582709,100528,0.0005987555160594474,0.009091994270253064,0.0005141154832888635,0.016768947621892853,
5000,1001407,100169,0.00044327650066777036,0.024907905639469298,800959,0.000536998244654426,0.017535229643464895,100279,0.0006827468998641533,0.009333958256464464,0.0005422184158958771,0.01745144581573726,
5500,1000569,100176,0.00045162945970950413,0.02585449608688708,800786,0.0005631727436895043,0.018338232686385625,99607,0.0007713172268604317,0.010410914895539471,0.0005727259954084909,0.018301586397339913,
6000,999582,99470,0.00045658463149433865,0.024570222177540967,800507,0.0006021397890501798,0.019886147154241,99605,0.0009317423061420454,0.012419055268309824,0.000620499150456102,0.019608196226022476,
6500,1000072,99965,0.0004612597893397946,0.02582904016405742,800584,0.0006496418483121156,0.02146433103834201,99523,0.0011397705128563104,0.01623745264913638,0.000679587154806298,0.021380460606836307,
7000,999591,100018,0.0004641576293712976,0.02578535863544562,800144,0.0007043838574056825,0.023113339598872202,99429,0.0014987608303744628,0.020788703496967684,0.0007593635052514145,0.02314946813246618,
7100,998717,99992,0.0004686773827786227,0.026102088167053363,799185,0.0007270464922337884,0.02379424038238956,99540,0.0016872109246811376,0.02407072533654812,0.0007968760071145658,0.024052859819147968,
7200,998344,99569,0.0004679389239845733,0.02588154947825126,798567,0.0007411770235828832,0.02457151372395804,100208,0.0017554453797583131,0.024738543828836022,0.0008157322461281411,0.024718934555624114,
7300,999120,100398,0.0004613333612582976,0.02580728699774896,798962,0.0007410118162242712,0.024406667651277532,99760,0.001789466524688661,0.025110264635124297,0.0008175938926462559,0.024617663543918648,
7400,1000379,100410,0.00046710555850783275,0.02613285529329748,799955,0.0007647203181540462,0.025208918001637593,100014,0.0019314462426494137,0.027006219129321895,0.0008514928599571084,0.02548134257116553,
7500,999170,99584,0.0004660145946622431,0.025626606683804627,799948,0.0007669503258420433,0.025520408826573728,99638,0.002068576782017637,0.02899496176157691,0.0008667562377355476,0.025877478306994807,
7600,1000482,100283,0.00047017148176065597,0.026036317222261,800233,0.000792198338206274,0.026041165510545052,99966,0.0023138796543563287,0.0335614108796991,0.0009119631867545658,0.02679208621444464,
