Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,100131,33572,0.0004487866792791164,0.02576551888478494,33568,0.00045692606029638835,0.014805767397521449,32991,0.00047289740922205686,0.005789457730896305,0.00045945929648592875,0.015509682316165823,
100,100023,33217,0.0004489896832521487,0.023451846945840984,33499,0.0004646956232437864,0.014627302307531568,33307,0.00047642222681949494,0.006455099528627616,0.0004633846625306887,0.014836587584855484,
500,99755,33161,0.00044965321172963144,0.026024546907511836,33381,0.0004641287635238255,0.015248195081034121,33213,0.00047527463870736004,0.007075542709180141,0.00046302770773136843,0.016109468197082852,
1000,100180,33364,0.0004511878591832993,0.024637333653039203,33349,0.00046717687148999966,0.01412336201985067,33467,0.0004838498742883649,0.006513879343831237,0.0004674218103805198,0.015082850868436814,
1500,99927,33234,0.0004600382541533,0.02665944514653668,33167,0.0004651971564000719,0.015406880332860976,33526,0.00048630519310258305,0.005965519298454931,0.0004705632444565458,0.01598166661663014,
2000,99490,33249,0.00046867233985396393,0.026557189689915488,33056,0.00048185415973880415,0.015791384317521782,33185,0.0004997393271245309,0.007352719602229923,0.0004834144869108219,0.016574530103527992,
2500,100288,33391,0.0004785935130037766,0.0268934742894792,33448,0.0005020020051514373,0.016264051662281752,33449,0.0005148105757113682,0.006128733295464738,0.0004984801572270245,0.01642270261646458,
3000,99829,33332,0.0004923092094269813,0.027211088443537743,33130,0.0005111653793151794,0.016540899486869907,33367,0.0005222308108414837,0.006593340725866874,0.000508568001789858,0.016778691562571998,
3500,100489,33449,0.0005098517349060438,0.027265389099823612,33626,0.0005312986783882488,0.017248557663712603,33414,0.0005453550684495572,0.007601604118034357,0.0005288337459575534,0.017375036073600095,
4000,99332,33004,0.0005352250873643126,0.031087140952611805,33311,0.0005470225296295265,0.018852631262946173,33017,0.0005649971353879357,0.007147832934548869,0.0005490773032553952,0.01902710103491322,
4500,100712,33763,0.0005559440751467566,0.030684477090305955,33597,0.0005789596460685883,0.01904931987975117,33352,0.0005970171016640587,0.007645718397697289,0.0005772237808091078,0.019173484788307254,
5000,100402,33345,0.0005901925627470745,0.031399010346378764,33611,0.0006147466250071554,0.020915771622385528,33446,0.0006321813287858208,0.008670693057465765,0.0006123997185363571,0.02031832035218422,
5500,99690,33366,0.000632970455951802,0.03416651681352275,33014,0.0006578259686727352,0.021112255406797117,33310,0.0006715476426129255,0.009726808766136295,0.0006540917919398696,0.021677199317885445,
6000,99427,33017,0.0006799503856389622,0.03798043432171306,33087,0.0007060806048414317,0.024027563695711306,33323,0.0007370608050424001,0.009843051345917234,0.0007077864972437861,0.023906987035714644,
6500,100600,33397,0.0007614502095287421,0.04215947540198221,33833,0.0007825231190341992,0.026010108473975113,33370,0.0008120386253238977,0.011387473778843273,0.0007853179548804488,0.026520874751491053,
7000,99380,33031,0.0008572064986072124,0.047107262874269626,33100,0.000896583309732307,0.02918429003021148,33249,0.0009321469610012676,0.01263195885590544,0.0008953939395649478,0.029603541960152947,
7100,100597,33436,0.0009923954502824405,0.05583801890178251,33504,0.0010423280438472565,0.03453319006685769,33657,0.001089557043895909,0.01527171167959117,0.0010415331916767535,0.035170034891696574,
7200,100042,33558,0.0009359810936456728,0.053847070743190895,33419,0.0009694408476345177,0.03306502289116969,33065,0.0010295501221989356,0.013942234991683048,0.0009780839249332186,0.03371583934747406,
7300,100738,33887,0.0009763647556754782,0.05550801192197598,33600,0.0010509818737340238,0.033511904761904764,33251,0.0010941042319013538,0.013954467534810984,0.0010401151824335464,0.034455716809942624,
7400,99751,33382,0.0010308274673397522,0.05874423341920795,33156,0.0010696116643536245,0.03495596573772469,33213,0.0011265014396545118,0.0158973895763707,0.0010755743719189751,0.03657106194424116,
7500,99953,33213,0.0010926462443549157,0.06084966729894921,33504,0.0011323783256400178,0.03730897803247373,33236,0.0011944441286131106,0.016939463232639305,0.0011398137944292645,0.03835802827328844,
7600,100034,33439,0.0011391421923448823,0.06393731869972188,33305,0.001200809871222161,0.04080468398138418,33290,0.0012595205261062823,0.01586061880444578,0.0011997339589035014,0.040236319651318554,
7700,99576,33196,0.0011584681953464462,0.06802024340281962,33170,0.0012304419446392775,0.04166415435634609,33210,0.001304998785892129,0.01707317073170732,0.0012313135614594288,0.04224913633807343,
7800,100057,33431,0.0012722784014805634,0.07164009452304747,33389,0.0013791123455356928,0.045853424780616374,33237,0.001457535333595134,0.019947648704756748,0.0013694676357245263,0.04586385760116733,
7900,100314,33535,0.0013843874339696063,0.08164604144923214,33403,0.0014672160836052882,0.048468700416130286,33376,0.001549347346722896,0.020044343240651966,0.0014668527671417761,0.05010267759235999,
