Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,300310,99999,0.0005074870694844938,0.02855028550285503,99954,0.0005250565642894425,0.017878223983032196,100357,0.0005508517725860598,0.007483284673714838,0.0005278263615257103,0.017958109953048515,
100,300795,100720,0.0005101390775562188,0.02750198570293884,100042,0.0005335967981343316,0.01720277483456948,100033,0.0005463684992605228,0.007727449941519298,0.0005299894574608791,0.017500290895792817,
500,300073,99996,0.0005160781576564572,0.028981159246369854,99974,0.0005281391152228047,0.017914657811030868,100103,0.0005537433972427989,0.007622149186338072,0.0005326614078990623,0.018168912231357037,
1000,299628,99335,0.0005187852514162126,0.028479387929732723,100227,0.0005373424534857252,0.017340636754567134,100066,0.0005617616656816737,0.007315171986488917,0.0005393454479322544,0.017685263059527147,
1500,299226,99699,0.0005279416039998295,0.02924803659013631,99235,0.0005503307496610994,0.018068221897515998,100292,0.0005738996727583688,0.007986678897618952,0.0005507705476799473,0.018414175238782728,
2000,301269,100058,0.0005327381296442635,0.029882668052529534,100671,0.0005675096550831849,0.018088625324075455,100540,0.0006025471902788993,0.0080664412174259,0.0005676540592409543,0.01866106370054669,
2500,300370,99989,0.0005376051330193493,0.03047335206872756,100400,0.000586654650814434,0.01896414342629482,99981,0.0006349923134957399,0.00881167421810144,0.0005864163967202334,0.019416053533974763,
3000,300858,100425,0.0005473363949487541,0.03185461787403535,100051,0.0005997716713754958,0.01990984597855094,100382,0.0007363176993493863,0.010699129325974777,0.0006278279329504536,0.02082377733016905,
3500,300446,100606,0.000563680151454653,0.03101206687473908,99870,0.0006273614067512167,0.02134775207770101,99970,0.0007644800835511335,0.010293087926377913,0.000651662072259553,0.0209055870272861,
4000,299980,99499,0.0005723694309879647,0.03173901245238646,100495,0.000659378049128121,0.022090651276182895,99986,0.0008678620726973817,0.011211569619746765,0.0007000081347480576,0.021664777651843457,
4500,299186,99855,0.0006017308362553105,0.04047869410645436,99261,0.0007570751231238216,0.03422290728483493,100070,0.0013878747005704932,0.030008993704406916,0.0009162142872218428,0.03490136570561457,
5000,299819,99780,0.0005995842869525001,0.03886550410903989,99851,0.0007667504016190006,0.029854483179938107,100188,0.0014423118282340136,0.029015450952209844,0.0009368640811665928,0.03257298570137316,
5500,299945,99940,0.0006105344866042103,0.033760256153692214,99447,0.0008184450682147041,0.02682836083541987,100558,0.0016710133710350348,0.02311104039459814,0.0010349980358215882,0.027891780159695945,
6000,300543,99843,0.000637815432215629,0.036196829021563855,100578,0.0009149056326919483,0.03057328640458152,100122,0.002687564240278248,0.03898244142146581,0.0014133920663224144,0.035242877059189534,
6500,299404,99600,0.0006610510452593542,0.038323293172690766,99611,0.0010557511141324253,0.037214765437552075,100193,0.004329622340290696,0.06805864681165351,0.002020022977242918,0.04790517160759375,
7000,299277,99879,0.0006700208302907148,0.03886702910521731,99412,0.00117569097855485,0.041524162072989174,99986,0.009605966805957798,0.1673034224791471,0.0038234177672497754,0.08265920869295001,
7100,299768,99610,0.0006671263989080531,0.03734564802730649,100223,0.001179455391981311,0.04069924069325404,99935,0.010922593280207388,0.1913343673387702,0.004257326925500021,0.08980278081716528,
7200,300338,100317,0.0006852041849442187,0.03996331628736904,99575,0.0011972342828215682,0.03948782324880743,100446,0.01398409908750045,0.27820918702586467,0.005302689133163597,0.11948537980541923,
7300,300709,100604,0.0007066108950408306,0.042682199514929825,99930,0.0013135249938621774,0.04915440808565996,100175,0.014340504656163723,0.5919740454205141,0.005450147780919555,0.227818256187876,
