Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999554,799980,0.0004157973143826857,0.023044326108152702,99873,0.0004320589104671337,0.014017802609313828,99701,0.0004383133625383538,0.00610826370848838,0.0004196680076147777,0.020453122092453233,
500,998502,798286,0.0004193160506659863,0.023114522865238775,100072,0.00043223549258297186,0.012940682708449915,100144,0.00043915388887143584,0.005522048250519252,0.00042260048561029804,0.02033045502162239,
1000,1001289,801124,0.0004219728784636235,0.023142484808843573,99762,0.00043432436276680367,0.01381287464164712,100403,0.0004431532917554711,0.005308606316544327,0.0004253273403750129,0.02042467259702244,
1500,1001363,801777,0.00042702942644806685,0.023181009183351482,99796,0.0004414464636329875,0.01417892500701431,99790,0.0004540351833638038,0.005571700571199519,0.00043115746705424813,0.020529018947175,
2000,999872,799318,0.0004314138238742164,0.023585106303123413,100111,0.0004412349262425022,0.014094355265655122,100443,0.00045954375515315027,0.005784375217785211,0.0004352229665111092,0.020846668373551813,
2500,1000476,799616,0.00043906810598359547,0.02370262726108532,100569,0.00045198992091721843,0.014408018375443725,100291,0.00047468382506919,0.006142126412140671,0.0004439372583559419,0.02100800019190865,
3000,1000566,800290,0.0004497535290787728,0.024041285034175113,99894,0.00046791886772464686,0.014805694035677818,100382,0.0004917967338136978,0.006375645035962623,0.0004557851045234708,0.021346917644613148,
3500,999784,799139,0.00045922899922625653,0.024243592166068733,100082,0.0004823351964385442,0.014608021422433604,100563,0.0005133053793121582,0.006364169724451339,0.0004669812711569748,0.021480639818200732,
4000,1000679,800455,0.0004757762926802332,0.02432366591501084,100370,0.0005059654890572145,0.01497459400219189,99854,0.0005471371027178986,0.00612894826446612,0.00048592515356954907,0.021570353729817453,
4500,999010,799090,0.0004947665308032818,0.024455317924138707,99973,0.0005322955454785936,0.014563932261710662,99947,0.0005914444405488988,0.00658348924930213,0.0005081943796030652,0.021677460686079217,
5000,1000206,800550,0.0005172936456126035,0.02477421772531385,99605,0.000574517407341614,0.014326590030620952,100051,0.0006634228090333467,0.006006936462404174,0.0005376096022419631,0.02185649756150233,
5500,999800,800324,0.0005492437400198803,0.025268516250918378,99671,0.0006257031183647782,0.015039479888834265,99805,0.0007533581508429368,0.006602875607434497,0.000577241761095309,0.022385477095419083,
6000,1002676,802169,0.0005939394666703487,0.025073270096450998,100092,0.000693645644110701,0.014966231067417976,100415,0.0008991061008831603,0.006722103271423592,0.000634454147670814,0.02222652182758937,
6500,999840,799423,0.0006583153747337436,0.02531325718674594,99942,0.0008108956773763103,0.01461847871765624,100475,0.001124672858278871,0.006737994526001493,0.0007204317621216179,0.02237758041286606,
7000,997643,798310,0.0007341847728772423,0.025324748531272312,100072,0.0009649130397565231,0.015378927172435846,99261,0.001499865126775515,0.006911072828200401,0.0008335105203955695,0.02249502076394061,
7100,999865,799922,0.0007670113534148762,0.02553373953960511,99763,0.001044932468567637,0.014835159327606427,100180,0.0016789434933732346,0.007067278897983629,0.0008861110378643078,0.022616053167177567,
7200,998359,798585,0.0008064352800674894,0.026013511398285716,99565,0.0010993433328108774,0.01563802541053583,100209,0.0018230642643244242,0.006686026205231067,0.0009376894322860713,0.023038806681764775,
7300,999038,799208,0.0008025175246211314,0.025773015285132282,99766,0.0011101314464007127,0.015626566164825693,100064,0.0018279491929971943,0.006975535657179405,0.000935944085957791,0.022877007681389498,
7400,1001488,801187,0.0008303949087165951,0.02557829820004568,99896,0.0011736737583963794,0.01565628253383519,100405,0.002022041940982283,0.00633434589910861,0.0009841056913143505,0.02265928298691547,
7500,1000584,801478,0.0008788463212987883,0.025370627765203786,99628,0.0012791906892886328,0.016471273136066167,99478,0.00226275475088144,0.00623253382657472,0.001056296641763732,0.02258181222166255,
7600,998710,798921,0.0009295437409689466,0.026047631743313794,100021,0.001386633656997065,0.01585667009927915,99768,0.002509032244403539,0.006575254590650309,0.001133107337510198,0.023081775490382594,
7700,999275,799204,0.0009585257575479897,0.025930801147141407,100085,0.0014543792359024226,0.01589648798521257,99986,0.002750148159977857,0.006760946532514552,0.0011874563851634388,0.023007680568412098,
7800,1000461,800217,0.0009744756658131695,0.025937964327176252,100343,0.0014873796267091456,0.015825717787987203,99901,0.00282349894891118,0.006696629663366733,0.00121055243157715,0.02300239589549218,
7900,998727,798594,0.0010359388208380524,0.026114646491208298,100088,0.0016498996681198,0.016215730157461434,100045,0.003268288361946212,0.006836923384476985,0.0013210873380233002,0.023191522808535266,
8000,1001190,800795,0.0011065756419982686,0.02609032274177536,100368,0.0017937433103665556,0.01602104256336681,100027,0.003796005619400505,0.0067581752926709785,0.0014441591744830283,0.02314945215193919,
8100,1000961,801259,0.0011314451941572623,0.025843079453709724,99595,0.0018741696770838156,0.016105226165972188,100107,0.0041272539197522605,0.006323234139470766,0.0015049593160563306,0.02292197198492249,
8200,1000013,799146,0.0012473210827873605,0.026192960985852397,100901,0.00215336196835039,0.016213912647050077,99966,0.004801660588660207,0.006942360402536862,0.0016940488097651812,0.023261697597931227,
8300,999930,800373,0.001335610508519485,0.026177794603266226,99699,0.002347936959240411,0.015877792154384698,99858,0.005632331774594675,0.00670952752909131,0.0018656375374096672,0.02320662446371246,
8400,1001465,801104,0.0014272564821041162,0.02606153508158741,100160,0.0025903265772069728,0.015764776357827477,100201,0.006319934846656482,0.00663666031277133,0.002033113267445677,0.023088175822420155,
8500,998594,798441,0.0015428957108252694,0.026544228064440577,100358,0.0029064703534082753,0.014816955300025907,99795,0.0075299550031438225,0.006803948093591863,0.0022782538303986353,0.023392890403907896,
8600,1000304,800678,0.0017460041482069142,0.026999617823894248,99987,0.003405300405900306,0.016542150479562343,99639,0.009105744699188708,0.006965144170455344,0.0026449561104876524,0.02395871655016875,
8700,999586,799547,0.0019382727111877677,0.026700118942351105,100353,0.00394632386089687,0.016212768925692306,99686,0.010760888296377518,0.006831450755371868,0.003019725646955057,0.023665797640223054,
8800,998390,798730,0.002043147538637785,0.02694151966246416,99855,0.004202884989933652,0.017295077862901208,99805,0.012063196116721447,0.00669305145032814,0.003260819522065781,0.02395256362744018,
8900,1001345,801212,0.0024410548477286115,0.027409724267734383,100026,0.00516046635821546,0.01674564613200568,100107,0.015599567645616085,0.007961481215099844,0.004028191245679327,0.0244001817555388,
9000,999825,799849,0.002637884700294117,0.028860447409448535,99933,0.005804928596238756,0.01837230944732971,100043,0.018114546628321158,0.008556320782063713,0.004503034988513555,0.02578051158952817,
9100,999562,799300,0.003285685928191782,0.028237207556612035,100183,0.007341467330170278,0.01784733936895481,100079,0.023402506236021487,0.008393369238301742,0.005706337781485232,0.025209041560203368,
9200,1000649,800363,0.0038552605228249193,0.028960609123610162,99975,0.008700020416546968,0.018554638659664915,100311,0.02806191315101006,0.009699833517759767,0.006765919907045295,0.02599013240406976,
9300,1001494,801963,0.005224995297924202,0.04302567574813302,99850,0.011546121093904765,0.033340010015022535,99681,0.036226713952047754,0.023585236905729275,0.00894089047841488,0.040125053170563175,
9400,1000555,799847,0.006356337634296818,0.06915072507617082,100038,0.01379035767356879,0.05929746696255423,100670,0.042643191920893136,0.050034767060693354,0.010750580946978727,0.0662422355592646,
9500,999703,799625,0.00722489887754167,0.1264305143035798,99908,0.01526843672659927,0.11434519758177523,100170,0.046436844533690215,0.10845562543675752,0.011957778918713882,0.12342165623190088,
