Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000939,801043,0.0005096652468100538,0.028363021710445007,99833,0.000527532025419153,0.017759658629911954,100063,0.0005471628103682192,0.007425322047110321,0.0005151958663694901,0.025212325626236962,
500,1001149,801309,0.0005153195610442242,0.02862940513584647,100297,0.0005321492947530447,0.017587764339910467,99543,0.0005509575426601373,0.007675075093175813,0.0005205490357835377,0.025439769704609403,
1000,1000547,800628,0.000522525611449341,0.02883736267030381,100421,0.0005408743757677815,0.01750629848338495,99498,0.0005665874225404374,0.008030312167078736,0.0005287488706681076,0.02563097985401985,
1500,999426,799520,0.000530741168810383,0.032278116870122074,99750,0.0005590728900085589,0.021283208020050126,100156,0.0005869892615587588,0.011442150245616838,0.0005392057006184719,0.029092699209346165,
2000,999604,799644,0.0005418956207147471,0.03203050357409047,99527,0.000573831616094139,0.02055723572497915,100433,0.0006120883166711615,0.010156024414286141,0.0005521278295145501,0.02869036138310771,
2500,1000381,800054,0.0005600077201384521,0.031762856007219516,100276,0.000604971500988952,0.02126131876022179,100051,0.000654978507708324,0.010334729288063088,0.00057401309444655,0.028567115928831117,
3000,997971,798434,0.0005765756991199358,0.03209783150517137,99877,0.0006444229230737975,0.021025861810026334,99660,0.000700489700326536,0.00964278547060004,0.000595740230501186,0.028747328329179905,
3500,1000346,800302,0.0006044297672365256,0.034546958523157506,100112,0.0007046882332843894,0.024342736135528207,99932,0.0008016577192132242,0.01093743745747108,0.0006341659377714571,0.03116721614321445,
4000,999403,799766,0.0006279298628901381,0.0353303341227309,99920,0.0007640287891514143,0.025240192153722977,99717,0.000921408927406475,0.013197348496244371,0.0006708193244870984,0.032113171563423366,
4500,1000709,800286,0.0006395101723913419,0.07635895167477627,100324,0.0008379611360530119,0.0749172680515131,100099,0.0010679835579790586,0.06782285537318056,0.0007022648312405763,0.07536056935632636,
5000,999159,798794,0.0007064378043499871,0.04018808353593042,100391,0.001044211163365335,0.035501190345748126,99974,0.0014675630671243463,0.020265268969932183,0.000816532536325087,0.037723725653274406,
5500,997741,797656,0.0007648819087494614,0.04863750789814156,99874,0.0012599942067836698,0.051314656467148605,100211,0.00205803112019991,0.03771043099060981,0.0009443238894664114,0.04780799826808761,
6000,999956,799423,0.0008332681765351604,0.05006861198639519,100467,0.001621024442210763,0.0635731135596763,100066,0.0033046788349553285,0.054913756920432516,0.001159730228554545,0.05191028405249831,
6500,1000127,800011,0.0009453632277728704,0.055882981609002874,100447,0.002221284605854378,0.0865829741057473,99669,0.005695014698578389,0.09637901453812119,0.0015468423270351293,0.06300199874615924,
7000,1001275,801651,0.001084562536507653,0.06487735934964217,99826,0.0031638657905542714,0.13808025965179413,99798,0.010529812948845557,0.2243131124872242,0.0022332835445113674,0.08806671493845347,
7100,999956,800141,0.0010954966275648966,0.06657326646178612,100031,0.0032513271138389934,0.14547490278013817,99784,0.01200077817877247,0.2789024292471739,0.002399376491957153,0.09565420878518655,
7200,998696,799357,0.0011439199803618513,0.06697758323252315,99616,0.0036860378491551608,0.16396964343077416,99723,0.013670070282740884,0.3617520531873289,0.0026482625432857794,0.1060863365829041,
