Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000212,799517,0.0004184379585262919,0.023246535095563948,100298,0.0004292896887790793,0.014267482900955154,100397,0.0004394554995393205,0.005806946422701874,0.0004216357854929541,0.020595633725650164,
500,1000781,800155,0.0004202935155245082,0.023546687829233085,100527,0.00042987459843633023,0.013827131019527093,100099,0.0004448879185511836,0.006044016423740497,0.00042371587533193353,0.020819739783229298,
1000,998900,799153,0.0004255801710482555,0.023449827504870784,99778,0.00043947484363791053,0.014041171400509131,99969,0.0004491911348156192,0.0065520311296501915,0.0004293310440871111,0.020818900790869958,
1500,999878,799324,0.00042788599904452606,0.0237750899510086,100848,0.0004464276641669442,0.014239251150245914,99706,0.0004514101762136665,0.005776984333941789,0.0004321019048381221,0.02101856426484031,
2000,1000136,800784,0.00043441307418230426,0.02410887330416192,99941,0.00045233281575104793,0.014578601374811139,99411,0.0004645011347830194,0.0059550753940710785,0.00043919442500309425,0.02135209611492837,
2500,997967,797971,0.0004407724722023467,0.024561042945169687,99703,0.0004591080168005436,0.014733759265017101,100293,0.000484623147094923,0.00638130278284626,0.00044701118003544487,0.02175222226787058,
3000,1002064,801711,0.0004496127028838936,0.024863074100268053,99977,0.0004769709274963726,0.015803634836012284,100376,0.0005011374280686424,0.00681437793894955,0.00045750345540790426,0.022151279758578293,
3500,1001272,801355,0.00045830233474444115,0.025414454268083433,100134,0.0004917496645637564,0.016328120318772843,99783,0.0005291802376235185,0.006985157792409528,0.00046871071998553333,0.022669164822345975,
4000,1000593,800921,0.00047022340620312124,0.025938887855356522,100075,0.0005205615795213157,0.01627779165625781,99597,0.0005571386913536335,0.007821520728536,0.00048390938476779865,0.02316926062844733,
4500,1001017,800876,0.00048413613469367665,0.026966721440023173,99957,0.0005603813321029417,0.018327880988825193,100184,0.0006250476101997876,0.008045196837818415,0.0005058523657462425,0.024210378045527697,
5000,1000467,800580,0.0005022323498815412,0.027666192010792175,99055,0.0006019297561881622,0.01971631921659684,100832,0.000693229504271501,0.009253014915899714,0.0005313529022367482,0.025023314112309552,
5500,1000398,800498,0.0005197390300705192,0.028547229349729794,100221,0.000655225605607137,0.021652148751259717,99679,0.0007968022699685947,0.010794650829161609,0.0005609186273674469,0.026087617128382902,
6000,999120,799189,0.000540275820357115,0.029974136280654512,99984,0.0007512615113024501,0.024053848615778525,99947,0.0009725461037761006,0.013367084554814052,0.0006046317649286825,0.027720393946673073,
6500,1000500,800129,0.0005703768463057837,0.031801122069066365,100238,0.0008716866708831894,0.029709291885312954,100133,0.0012218600747969256,0.017057313772682332,0.0006657668156356215,0.030115942028985508,
7000,999562,799847,0.000601420019723427,0.03359892579455821,99885,0.000993527222043993,0.03403914501676929,99830,0.0015654491459183573,0.021676850646098367,0.0007368840085223611,0.03245221406976256,
7100,1001239,800892,0.0006099830165255864,0.03392342538070052,100274,0.0010518955375788635,0.03586173883559048,100073,0.0017830830945551447,0.025591318337613543,0.0007714908885169293,0.03328476018213434,
7200,1000197,800254,0.0006169263108297488,0.034342846146348534,100340,0.0010876262987136432,0.03847917081921467,99603,0.0018941502919130528,0.027659809443490658,0.0007913373288313257,0.03409228382008744,
7300,1000814,800434,0.0006306465294658474,0.03546700914753746,100083,0.0011314405768863753,0.039297383171967265,100297,0.001994242262291508,0.027986878969460702,0.0008173800602350034,0.03510042825140336,
7400,1001422,801585,0.0006358892667595309,0.03523893286426268,99719,0.0011842814586903237,0.038999588844653474,100118,0.0022123928332586865,0.03156275594798138,0.000848108995363366,0.03524588035813074,
7500,998867,799323,0.0006464654511790693,0.03570521553864958,99282,0.0012424697581377754,0.04296851393001753,100262,0.002358332482507119,0.03305340009175959,0.0008775349648365326,0.036160970379439904,
7600,1002251,801849,0.0006549625441552116,0.03629486349674315,100205,0.0012803267417862167,0.04373035277680754,100197,0.0024703184188138625,0.0353902811461421,0.0008989711128638241,0.036947830433693755,
7700,998809,799281,0.0006629314850544257,0.03678681214741749,99916,0.0013228087943898848,0.04618879859081629,99612,0.0027154413494939224,0.039232221017548086,0.0009336408137209369,0.037971223727459404,
7800,999999,800238,0.0006756134962098345,0.03767254241863046,100326,0.001426843220945074,0.05186093335725535,99435,0.0030159418952034316,0.044068989792326645,0.0009836922320062707,0.03973203973203973,
7900,998994,799198,0.0006874576259230499,0.03817076619310859,99823,0.0014544319839416074,0.05127074922613025,99973,0.0032130734114790074,0.047952947295769856,0.001016844056942545,0.040458701453662385,
8000,1000073,800273,0.0006984835865925278,0.038759273397952945,100046,0.0015729996381334366,0.05477480359034844,99754,0.0035793216855866815,0.05302043025843575,0.001073323179921757,0.04178394977166667,
8100,996825,797439,0.0007060007302627124,0.0395190102315036,99725,0.001634367583646788,0.05886187014289296,99661,0.004004114338063331,0.061307833555754004,0.001128617222345814,0.043632533293205926,
8200,999176,799670,0.0007228968588961602,0.0403516450535846,99436,0.0017304252829837162,0.06391045496600829,100070,0.004409939755384517,0.06837213950234836,0.001192430733838283,0.0455024940551014,
8300,1000298,800156,0.0007253633313856961,0.04051085038417509,100296,0.0017713056472606777,0.06555595437504985,99846,0.004648169417499227,0.06950704084289806,0.0012217957215205398,0.04591631693755261,
8400,999197,799530,0.0007450596710051627,0.04188961014596075,99664,0.0019423982916310506,0.07066744260716006,100003,0.005357790434336453,0.08626741197764067,0.0013261447531376178,0.049201508811575694,
8500,997885,798055,0.000764000836795591,0.042802814342369884,99744,0.002075965456686557,0.07817011549566891,100086,0.006348240596775744,0.10635853166277001,0.001455227601065798,0.052712486909814255,
8600,1001939,801749,0.0007739077969839212,0.0432778837267025,100092,0.002197760634857564,0.0862706310194621,100098,0.00722105000394995,0.12644608283881795,0.0015602454072389871,0.05588164548939606,
8700,1000930,801042,0.0007920228730650612,0.04454198406575435,99949,0.0023347484093476844,0.08985582647150046,99939,0.007801880184063417,0.13525250402745675,0.0016459806967188077,0.0581239447313998,
8800,998781,799550,0.0008143374460672608,0.045718216496779436,99428,0.002497632733830441,0.0981514261576216,99803,0.008739860323464048,0.1586325060368927,0.0017738647534595324,0.062220847212752346,
8900,999138,798888,0.0008270851490481991,0.04660978760477063,100046,0.002640462569952746,0.10410211302800712,100204,0.010299253068629267,0.19335555466847631,0.0019586308130760907,0.0670838262582346,
9000,998317,798343,0.0008408919560083177,0.04737186898363235,99924,0.0028769800699870495,0.11637844762019134,100050,0.011672228472934362,0.23815092453773112,0.0021301911337441247,0.07339852972552806,
9100,999888,799980,0.0008608140937844531,0.04860871521788045,100345,0.003079815359019454,0.12585579749862974,99563,0.013768033115480163,0.2879182025451222,0.002368730109795336,0.08018998127790312,
9200,1000178,800618,0.0008864357556105693,0.04960792787571601,99852,0.003299435522934947,0.13765372751672475,99708,0.014353539897722952,0.39314799213704016,0.0024698747760335316,0.09264550909938031,
9300,1000957,800869,0.0009043029363754511,0.05076111074345492,100241,0.0035326965934587306,0.15206352690017058,99847,0.014860033543042252,0.49982473183971476,0.002559629431383277,0.10570084429201254,
9400,1000213,800778,0.0009333257856886846,0.05262257454625377,99787,0.003817196354713239,0.1648511329131049,99648,0.013527270965461307,0.6943440912010276,0.0024757314950178476,0.1277517888689709,
9500,999508,799638,0.0009487797859840135,0.053271605401444155,100076,0.004024444726135117,0.17831448099444422,99794,0.0010359941962442961,0.9798184259574724,0.0012654393018739047,0.1583008840349452,
