Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000932,99947,0.0005095192268296845,0.02771468878505608,99916,0.0005304161448733055,0.016944233155850915,801069,0.0005474319116310603,0.007272781745392719,0.000541947616534879,0.010279419580950555,
500,1000955,100235,0.0005163813769414929,0.028572853793585075,100122,0.0005343864202724779,0.017978066758554564,800598,0.0005529411432081865,0.007568092850594181,0.0005474241078354558,0.010712769305313426,
1000,1000192,100441,0.0005205818128091096,0.02871337402056929,100055,0.000537602440312673,0.017860176902703515,799696,0.0005601024904835904,0.0072727636501870715,0.0005538829457300308,0.010484986882518556,
1500,999198,99717,0.0005298802895939131,0.028982019114092882,99878,0.0005476057001559723,0.01756142493842488,799603,0.0005689711429910702,0.007441192691873342,0.0005629343411483065,0.010602503207572472,
2000,1000602,100338,0.0005299397819061967,0.029649783730989258,99791,0.0005596867212119576,0.018147929171969415,800473,0.0005867120239927584,0.007520553472759231,0.0005783237785002806,0.010799498701781528,
2500,999976,99921,0.0005465624797266182,0.03189519720579258,99877,0.0005790949418234481,0.018943300259318962,800178,0.000634046280162237,0.008115694258027589,0.0006198160949951855,0.011573277758666208,
3000,1001620,100444,0.0005525577983218745,0.04045040022300984,100041,0.000589157633957774,0.028578282904009357,801135,0.0006920929837918856,0.018425109376072696,0.0006678190800138795,0.02164793035282842,
3500,1000348,100371,0.0005674881999886017,0.030088372139362964,100257,0.0006068470449660013,0.01890142334201103,799720,0.0006806070980273354,0.007675186315210324,0.0006618648017916111,0.011049154894096854,
4000,999562,99970,0.0005877306811480704,0.0296889066720016,100355,0.0006362969373009187,0.018613920581934135,799237,0.0007454176807805135,0.007744886685676464,0.0007186911930137398,0.011030831504198839,
4500,1000314,100364,0.0006063532274798869,0.03658682396078275,100101,0.0006767950371618184,0.024715037811810073,799849,0.0008619487595131955,0.014111413529303656,0.0008177759670319572,0.017427527756284526,
