Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1002628,100493,0.0004472318445396115,0.024091230234941738,100335,0.00046039214874224227,0.016066178302686,801800,0.0004731823944370036,0.006452980793215266,0.0004693014356839841,0.009182867424408655,
500,999578,100433,0.0004531189634555627,0.024732906514790955,100085,0.00046137787467701345,0.01582654743468052,799060,0.00047752145704140175,0.006373739143493605,0.0004734531941552189,0.009164867574116277,
1000,1000152,99895,0.00045638204696959257,0.025196456279093046,100296,0.0004671397615101664,0.015155140783281488,799961,0.0004824628419350025,0.006399061954270271,0.0004783212867640308,0.009154608499508075,
1500,1001367,100358,0.00045783788691524085,0.02500049821638534,99982,0.0004724941194347192,0.014902682482846912,801027,0.000488764946590456,0.006557831383960841,0.0004840408367530347,0.009239369781508678,
2000,999937,99686,0.00046423746408486596,0.025540196216118614,99762,0.000481248568379123,0.015607145005112167,800489,0.0004955083051915084,0.006637193015769111,0.0004909681742328192,0.009416593245374458,
2500,999110,100202,0.0004728778746887727,0.025867747150755474,99972,0.00048373546581536816,0.015944464450046013,798936,0.000506787107593077,0.006566233090009713,0.0005010797363454026,0.00944040195774239,
3000,999878,100114,0.00047550295178518315,0.026090257106898135,100397,0.0004959586502652579,0.016295307628714006,799367,0.0005228996437405893,0.006617736283834584,0.0005154488674055027,0.009539163777980914,
3500,999692,100095,0.00048295765431884255,0.025745541735351415,100040,0.0005047162359719561,0.015863654538184727,799557,0.0005415093160039592,0.00668495179205485,0.0005319648680112008,0.009511929674339697,
4000,1000426,100203,0.0004935632774867835,0.02554813728131892,99718,0.0005226107586232251,0.01566417296776911,800505,0.0005749787329841741,0.006693274870238162,0.0005616043279262067,0.009475963239659905,
4500,998504,99932,0.0005027459661473962,0.026327902974022335,100256,0.0005404266136323262,0.015909272263006702,798316,0.0006057607911495364,0.006677806783278802,0.0005888909330485284,0.009571318692764376,
5000,999730,99677,0.0005189598087450003,0.02614444656239654,100339,0.0005590743469652844,0.015816382463448908,799714,0.000654208714768333,0.006966240430954066,0.0006311756032915565,0.009766636991987836,
5500,1000831,100545,0.0005333348977106346,0.026704460689243623,100143,0.0005874567515731649,0.016136924198396293,800143,0.0007441557995841051,0.006851275334533952,0.0007072971287956898,0.00977487707714889,
6000,1001169,99893,0.0005529265786203143,0.027879831419618993,99953,0.0006279472911661524,0.01661781037087431,801323,0.0008801147967963818,0.006903583199284183,0.0008222936783154013,0.009966349337624317,
6500,1000720,100308,0.0005707377559385392,0.027794393268732304,100477,0.0006733673382454447,0.016282333270300667,799935,0.0010479468752261573,0.00705182296061555,0.000962503873712559,0.010057758413941962,
7000,999566,100214,0.0005946265075880563,0.027431297024367852,100131,0.0007386289413439373,0.0166581777870989,799221,0.0013507204055367027,0.007105669145330265,0.0012136003711516754,0.010100383566467848,
7100,998920,99918,0.0005971657492351286,0.027892872155167236,99499,0.0007409377688680476,0.01731675695233118,799503,0.0014283718068597345,0.007124426049683366,0.0012767566162419886,0.010217034397148921,
7200,1000257,100111,0.0006123747131566767,0.0270200077913516,100553,0.0007727137619483817,0.01715513211937983,799593,0.0016242392332550917,0.007041082150544089,0.0014373650502322085,0.01005741524428222,
7300,999165,100329,0.0006216894435965589,0.027748706754776784,99538,0.0007887867216009504,0.016958347565753783,799298,0.0016806150054221626,0.007099980232654154,0.001485440288125806,0.010155479825654422,
7400,999704,99579,0.0006251923957229847,0.027606222195442814,100000,0.0008083880873618372,0.01715,800125,0.001784442476043531,0.00714638337759725,0.0015713369942045288,0.010185014764370254,
7500,999892,100132,0.0006298699007214795,0.026934446530579637,99128,0.0008282143405621336,0.017058752320232427,800632,0.0018765061519397997,0.007010711537885071,0.0016477381932150303,0.010002080224664263,
7600,1000486,100330,0.0006410320984082061,0.02684142330309977,99741,0.0008721267231116929,0.016723313381658497,800415,0.0023110698942383125,0.007248739716272184,0.0020001444811020928,0.010158063181293892,
7700,998828,100045,0.0006552988835791976,0.02725773401969114,100401,0.0009125824368038421,0.01699186263085029,798382,0.002551273200575799,0.007174510447379825,0.0021966486386718618,0.010172922665363807,
