Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1001315,99722,0.0005096618290846567,0.0287599526684182,100481,0.0005307380696067382,0.01723708959902867,801112,0.0005465023065494487,0.007338549416311327,0.0005412513991067514,0.010465238211751547,
500,999539,100026,0.0005131877967979812,0.029642293003819008,99876,0.0005354477546976079,0.01812247186511274,799637,0.0005513083414565513,0.007653472763266332,0.0005459087146654465,0.010900024911484195,
1000,997886,99401,0.0005225782313026859,0.028983611834890996,99334,0.000539816575808247,0.018271689451748646,799151,0.0005598598598119701,0.00764936789167504,0.0005541509805124608,0.010831898633711666,
1500,999959,99856,0.0005322535579217682,0.03021350745072905,100908,0.0005564028770752981,0.018957862607523687,799195,0.0005824237190981589,0.008004304331233303,0.0005747879032884422,0.011327464426041468,
2000,1000486,99692,0.0005454223253865273,0.030313365164707298,100240,0.0005722134872057831,0.019233838786911414,800554,0.0005910376790181795,0.007960737189496274,0.0005846063818071068,0.011317499695148158,
2500,1001033,99833,0.000569183925578887,0.03252431560706379,100412,0.000589494368696099,0.019738676652192966,800788,0.0006224584030351207,0.008470406649450292,0.0006138387715904642,0.01199960440864587,
3000,1000391,100417,0.0005944538336766623,0.03250445641674218,99559,0.0006120302531116699,0.020600849747385973,800415,0.000638391018071431,0.008494343559278625,0.0006313572766203395,0.012109265277276585,
3500,999597,100034,0.0006248292234323145,0.03600775736249675,99902,0.0006598537367583041,0.020870453043983102,799661,0.0006794060142643304,0.009287685656797069,0.0006719901793614028,0.013119287072690293,
4000,999427,100246,0.0006769319828719893,0.04015122797917124,99991,0.0007154822056034322,0.024282185396685703,799190,0.0007693082270145073,0.010747131470613997,0.0007546573653935753,0.015050624007556329,
4500,1000265,100313,0.0007294340841582769,0.04443093118538973,100119,0.0007774607025903466,0.029275162556557696,799833,0.0008816265448974497,0.013751620650810857,0.0008559374902168447,0.01838212873588499,
5000,1000348,99660,0.0008167564276654896,0.048775837848685534,99623,0.0008632086314741916,0.03184003693926101,801065,0.0009501842739061422,0.01374420302971669,0.0009282297205083702,0.0190363753413812,
5500,1001325,99865,0.0009181208871466916,0.0541130526210384,99981,0.0009888829743483895,0.03350636620957982,801479,0.0010736293923720305,0.015441452614478981,0.0010496582656202048,0.02110203979726862,
6000,1001806,100293,0.0011256192463658845,0.098301975212627,100207,0.0012818170632354524,0.07304878900675602,801306,0.0018238559067807448,0.046682540752221995,0.001699735732038187,0.05448759540270272,
6500,999525,99924,0.00136574390094197,0.09302069572875385,100184,0.0014971334739239082,0.06221552343687615,799417,0.0017902020502373309,0.0331916884429528,0.0017183936028651956,0.04208198894474876,
7000,998354,99698,0.0019891238446561274,0.12052398242692933,99816,0.0022077161956610015,0.0776128075659213,798840,0.002431253894467865,0.03380651945320715,0.002364752312213175,0.04684610869491183,
7100,998822,99299,0.0022519817671663796,0.14170334041631838,100040,0.002568190410503151,0.09310275889644143,799483,0.0029428141044870477,0.04195836559376497,0.002836612684604624,0.056997142634022877,
7200,1000738,100557,0.0025610905512720916,0.183070298437702,100475,0.0030605954329376013,0.12498631500373227,799706,0.003909436798106623,0.060490980435309975,0.003688726692456327,0.07928348878527647,
7300,1001304,99933,0.00299540652040092,0.23468724045110223,100576,0.003737027431739588,0.16254374801145402,800795,0.005051567309034078,0.08222204184591562,0.004714317603860225,0.10550641962880404,
