Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000253,100321,0.0004204052907070852,0.02395311051524606,100212,0.0004258769222823091,0.014229832754560332,799720,0.00044165249496189315,0.005943330165557945,0.0004379409915048547,0.008579829303186294,
500,1001513,99881,0.00042126013286893944,0.02311750983670568,99701,0.000432501513396465,0.01439303517517377,801931,0.0004432292798673768,0.005849630454490474,0.00043997034122527506,0.00842225712496992,
1000,1001025,99885,0.0004231459148574149,0.023416929468889222,100423,0.00043531369843882137,0.014578333648666142,800717,0.00044766174300830177,0.006168221731273346,0.00044397672897303597,0.008733048625159211,
1500,998749,100274,0.0004330102505800322,0.02397431038953268,99749,0.00043954873144835056,0.014847266639264554,798726,0.0004531970904110655,0.006078429899615137,0.0004498072243532429,0.008750947435241487,
2000,998916,99774,0.0004339577578274506,0.0245655180708401,99378,0.00045098300684729857,0.014610879671557084,799764,0.0004608011774988184,0.006146813309926428,0.0004571432267629349,0.00882857017006435,
2500,1000831,100286,0.0004445766885987063,0.024559759089005446,100215,0.000455862249954298,0.014638527166591827,800330,0.0004699459797050932,0.0064748291329826445,0.0004659936783626471,0.009104434215167196,
3000,1000154,99807,0.00044875721116543387,0.025439097458094122,99805,0.000468649115236206,0.015339912830018535,800542,0.00048215268471156903,0.006436889007697285,0.00047747257966804213,0.009221579876698988,
3500,1000107,100515,0.0004700750109468583,0.026493558175396708,99439,0.00048095218032953227,0.01588913806454208,800153,0.0004950000128392335,0.006548747552030674,0.0004910981913519916,0.009481985427559252,
4000,1001188,100292,0.0004813471241100759,0.02698121485263032,100055,0.000495004426634281,0.016690820048973064,800841,0.0005101475016023213,0.006752901012810284,0.0005057491390316859,0.009772390400204558,
4500,1001031,100166,0.0005045539924092211,0.027544276501008325,99844,0.0005174382607873916,0.017547373903289133,801021,0.0005315875907932839,0.0071483768840017925,0.0005274712616078316,0.010226456523324453,
