Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000773,100657,0.0005116015631604693,0.028333846627656298,99861,0.0005305792973017408,0.01780474860055477,800255,0.000546006734686473,0.007483864518184828,0.0005410068789000262,0.01061079785325943,
100,999076,99404,0.0005138364817989689,0.028570278862017625,100166,0.0005295518270999614,0.01749096499810315,799506,0.0005472403464004392,0.0074133277298731965,0.0005421433708139007,0.010528728545175742,
500,1001204,100120,0.0005151587688192069,0.029534558529764283,100034,0.0005372644592914089,0.016974228762220846,801050,0.000553190059423005,0.00747019536857874,0.0005477957598608621,0.010626206047918306,
1000,997079,99793,0.0005202544711350675,0.028398785485955928,99596,0.0005365302285249333,0.017470581147837262,797690,0.0005608167771701754,0.007576878235906179,0.0005543311553638458,0.010649106038739158,
1500,1001576,100224,0.000520262187733216,0.03252713920817369,100372,0.0005447004726991973,0.02032439325708365,800980,0.000590762384566061,0.01129741067192689,0.0005790916397146718,0.014326421559622035,
2000,998321,99474,0.0005291098914076847,0.03060096105515009,99717,0.0005591244432332186,0.019304632108868097,799130,0.0006024375608611151,0.011240974559833819,0.0005908047786780965,0.01397546480540828,
2500,999275,99770,0.0005313045500981174,0.02943770672546858,99791,0.0005586364480021256,0.018638955416821156,799714,0.0006195324482888026,0.00838049602732977,0.0006046422827516788,0.011507342823547071,
3000,999703,100076,0.0005419557498066404,0.03078660218234142,99597,0.0005654951887655541,0.018484492504794323,800030,0.0006540362529773918,0.008722172918515556,0.0006339953080091315,0.01190353534999895,
3500,1001550,100557,0.0005436295812028346,0.03403045039132035,99772,0.0005779373328694085,0.02302249128011867,801221,0.000748204465051312,0.015446424894005524,0.0007107032630072812,0.018066996155958265,
4000,1001135,100046,0.0005545397624340667,0.030935769546008837,100750,0.0005897873988812692,0.019057071960297767,800339,0.0007708868837462198,0.010469313628349988,0.0007310416708638921,0.013378815044924011,
