Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1001441,100771,0.0005041382309695699,0.02779569519008445,800970,0.0005298739719113794,0.01725532791490318,99700,0.0005473348762613907,0.0073821464393179536,0.0005290226345018355,0.01733302311369317,
500,999056,100029,0.0005137077065835102,0.02782193163982445,798843,0.0005336738671937562,0.0176292462974577,100184,0.0005560354810780066,0.008095105006787512,0.0005339171777245985,0.017693702855495586,
1000,999843,99679,0.0005187560409927991,0.02963512876333029,800608,0.0005425145173730687,0.018740757024661256,99556,0.000577581700231247,0.008909558439471253,0.0005436376209898621,0.018847959129583345,
1500,999641,100122,0.0005337822888946928,0.02966381015161503,799576,0.0005519568458144447,0.01849480224518995,99943,0.0005807640029338285,0.007784437129163623,0.0005530166269919443,0.018542656813796153,
2000,999320,99734,0.0005387407434324464,0.028465718812040026,800202,0.0005644804279316387,0.017975461196048,99384,0.0005931578818271168,0.007586734283184416,0.0005647635788583721,0.017989232678221192,
2500,1000638,100569,0.0005493195586660695,0.030218059242907856,799806,0.0005844532750793363,0.018101889708254253,100263,0.0006247567497171145,0.007689775889410849,0.0005849605359984982,0.018276339695274414,
3000,999505,100330,0.0005713844132847828,0.03062892454898834,799386,0.000610694132070086,0.01859927494351915,99789,0.0006721333959313462,0.008016915692110353,0.0006128822337961613,0.018750281389287696,
3500,999492,99979,0.000600330113554167,0.031046519769151522,799953,0.0006523945237023429,0.019442392240544133,99560,0.0007628120702402246,0.008366813981518683,0.0006581852886820522,0.01949990595222373,
4000,999048,100396,0.0006319841653623255,0.032461452647515834,798357,0.0007158420488396133,0.02112588729102394,100295,0.0009002305654527933,0.010050351463183609,0.0007259258988690023,0.021153137787173388,
4500,1000237,100577,0.0006720275184926464,0.0322041818706066,799571,0.0007772747798696903,0.019504209132147114,100089,0.0010009150333456394,0.008542397266432874,0.0007890704598161485,0.0196843348126494,
5000,999136,99791,0.000722041680600479,0.039472497519816414,799215,0.0008988197833137187,0.027441927391252667,100130,0.0013103238131504384,0.015719564566064118,0.0009224031942404246,0.0274687329852993,
5500,1001345,99567,0.0008068489655449355,0.03210903210903211,801450,0.0010722328938709586,0.01966560608896375,100328,0.0018061722135355271,0.008043616936448448,0.0011193806625936793,0.019738451782352735,
6000,1000179,99900,0.0009407447251925301,0.04144144144144144,799779,0.001396803867136299,0.02874168989183262,100500,0.0028119828100473285,0.016457711442786068,0.0014934517426489153,0.028775849123006982,
6500,1000002,99650,0.0012251376126097226,0.03922729553437029,800448,0.00219347089527052,0.026226563124650194,99904,0.005602857218051557,0.014083520179372198,0.0024375873266116025,0.026308947382105236,
7000,1000410,100087,0.002035106840716092,0.052654190853957054,800340,0.004442192031869902,0.04017042756828348,99983,0.014874844699823439,0.02807477271136093,0.005244033253142155,0.04021051368938735,
7100,999225,99445,0.0022562174744228686,0.04957514203831263,799534,0.005311649228602147,0.0361210405060948,100246,0.018799160276711628,0.024798994473594956,0.006360683852169865,0.036324151217193325,
7200,1000263,100054,0.0028999149085655474,0.1301097407400004,800259,0.006674700893417178,0.11889775685121942,99950,0.02324739603325527,0.10834417208604302,0.007953123110672401,0.11896471228067018,
