Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,998487,100098,0.0004162758456844138,0.023506963176087435,798649,0.00042775317694467284,0.013984866944051768,99740,0.0004399788669746849,0.005764988971325446,0.0004278238162410321,0.014118361080314517,
500,998837,99727,0.0004181989015155658,0.02358438537206574,799034,0.00042927026186195095,0.01416460375903904,100076,0.0004395013975369955,0.005565770014788761,0.0004291899460351932,0.014243565266404828,
1000,999256,100111,0.0004218919241269436,0.022954520482264686,799458,0.0004336371555942942,0.014233393123841403,99687,0.0004478560156003949,0.005737959814218504,0.000433878944114957,0.01425960914920701,
1500,999740,100448,0.00042653609073963264,0.0234549219496655,799793,0.0004389653892285388,0.014214928112649149,99499,0.0004473326227384452,0.005949808540789354,0.00043854931424143495,0.014320723388080901,
2000,1001022,99406,0.00043087652210390206,0.023992515542321388,801859,0.0004450684382795713,0.014285553944022578,99757,0.00046177981710285727,0.005874274487003418,0.0004453244919905852,0.01441127168034269,
2500,1002397,100220,0.0004371456170872841,0.02423667930552784,802049,0.00045189360587186806,0.014464203558635445,100128,0.0004712318650381019,0.005852508788750399,0.00045235076783244017,0.014581049225007657,
3000,999857,99607,0.00044461189266009686,0.023010430993805658,800155,0.00046186103109917785,0.014510938505664527,100095,0.00048472067045172117,0.006423897297567311,0.00046243111328943536,0.014548080375493695,
3500,999844,100121,0.00045344176353308665,0.024320572107749624,800118,0.00047646422852495353,0.014721578567161343,99605,0.000508540569733476,0.005973595703026957,0.0004773542991245901,0.014811310564448054,
4000,998074,100097,0.00046553310274172004,0.02419652936651448,798784,0.0004918533350803392,0.014701095665411425,99193,0.0005348209060085878,0.005514502031393345,0.0004934839816723572,0.014740389991122902,
4500,1001257,100542,0.00048085794462617595,0.02465636251516779,800427,0.0005174333650471873,0.01486206737154044,100288,0.0005769593349926033,0.005902999361837907,0.0005197228617037936,0.01494821009990442,
5000,1000840,99593,0.000500296797946095,0.023505668069040996,801300,0.0005417059606467119,0.015035567203294646,99947,0.0006309481079782055,0.006323351376229401,0.0005464973580313943,0.015008392949922065,
5500,1000699,100282,0.0005168049853700235,0.02438124488941186,800047,0.0005831568115625114,0.015026617186240309,100370,0.0007180882404524762,0.0062767759290624685,0.0005900411730772343,0.015086454568256788,
6000,999765,100281,0.000544213473466105,0.025059582572969953,799403,0.0006294793209911773,0.014916131162880299,100081,0.0008207477521186617,0.005735354362965997,0.0006400736020472278,0.015014528414177332,
6500,1002632,99948,0.0005804445468094323,0.024462720614719654,802382,0.0007063806581226505,0.015263303513787697,100302,0.0010044622936034168,0.006470459213176208,0.0007236463366053496,0.015300728482633709,
7000,999494,100391,0.0006371347039628595,0.025211423334761084,798878,0.0008125517858459284,0.015293949764544774,100225,0.0013020591879272308,0.0063656772262409575,0.000844018291003848,0.015394789763620392,
7100,999856,99613,0.0006524510829463017,0.025217592081354843,800408,0.000858868160417289,0.015876902779582414,99835,0.001422076391653944,0.006610907998197025,0.0008945393664983762,0.015882287049335104,
7200,999600,100483,0.0006475710471752759,0.026293004786879372,799633,0.0008694780092321576,0.015602157489748423,99484,0.00148201082653676,0.0063025210084033615,0.0009081328086803186,0.015751300520208084,
7300,999889,100023,0.0006733634633075786,0.025604111054457476,799559,0.0009126228103049245,0.01556983287036979,100307,0.0016414958451650636,0.006370442740785787,0.0009618078996928432,0.015650737231832735,
7400,999307,100451,0.0006849925025073934,0.025823535853301608,798477,0.000951701810403538,0.015654802830889304,100379,0.0017427699649583473,0.006316062124547963,0.0010043537117697882,0.015738907062594377,
7500,999959,99730,0.0007088698996928777,0.025960092249072496,800242,0.0010059406048440315,0.01556154263335341,99987,0.0019359567382060102,0.006780881514596898,0.001069305864521408,0.015720644546426403,
7600,1000445,99780,0.0007356804661827617,0.025957105632391262,800793,0.0010864281913528094,0.015499635985829046,99872,0.0021744400077139494,0.0065383691124639536,0.0011600597334227218,0.01564803662370245,
7700,1000273,100178,0.0007425948441624515,0.025235081554832398,800483,0.0011071582046494354,0.015671788157899668,99612,0.002258907554919325,0.006916837328835883,0.001185343687964698,0.015757698148405486,
7800,998707,99346,0.0007830237445898648,0.025567209550460008,799570,0.0011948989370821153,0.015992345885913677,99791,0.0025758334148614074,0.006182922307622932,0.0012919110533471602,0.015964642282471235,
7900,999300,99995,0.0007754474524268312,0.026131306565328267,799174,0.0012372444988691775,0.015618626231584111,100131,0.002782503449200647,0.006541430725749269,0.001345871466042841,0.015761032722906035,
8000,1000766,99836,0.0008378879253918862,0.025662085820746024,800928,0.0013444308938477423,0.015723011306884013,100002,0.003143451981327817,0.006529869402611948,0.001473666382454928,0.0157959003403393,
8100,1001813,100220,0.0008592727822394158,0.02594292556375973,801222,0.0014518953155484924,0.015825826050707544,100371,0.0037058726392178746,0.006346454653236492,0.001618434707297074,0.015888194703003455,
8200,999162,100142,0.0008956009762681472,0.026272692776257715,798998,0.001547496726275183,0.015713431072418203,100022,0.0039497863162190824,0.006298614304852932,0.0017226431641583144,0.01582926492400632,
8300,999550,99963,0.0009542599776010718,0.026219701289477107,799955,0.0017141678647193232,0.015854641823602578,99632,0.004785902165908075,0.006684599325517906,0.0019443518072695504,0.015977189735380922,
8400,999394,99271,0.0009797844268288607,0.025798067915101086,800157,0.0018215081987551325,0.015900629501460338,99966,0.005202898342506088,0.006502210751655563,0.0020761277847715144,0.015943661859086605,
8500,1001706,99605,0.0010487653161268078,0.025982631394006327,801943,0.002046429432061396,0.015951258381206646,100158,0.006258845036788403,0.00644980930130394,0.002368414912701935,0.0159987062072105,
8600,998690,99945,0.001121471290940484,0.025764170293661515,798752,0.0022284773896074743,0.015872260726733704,99993,0.007071400251579044,0.00688048163371436,0.0026025861332675112,0.015961910102233925,
8700,999516,100027,0.0012206391818391678,0.02565307367010907,799864,0.00263350760281016,0.015876448996329375,99625,0.009223035998970657,0.006514429109159348,0.0031489138363502036,0.015921706105755187,
8800,999529,99290,0.0013480413263740043,0.02626649209386645,800347,0.0030839597202176163,0.015915596609970425,99892,0.011062119254820856,0.006867416810154968,0.0037088490179826698,0.016039554630230837,
8900,999383,99802,0.0014571999960972075,0.02549047113284303,799813,0.003468223335429148,0.01612877010001088,99768,0.012986411902978313,0.006464998797209526,0.0042175921817025844,0.01609893304168672,
9000,1001103,100108,0.0019509966833717476,0.027839932872497704,801305,0.0047981905788110615,0.016746432382176574,99690,0.018380915795797387,0.007593539973919149,0.005866047722778088,0.016944310425600562,
