Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000448,100233,0.0005076955834727042,0.028463679626470326,800117,0.0005284655888637422,0.017517438074681577,100098,0.0005450573254820153,0.007602549501488541,0.0005280447371069851,0.01762210529682702,
500,1000957,99999,0.0005158570997723961,0.02912029120291203,800698,0.0005347826248076134,0.01788564477493387,100260,0.0005558116903824548,0.007021743466985837,0.0005349982589822452,0.017919850702877348,
1000,1001081,99888,0.0005217422305822157,0.028822280954669228,800804,0.0005400939488987051,0.017829581270822823,100389,0.0005624583256072634,0.007809620575959518,0.0005405055249591813,0.017921626721514042,
1500,998832,99940,0.00053440647991921,0.030218130878527115,798934,0.0005549328779272854,0.018251820550884052,99958,0.0005780337241005352,0.007423117709437964,0.0005551908854449209,0.018365450846588815,
2000,999644,99904,0.0005437488714007648,0.03028907751441384,800069,0.0005697221207000136,0.018704636725082463,99671,0.0005912009003977249,0.008267199084989615,0.000569267938964572,0.018821700525387036,
2500,1000080,100063,0.0005653094366746098,0.03230964492369807,799655,0.0005898749382707421,0.01899569189212848,100362,0.0006093202656095169,0.008190350929634722,0.0005893684529457379,0.019243460523158146,
3000,1001163,99993,0.0005948553284091043,0.03398237876651366,801249,0.0006193232533009342,0.020413130000786272,99921,0.0006472654757284513,0.008696870527716897,0.0006196682456682957,0.020599043312627414,
3500,999597,100310,0.0006361574226217337,0.03706509819559366,799478,0.0006588310194150217,0.024239566317021857,99809,0.0007162489682649201,0.012032982997525274,0.0006622888524841962,0.024307796041804847,
4000,1000599,100387,0.0006776369151585581,0.04862183350433821,800501,0.0007364217171342949,0.03316048324736634,99711,0.0008685736131900857,0.018734141669424637,0.0007436931293500405,0.03327406883276917,
4500,999488,100225,0.0007274546187815121,0.043791469194312795,799755,0.0007653835747836701,0.02806609524166776,99508,0.0008310900946772108,0.012893435703662018,0.0007681218715578557,0.02813240379074086,
5000,998696,99423,0.0008208323226354159,0.047262705812538344,799037,0.0008751321188099788,0.02994604755474402,100236,0.0009542989334728496,0.013478191468135201,0.0008776721472064806,0.030017142353629133,
5500,1000156,100064,0.0009075555222576486,0.053455788295490886,800184,0.00095227541220285,0.03189391439968807,99908,0.0009973833116433562,0.013092044681106618,0.0009523071961943812,0.03217298101496167,
6000,1000912,100076,0.0011136232681430672,0.06547024261561213,801003,0.001189701199529491,0.04010347027414379,99833,0.001268784834873733,0.01742910660803542,0.0011899825244670581,0.04037817510430487,
6500,999007,99982,0.0014076911945758825,0.09055630013402412,799115,0.0015637339716927596,0.058918929065278465,99910,0.001819017942681355,0.02757481733560204,0.0015736477686930043,0.05895053788411893,
7000,999626,100072,0.0020711404644291774,0.13557238788072587,799752,0.002392021624428319,0.0905155598235453,99802,0.0028454526206039775,0.04100118234103525,0.002405168642249919,0.09008269092640647,
7100,999258,99924,0.002172574500440122,0.13535286817981665,799695,0.0024485153724987134,0.08625288391199144,99639,0.0027191730933921235,0.03806742339846847,0.002447909872169977,0.08635807769364869,
7200,999032,99970,0.002443836927294967,0.25317595278583577,798972,0.0031448417408790523,0.19460006107848585,100090,0.0050966247733843905,0.12205015486062544,0.00327023763661555,0.19319301083448778,
