Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,997372,99946,0.0005076904081325745,0.02935585216016649,797886,0.0005278427050565772,0.01743607482773228,99540,0.0005481845603778897,0.007303596544102873,0.0005278534200258337,0.01761930352967599,
500,1000205,99866,0.0005143973245698709,0.02851821440730579,800026,0.0005336112703349254,0.01752193053725754,100313,0.0005551887607952668,0.0076161614147717644,0.0005338569028730286,0.017626386590748895,
1000,1000715,100161,0.000517426549439133,0.02994179371212348,800859,0.0005427915641894787,0.01795322272709678,99695,0.0005595479802054682,0.007743618035006771,0.0005419221314861682,0.018136032736593335,
1500,1002010,100375,0.0005233149596673045,0.029300124533001244,800928,0.0005544008234998896,0.018191397978345118,100707,0.0005934465733952854,0.00847011627791514,0.000555211131533261,0.018327162403568825,
2000,1000209,99567,0.0005278382048916553,0.029738768869203652,800814,0.0005659896766078773,0.0186834895493835,99828,0.0006031213405735871,0.007883559722723085,0.0005658978479660335,0.018706090427100735,
2500,999021,99500,0.0005311077654021168,0.03006030150753769,799789,0.0005864070234098508,0.019501393492533655,99732,0.0006333059927739174,0.008282196286046605,0.0005855812668349978,0.019433024931407847,
3000,998473,99890,0.0005426181341928898,0.029632595855440987,798573,0.0006146485624163925,0.02087974424379487,100010,0.000700422576229765,0.00976902309769023,0.0006160338173469111,0.02064252112976515,
3500,1000988,100520,0.0005436431359715269,0.031227616394747314,800170,0.0006596602282648907,0.022239024207355938,100298,0.0008065192945105001,0.011715089034676664,0.0006627248329444531,0.022087177868266153,
4000,1000877,100630,0.000554133853253749,0.03055748782669184,800345,0.0006942394656942825,0.023928430864189817,99902,0.000941131415612139,0.013323056595463555,0.0007047963790820464,0.023536358613495963,
4500,1001430,99664,0.0005516575480682451,0.03063292663348852,801557,0.0007451376113440295,0.02479798691796092,100209,0.0011001303507509857,0.015587422287419293,0.0007614048196331184,0.024457026452173392,
5000,1000959,99999,0.0005666929858660692,0.03103031030310303,800723,0.0008314458899543788,0.029910468414170693,100237,0.001431961777299455,0.022406895657292217,0.0008651324698681219,0.029270929178917417,
5500,1001641,99624,0.0005760417438146366,0.03190998153055489,801764,0.0009193504054864374,0.031207437600091797,100253,0.0019687890545996797,0.02827845550756586,0.0009902416637108237,0.030984155001642304,
6000,1000320,100494,0.0005839132805608936,0.03751467749318367,799801,0.0011124296724178845,0.04926600491872353,100025,0.003132704966244483,0.064383904023994,0.0012613473287495874,0.049597128918746,
6500,999814,99609,0.0005940184410307596,0.033059261713298996,800109,0.001291346905914362,0.04374403987456709,100096,0.005320751527545268,0.08692655051150895,0.0016252761106946227,0.04700274251010688,
7000,999939,99883,0.0005976595403600686,0.03398976802859346,799849,0.0016091064186350525,0.056479410488729745,100207,0.010033560671781159,0.19955691718143442,0.002352314693142085,0.06857118284215337,
7100,1001064,99901,0.0006068500276560507,0.03610574468724037,801624,0.0016997367399925734,0.06435186571260341,99539,0.011338825863796602,0.25501562201750066,0.002549117815373516,0.08049135719594351,
7200,1000872,99981,0.0006091853247042501,0.036196877406707274,800535,0.001863803410570102,0.07898218066667916,100356,0.012777995152090044,0.3489876041292997,0.0028328250792440182,0.10178124675283153,
7300,999831,100189,0.0006165788192132482,0.033327011947419376,800070,0.0020305442396492137,0.0709237941680103,99572,0.015120462620161675,0.41081830233398947,0.0031924661759327663,0.10100607002583437,
