Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000728,100030,0.00042050096559476775,0.02315305408377487,800470,0.00043032415972445203,0.01420790285707147,100228,0.00044145770821238866,0.0059763738675819135,0.0004304573419568434,0.014277605902902687,
500,999742,99948,0.0004196017889992457,0.02307199743866811,799964,0.00043280795284675886,0.014153136891160102,99830,0.00044717465621145914,0.005709706501051788,0.00043292228067600606,0.014201664029319565,
1000,1000798,100069,0.0004247420480203005,0.022544444333409946,800592,0.0004359885656272401,0.01457796230789216,100137,0.00044861077360522117,0.006321339764522604,0.0004361269774444912,0.01454839038447319,
1500,999694,99817,0.0004245236585535671,0.02452488053137241,800096,0.00044195042361682243,0.014636993560772707,99781,0.00045680357798699343,0.006293783385614496,0.0004416929200086107,0.014791526207019347,
2000,999674,100532,0.00043008021607586337,0.024380296820912743,798659,0.000447761291704922,0.014660825208255337,100483,0.00046140229907695246,0.006727506145318114,0.0004473543344854827,0.01484083811322491,
2500,999737,99949,0.00043306707764163247,0.024262373810643428,799911,0.00045628491008536416,0.014810397656739312,99877,0.0004814590109659087,0.006508004845960531,0.0004564786755844154,0.014925925518411343,
3000,999550,100101,0.0004384360014383405,0.024585168979330874,799387,0.0004670989535372964,0.01522041264118631,100062,0.0004965490232034799,0.006845755631508465,0.0004671766311951208,0.015319893952278524,
3500,1001833,99861,0.00043654683175623393,0.024073462112336148,801765,0.00048019264183025295,0.015530735315210816,100207,0.0005207513955575277,0.006726077020567426,0.0004798989369861758,0.015501585593606919,
4000,999669,100080,0.0004415889746187774,0.024650279776179056,799778,0.0004969123462603168,0.016260762361555332,99811,0.000564510935005987,0.007283766318341666,0.0004981230667162057,0.016204363644366285,
4500,1000513,99757,0.00044337586247267366,0.02480026464308269,800587,0.0005173945603990484,0.016810165541034264,100169,0.0006104243008237257,0.00826603040860945,0.0005193283811685625,0.016751406528450904,
5000,1001153,99950,0.0004536959095971403,0.024762381190595296,801045,0.0005413289955200763,0.017615739440356035,100158,0.0006791520932685456,0.009714650851654386,0.000546368344037546,0.01753877778920904,
5500,1000713,100511,0.0004522415435936099,0.02436549233417238,800353,0.0005661090983830322,0.018548065666024866,99849,0.0007801941943165839,0.01104668048753618,0.000576033263397804,0.018383892284800935,
6000,999818,99738,0.0004585238661660302,0.02451422727546171,800125,0.0006046324014269197,0.01988189345414779,99955,0.0009233897610369387,0.01289580311140013,0.0006219243673546925,0.019645575494740043,
6500,998781,100003,0.0004641564336196372,0.025819225423237304,799457,0.0006540084098987833,0.021585901430596018,99321,0.0011563949754939467,0.01573685323345516,0.0006849579062324343,0.02142812087935193,
7000,1001631,100027,0.0004673584793548594,0.02571305747448189,801735,0.0007129833765524799,0.023316931405015374,99869,0.0015664230828586077,0.021508175710180336,0.0007735476446682926,0.023375873949588222,
7100,998902,100265,0.0004665660561518709,0.026310277763925596,798746,0.0007213027036936611,0.024058962423598992,99891,0.001605277964632112,0.023315413801043138,0.0007841316927482881,0.024210583220375972,
7200,1001833,100055,0.00046894393866804746,0.024626455449502774,801261,0.0007427606339017195,0.02420559592941626,100517,0.0017910564669741044,0.024383935055761714,0.0008205927903702343,0.024265521299458092,
7300,1000010,99980,0.0004720139023206683,0.025805161032206442,799697,0.0007613528933720329,0.025005720916797237,100333,0.0018454548089420733,0.026900421596085036,0.000841195180118753,0.025275747242527576,
7400,998815,99986,0.00046861066123659017,0.026903766527313824,798694,0.000780321980841796,0.025764560645253377,100135,0.0020652002110876965,0.030378988365706298,0.000877932162490627,0.026341214338991704,
7500,1000728,99905,0.000473949553896385,0.026134828086682348,800648,0.0007925771347775996,0.02625748144003357,100175,0.0022009794575055613,0.030696281507362116,0.0009017518697818688,0.026689569993045063,
7600,999720,99336,0.0004700848483401447,0.025207376983168238,799971,0.0008067744878301053,0.026380956309666224,100413,0.0023049310409064758,0.03361118580263512,0.0009237962458580219,0.026990557356059697,
7700,999962,100125,0.000475866803590442,0.027335830212234707,800375,0.0008410381465408217,0.027688271122911137,99462,0.002583342329111764,0.037672679013090425,0.0009777736203828017,0.02864608855136495,
7800,997743,100020,0.0004743028113344199,0.02614477104579084,797983,0.0008456068507997082,0.028028166013561694,99740,0.002756168725465782,0.040224583918187284,0.0009993755180335046,0.029058585226857017,
7900,1000870,100245,0.0004768293235550233,0.027113571749214426,801070,0.000886166537044945,0.029280836880672102,99555,0.0030669608187334605,0.046406508964893775,0.0010620884507272603,0.030767232507718286,
8000,1000509,100532,0.00047703653446151803,0.026648231408904627,800636,0.000903264546736229,0.029924959657072626,99341,0.0032407307935219476,0.04898279662979032,0.0010925248931118515,0.03148797262193544,
8100,1000039,99538,0.0004783998239837733,0.026803833711748278,800394,0.0009275240569572066,0.030255099363563444,100107,0.0036311830265680608,0.054002217627138964,0.001153465505809812,0.03228874073911117,
8200,999743,100125,0.0004786314994149433,0.027046192259675406,799934,0.0009510625040332207,0.03143634349833861,99684,0.004127767055597618,0.06175514626218852,0.0012204962106765341,0.03401974307397001,
8300,999663,99782,0.0004790020160128435,0.026347437413561565,799647,0.000986584387623521,0.03268317144940205,100234,0.004653796722215523,0.0716922401580302,0.0013036230065795417,0.03596211923418192,
8400,999710,99933,0.000478805902928158,0.025957391452273024,799596,0.0010158461385120674,0.03394714330737022,100181,0.004871563952850782,0.07578283307213943,0.0013485442454587548,0.03734082884036371,
8500,1001229,99283,0.00047961286480344904,0.026217982937663045,802174,0.0010607676912347697,0.03506595825843271,99772,0.005524031461293687,0.08504390009221025,0.0014479018615731623,0.03916886146925429,
8600,999166,99802,0.00048443526616427423,0.026742951043065268,799728,0.0011126184609596699,0.036614949082688114,99636,0.00639278018150128,0.10214179613794211,0.0015764055133422553,0.042163164078841756,
8700,1000036,100260,0.0004851922474716721,0.02597247157390784,799695,0.001147349036551581,0.03822707407198995,100081,0.007345593029919415,0.12389964129055465,0.001701267712906348,0.045572359395061775,
8800,999206,100086,0.0004832331503622612,0.027036748396379113,798495,0.0011856656494771923,0.039614524824826705,100625,0.008057673297498772,0.14141614906832298,0.0018073513784217915,0.048606593635346466,
8900,1000018,99374,0.0004865474690035253,0.02742165958902731,800323,0.0012475984323067465,0.04161694715758513,100321,0.009556762055808358,0.1802713290338015,0.002005539714809645,0.05411602591153359,
9000,1000436,99863,0.00048707993659193917,0.026706588025595064,800496,0.001277795100665293,0.0432781675361276,100077,0.010218850673187263,0.18812514363939767,0.0020932703835433854,0.05611353449895846,
9100,999309,99709,0.0004922520585841232,0.02736964566889649,799403,0.0013604682417431093,0.045527725064829626,100197,0.012656988043853545,0.2562851183169157,0.002406499476531801,0.06484780983659709,
9200,999547,99278,0.0004902675292926473,0.026088357944358268,800116,0.0013979647559089763,0.04742812292217628,100153,0.013750364374132068,0.3194013159865406,0.002545500103121147,0.07255986962093829,
9300,1000398,99702,0.0004929609823793395,0.02810374917253415,800454,0.0015172582443008862,0.05137834279046641,100242,0.01585247693400158,0.42478202749346583,0.0028515936850803374,0.08647458311591986,
9400,998031,99905,0.0004929654974611648,0.027416045242980833,798015,0.0015828355387144887,0.05398520077943397,100111,0.016131702295394994,0.48869754572424606,0.002933112367196406,0.09493091897947058,
