Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,100190,33393,0.0005097760192059054,0.02826939777797742,33544,0.000523202611182789,0.016455998092058194,33253,0.0005427538857238519,0.007157248970017743,0.0005252166280151062,0.017307116478690487,
100,100265,33358,0.0005078295191188932,0.03066730619341687,33409,0.0005350442872182318,0.01709120296925978,33498,0.0005455067259501645,0.007552689712818676,0.0005294854235906904,0.018421183862763677,
500,99868,33257,0.0005182482959823879,0.02787383107315753,33240,0.0005318241101196141,0.017148014440433214,33371,0.0005466980121726194,0.007731263672050583,0.0005322733644818612,0.01757319661953779,
1000,100028,33332,0.0005201221060746991,0.029011160446417855,33532,0.0005455457194881343,0.01801264463795777,33164,0.0005546131131787822,0.0074779881799541675,0.0005400801614649775,0.018184908225696805,
1500,100758,33618,0.0005350813408721839,0.03057885656493545,33431,0.0005411533733493833,0.017767939935987555,33709,0.0005756177467729694,0.007861401999466017,0.0005506576308367998,0.01872804144584053,
2000,100209,33364,0.0005417382474532676,0.02994245294329217,33442,0.0005586885603775438,0.018539561031038813,33403,0.0005847403573577516,0.0068556716462593184,0.000561728985230838,0.01844145735412987,
2500,99834,33242,0.000548984823389139,0.029300282774802962,33403,0.0005760248372621691,0.01808220818489357,33189,0.0006183520800715999,0.007653138087920696,0.0005810925969475914,0.018350461766532444,
3000,100320,33541,0.0005640010785152111,0.03133478429384932,33476,0.0006072942289692231,0.019835105747401122,33303,0.0006455395523627435,0.008017295739122602,0.00060551580438387,0.01975677830940989,
3500,99318,33255,0.0005957271158826383,0.030972786047210946,33083,0.0006424923091814314,0.01991959616721579,32980,0.0007299994945198509,0.00821710127349909,0.0006558917983909531,0.01973458990313941,
4000,100834,33583,0.0006374404749780849,0.030938272340172112,33486,0.0007332601997149471,0.019799319118437558,33765,0.0009146931707987805,0.009240337627721014,0.0007621013688920785,0.019973421663327846,
4500,99546,33298,0.0006665546494135468,0.030542374917412456,33204,0.0007534687475452186,0.018913383929647032,33044,0.0009709376370346456,0.008110398256869628,0.0007965842553978771,0.0192172462981938,
5000,99785,33316,0.0007035231782924677,0.03049585784607996,33136,0.0008233838245684295,0.020098985997102848,33333,0.0011483872677826976,0.00885008850088501,0.0008919318275882189,0.01981259708373002,
5500,100267,33459,0.0007871446450968909,0.03203921217011865,33312,0.0010095718444060196,0.019452449567723344,33496,0.0016444709029537004,0.007463577740625746,0.0011474475882043767,0.0196475410653555,
6000,99893,33456,0.0008963124520258587,0.030816594930655188,33206,0.0012469329359609377,0.018882129735589955,33231,0.002552536329444542,0.008455959796575487,0.0015638334941414052,0.019410769523390027,
6500,99744,33438,0.0010967564084457845,0.03642562354207787,33266,0.0017813513731402331,0.02170384176035592,33040,0.004660863966186819,0.010532687651331718,0.00250568175536678,0.022938723131215914,
7000,99651,33057,0.0017213626298515472,0.03642193786490002,33479,0.003704594356230475,0.024552704680546013,33115,0.012678985287883575,0.010720217424128039,0.006028979104228815,0.023893387923854252,
7100,100431,33433,0.001699214848405397,0.03346992492447582,33214,0.0038899970485568917,0.01902812067200578,33784,0.014832214619613095,0.008287946957139474,0.006841550424734542,0.02022283956148998,
7200,100299,33342,0.0021532250238986213,0.07905944454441845,33473,0.004627011272024346,0.063185253786634,33484,0.017232059543234306,0.05357782821646159,0.008012752458159663,0.06525488788522318,
7300,99594,33113,0.003033922287813496,0.06520097846767131,33211,0.00670451529915213,0.053175152810815696,33270,0.024628877831401334,0.04090772467688608,0.01147186268015377,0.05307548647508886,
7400,99673,33259,0.003024998818074148,0.03478757629513816,33255,0.007319335903701245,0.021229890242068863,33159,0.02882762005327543,0.008263216622937965,0.0130417264907696,0.021440109156943204,
7500,100095,33214,0.005936539625440993,0.2094598663214307,33734,0.013137597841535585,0.19997628505365506,33147,0.043585737609267934,0.1890668838808942,0.020831174356762794,0.19951046505819472,
7600,99851,33225,0.007225643664980469,0.14290443942814146,33518,0.01508175691929257,0.1362253117727788,33108,0.049024758256058815,0.1264951069227981,0.023722286562291656,0.13522148000520776,
7700,100210,33385,0.005925333082457031,0.5025011232589486,33286,0.011601960457080906,0.49540347293156284,33539,0.03338923401210022,0.49044396076209784,0.01700271051056833,0.4961081728370422,
7800,99955,33475,0.0016977894823146072,0.7861090365944735,33297,0.0037581420250634013,0.7837643030903685,33183,0.011087301405987607,0.7839255040231444,0.005501258371106035,0.7846030713821219,
7900,99562,33293,0.000199379216549539,0.97383834439672,33255,0.0004716233834579917,0.9741993685160126,33014,0.0008596859348775959,0.9774943963167141,0.0005092649738607925,0.9751712500753299,
8000,99793,33368,0.00019630748270958398,0.9635578997842245,32961,0.00040675416098141575,0.9651406207335943,33464,0.0009481504112648218,0.9679356920870189,0.0005179352995272996,0.9655486857795637,
8100,99876,33208,0.0003624493087918221,0.921223801493616,33219,0.0007643174611404852,0.919624311388061,33449,0.002488738830665744,0.925050076235463,0.001208217224707869,0.9219732468260643,
8200,100216,33328,0.00011056234812285914,0.9736857897263562,33338,0.00023416987078269286,0.9731837542744016,33550,0.0006771217336944764,0.9770789865871833,0.0003413527905308712,0.9746547457491818,
8300,99726,33406,0.00028956500109842174,0.968209303717895,33227,0.0005457210961275348,0.9688205375146718,33093,0.0011792260470588627,0.972471519656725,0.0006701362820432223,0.9698273268756392,
8400,99840,33402,0.0003483957480787093,0.9599425184120711,33315,0.0005971146833077628,0.9614588023412877,33123,0.001661097276772952,0.9615976813694411,0.0008668921829955316,0.9609975961538462,
