Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,99860,33312,0.0005110945746678831,0.02974903938520653,33358,0.0005323636027591577,0.01744708915402602,33190,0.0005402437181924424,0.006959927689062971,0.0005278876080410941,0.01806529140797116,
100,100325,33386,0.000504493455893163,0.02980291139998802,33427,0.0005292118332806322,0.017979477667753613,33512,0.0005504823589470652,0.007221293864884221,0.0005280911765019185,0.01832045850984301,
500,99953,33274,0.0005252258244482557,0.028610927450862536,33605,0.0005334017224230257,0.017914000892724297,33074,0.0005512553678120358,0.0075890427526153475,0.0005365876862098402,0.018058487489119885,
1000,100262,33590,0.0005236920377397324,0.030128014289967253,33416,0.0005348397749154579,0.01765621259276993,33256,0.0005551232011102332,0.008269184508058696,0.0005378328643192287,0.018720951108096788,
1500,100232,33340,0.0005399816219857388,0.030173965206958607,33354,0.0005736720070655906,0.021196857948072197,33538,0.0005916901724744121,0.00840837259228338,0.0005684945766333808,0.019903823130337617,
2000,99486,33223,0.0005472107755806923,0.030761821629593955,33011,0.0005687167973354596,0.018872497046439066,33252,0.0005935669719742911,0.008059665584025022,0.0005698408092198665,0.01922883621816135,
2500,100494,33387,0.0005610517997190396,0.031149848743522928,33676,0.0005784150712329655,0.019360969236251337,33431,0.0005973728053117219,0.007956686907361432,0.0005789530980002453,0.019483750273648178,
3000,100087,33074,0.0005935374275283772,0.033712281550462596,33534,0.0006193744941013889,0.01902546669052305,33479,0.0006413810016315479,0.008811493772215418,0.0006181977251480436,0.020462197887837583,
3500,100163,33482,0.0006162316283817561,0.034227346036676425,33365,0.0006520809217891852,0.022838303611569008,33316,0.0006699999195909489,0.009124744867331011,0.0006460575727371056,0.02208400307498777,
4000,100059,33413,0.0006641642868554596,0.03663244844820878,33325,0.0007006489792820617,0.024276069017254313,33321,0.0007100336622134888,0.00972359773116053,0.000691590763548419,0.02355610189987907,
4500,99678,33136,0.0007301466109408554,0.04327619507484307,33360,0.0007653896515666131,0.023471223021582735,33182,0.0007952627124115534,0.012145138930745585,0.0007636182928995128,0.026284636529625392,
5000,99589,33466,0.0007974444809664323,0.045150301798840616,33054,0.0008328187591718655,0.028256791916258243,33069,0.0008836068629501139,0.012368078865402643,0.0008377959776339307,0.028657783490144494,
5500,99900,33270,0.0009533535395238233,0.06212804328223625,33257,0.0010671383003943312,0.04035240701205761,33373,0.0012443111712201538,0.017499175980583107,0.0010884313056386636,0.03996996996996997,
6000,100000,33353,0.0010833033230068392,0.06272299343387401,33406,0.0011381443313886938,0.037837514219002576,33241,0.0012028800148704561,0.016726331939472337,0.001141371998409263,0.03912,
6500,100407,33322,0.0014397393931072796,0.08597923293919933,33536,0.0015550021732819547,0.053017652671755726,33549,0.001681120155612891,0.022504396554293718,0.001558889808887451,0.053761191948768515,
7000,100543,33611,0.0022682622122606783,0.14206658534408378,33467,0.002571440016518258,0.09179191442316312,33465,0.0028803840209473373,0.03929478559689228,0.00257291900490452,0.09112519021712104,
7100,99469,32846,0.0021890005532161994,0.13554161846191318,33140,0.002438369217435125,0.08617984308992155,33483,0.002752439743255196,0.03849714780634949,0.0024617459505992,0.08642893765896913,
7200,100096,33340,0.0022545629083729015,0.16496700659868027,33353,0.0027560774593785066,0.10964530926753216,33403,0.0036327052515594135,0.05433643684698979,0.0028815720147222935,0.10961476982097186,
7300,99904,33557,0.0024938495916034466,0.16297642816699942,33266,0.0028551270216451347,0.1009138459688571,33081,0.003234798442525232,0.043922493274084824,0.0028594964518403663,0.1028887732222934,
7400,99826,33040,0.0030822310399029823,0.23283898305084746,33562,0.003917619793037146,0.15836362552887193,33224,0.005019751513722637,0.07323019503973031,0.0040079367433757465,0.15467914170656943,
7500,99483,33223,0.0038490304502327476,0.30888240074647083,33174,0.005104496138491275,0.21477663230240548,33086,0.00674942888611052,0.10161397569969172,0.0052322959467672025,0.20856829810118313,
7600,99728,33249,0.0044587730924913185,0.38205660320611146,33141,0.0062983377891439474,0.26459672309224225,33338,0.008507349699981882,0.1324014637950687,0.006423481705441371,0.2595660195732392,
7700,100005,33189,0.005014342751041184,0.5562385127602519,33392,0.008086113532009748,0.42426329659798756,33424,0.01352316748840079,0.22531713738630924,0.008883864554347157,0.4015699215039248,
7800,99935,33530,0.00216038887827284,0.9207575305696392,33247,0.006149942843030003,0.8406472764459951,33158,0.021920406583809168,0.6255805537125279,0.010043946868430952,0.7961675088807725,
7900,99860,33419,0.0017032516000616686,0.9163050959035279,33129,0.005240739578119994,0.8522744423314921,33312,0.021691046822698814,0.643611911623439,0.009544498081952145,0.8040957340276387,
8000,99627,33037,0.0007209197905872503,0.9415201138117868,33432,0.0022292942244809453,0.9176836563771237,33158,0.01422254101548927,0.8137101152059835,0.005720716338202217,0.8909833679625001,
8100,100003,33395,0.00041601801855811293,0.9767330438688426,33358,0.0013290412333102197,0.9596498591042628,33250,0.008357599342360036,0.9004812030075188,0.0033610717410875847,0.9456816295511135,
8200,99782,33641,0.00035231350275703336,0.9815403822716329,32957,0.0012547648439922457,0.9681403040325273,33184,0.007063940886576662,0.9135426711668274,0.0028824364904477913,0.9545008117696578,
8300,100108,33607,0.00035149434217867216,0.9833665605379831,33185,0.0010927066571019884,0.9699563055597409,33316,0.00563601084849249,0.9265217913314924,0.0023558904203650473,0.9600031965477285,
8400,99785,33059,0.00036228263406753113,0.9820623733325267,33338,0.001039614443016111,0.9703941448197252,33388,0.006562151515551156,0.9191925242602133,0.0026630503853498164,0.9571278248233702,
8500,99621,33089,0.0002094012342861279,0.9909939859167699,33244,0.0006548347697230099,0.9827337263867164,33288,0.004221090151840576,0.9476988704638308,0.0016985359863927738,0.9737705905381395,
8600,99949,33325,0.0002480046711057276,0.9894073518379595,33305,0.0007212999434782789,0.9804834108992644,33319,0.0046163111070238304,0.94474624088358,0.0018619347873122232,0.9715454881989815,
8700,100087,33348,0.00018538073903442867,0.9904042221422574,33630,0.0006058922841124458,0.9822777282188522,33109,0.0037721069403692776,0.954815911081579,0.0015131727705766794,0.9759009661594413,
8800,99592,32977,0.0002715030940539345,0.9844740273523971,33073,0.0006352782901739843,0.9760529737247906,33542,0.0033437227263063323,0.9518812235406356,0.0014270128535355032,0.9707004578681019,
8900,99785,33214,0.00015782622109320108,0.9925633768892635,33374,0.0004641428082754794,0.9877749146041829,33197,0.0031912479377234,0.9621050094888093,0.001269451320132075,0.9808287818810443,
9000,100076,33168,0.0001906860213260212,0.9918897732754463,33487,0.000523736623078336,0.9853077313584376,33421,0.0028813061052049777,0.9633463989707071,0.001200679219737212,0.9801550821375754,
9100,100443,33828,0.0001688233221117494,0.9935556343857159,33226,0.0004492640769122379,0.9884728826822368,33389,0.002630594113547735,0.9678636676749828,0.0010799270274397183,0.9833338311281025,
9200,100501,33346,0.00017380026100657583,0.9920530198524561,33600,0.0005378726746040264,0.9849702380952381,33555,0.002638449906824404,0.965310683951721,0.0011184092893972548,0.9807564103839763,
9300,100252,33597,0.00016028075102860883,0.9900586361877548,33314,0.0004045166243687633,0.9841808248784295,33341,0.0016839994689067804,0.9678473950991272,0.0007481870237935416,0.9807185891553286,
9400,99978,33229,0.00013628652893390807,0.9913930602786722,33412,0.00041115770270952376,0.9863821381539567,33337,0.0024288280582195868,0.9673335933047364,0.0009925794395741249,0.9816959731140851,
9500,100242,33420,0.0001578017505674669,0.9906642728904848,33475,0.0004185099319351618,0.9861687826736371,33347,0.002562447207098629,0.9656640777281315,0.0010448043882864684,0.9808463518285748,
9600,99336,32881,0.00013893966372999607,0.9940086980322983,33133,0.0004324014417819491,0.9890743367639514,33322,0.002542590228239063,0.9698997659204129,0.0010431205568882313,0.9842755899170492,
9700,99878,33085,9.572728678801333e-05,0.9926855070273538,33451,0.0002898867176660062,0.9888792562255239,33342,0.0024170416601328893,0.9706076420130766,0.000935672930056446,0.984040529445924,
9800,99940,33466,0.000130962868003391,0.9936652124544314,33154,0.00029658438251069843,0.9897749894432044,33320,0.001867044285462908,0.975,0.0007647156048627698,0.9861516910146088,
9900,99400,33227,0.00012580352838523017,0.9938002227104463,33126,0.00032416291922070375,0.9893437179254966,33047,0.0018898204511548077,0.9733409991829818,0.0007783822047190539,0.9855130784708249,
10000,99981,33371,0.00014082444560560163,0.9906505648617062,33397,0.00037265709205675895,0.9875437913585052,33213,0.001977170535035644,0.9703429380062024,0.0008282858388880192,0.9828667446814895,
