Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,99470,33070,0.0004233368496659874,0.021983671000907166,33220,0.00042511362846044684,0.013576158940397352,33180,0.00044123549810922227,0.005846895720313442,0.00042990065530485816,0.013793103448275862,
100,99970,33498,0.0004140301998769508,0.022628216609946863,33231,0.0004258116762194324,0.01438415936926364,33241,0.0004398634935891819,0.005625582864534761,0.0004265362992730225,0.014234270281084324,
500,99801,33423,0.00041712534373846295,0.0233073033539778,33378,0.0004292718559756908,0.013631733477140631,33000,0.000437357709224627,0.005272727272727273,0.0004278776843612795,0.014108075069388082,
1000,100453,33222,0.0004274874602659957,0.022123893805309734,33735,0.000436605491375868,0.014436045649918482,33496,0.00044755995410076377,0.0055529018390255555,0.000437242719272507,0.014016505231302202,
1500,100123,33511,0.00042507176893493055,0.02309689355733938,33294,0.00044068789006215033,0.014146693097855469,33318,0.0004508124914991782,0.005942733657482442,0.00043883037116623883,0.014412272904327677,
2000,100098,33401,0.0004353457893988135,0.023023262776563577,33553,0.0004446462183710764,0.015766101391827856,33144,0.00046341044212766893,0.005973931933381607,0.0004477559488760419,0.014945353553517553,
2500,99866,32946,0.00044276662762783017,0.023705457415164208,33542,0.0004540504105057579,0.014220976685945979,33378,0.0004657829838360885,0.006651087542692792,0.000454249220129892,0.014819858610538122,
3000,100453,33264,0.0004509045242707776,0.026244588744588744,33627,0.00046424915275976005,0.014660838017069617,33562,0.0004807576444658882,0.006525236875037244,0.0004653458076788242,0.01577852328949857,
3500,99344,33106,0.0004588471450643806,0.026400048329607927,33300,0.0004760724203887409,0.015195195195195195,32938,0.000491941629371703,0.005920213734895865,0.00047559368025942454,0.015854002254791433,
4000,99992,32970,0.00047779189502668274,0.025629360024264483,33236,0.00049758495219926,0.017150078228427006,33786,0.0005089630561292128,0.006541170899189013,0.0004949031729008911,0.016361308904712376,
4500,100530,33336,0.000498822716836829,0.028077753779697623,33599,0.0005099626187554861,0.016399297598142803,33595,0.0005215641517948747,0.006637892543533264,0.0005101455863482219,0.017009847806624886,
5000,99842,33230,0.0005162986288420021,0.028829371050255792,33507,0.0005439677877233713,0.018234995672546037,33105,0.0005439056072802586,0.007612143180788401,0.0005347381585773472,0.018238817331383585,
5500,100220,33475,0.0005640526373189787,0.030380881254667664,33273,0.0005800163372888485,0.020617317344393354,33472,0.0006004476471396766,0.008604206500956023,0.0005815079751538985,0.0198662941528637,
6000,100012,33575,0.0005918412177124042,0.03398361876396128,33243,0.0006119517791993447,0.020455434226754506,33194,0.000638770442687865,0.008585889016087245,0.00061410158736151,0.021057473103227614,
6500,100021,33323,0.0006519815091840325,0.036671368124118475,33518,0.0006734239604914971,0.021391491139089443,33180,0.0006979444374861229,0.008710066305003013,0.0006744143787212942,0.022275322182341708,
7000,100565,33572,0.0007164050334330868,0.04021208149648517,33628,0.0007428795587054276,0.023135482336148448,33365,0.0007704164338558643,0.010460062940206804,0.0007431775259599505,0.024630835777855117,
7100,99556,33264,0.0007032166937087971,0.03938191438191438,33008,0.0007428518599234573,0.02535748909355308,33284,0.000760686171574763,0.009373873332532147,0.0007355712646809511,0.024699666519345895,
7200,99868,33468,0.000750760528360274,0.042787139954583484,33254,0.000779937867365693,0.025169904372406328,33146,0.0008028506591629686,0.010468834851867495,0.0007777646008046196,0.02619457684143069,
7300,100246,33192,0.0007681699807004631,0.043203181489515546,33357,0.0007901137206181444,0.025721737566327906,33697,0.0008407453999257269,0.010802148559218922,0.000799867517101601,0.02649482273606927,
7400,99832,33210,0.0008114281015464047,0.04610057211683228,33279,0.0008431108759135481,0.02905736350250909,33343,0.0008840794204746351,0.01214647752151876,0.000846254449562954,0.029078852472153218,
7500,100257,33284,0.0008403208087412896,0.049242879461603176,33503,0.0008697677390596865,0.029042175327582603,33470,0.0008972496466471285,0.011443083358231252,0.0008691663627790655,0.02987322580966915,
7600,100650,33658,0.0008620702065879003,0.050864579000534794,33602,0.0009021420808841034,0.03139694065829415,33390,0.0009342412662187878,0.012219227313566935,0.0008993904927396821,0.03154495777446597,
7700,100079,33317,0.0008619279734056607,0.05057478164300507,33401,0.0009092284534659504,0.031076913864854346,33361,0.0009386931096508327,0.012889301879440065,0.0009033037370000965,0.03150511096233975,
7800,100078,33396,0.0008615119562148606,0.048149478979518504,33206,0.0009026849876037564,0.031590676383786064,33476,0.0009356880157256938,0.01317361691958418,0.0008999850416930244,0.030955854433541836,
7900,99612,32892,0.000930498966405133,0.052079533017147024,33416,0.0009786594310902557,0.03288843667704094,33304,0.0010281702056718302,0.013992313235647369,0.0009793100839457522,0.03290768180540497,
8000,99709,33591,0.0009096028566543251,0.04995385668780328,33312,0.0009386606425999279,0.03161023054755043,32806,0.0009911809105892602,0.013991343047003597,0.0009461514390572091,0.03199309992076944,
8100,99767,33351,0.0010275363231235701,0.058049233906029805,33156,0.0010707815690588472,0.03516708891301725,33260,0.001133757928739159,0.015574263379434756,0.0010773200189047758,0.03628454298515541,
8200,100065,33476,0.0010004297080827254,0.055263472338391684,33508,0.0010308448251398585,0.033663602721738094,33081,0.0010833056287376187,0.01435869532359965,0.0010380129597045127,0.03450757007944836,
8300,100137,33642,0.001136493502956084,0.06453242970096902,33374,0.0012024704372131092,0.03955174686882004,33121,0.0012802385918033946,0.017964433441019292,0.0012060271947144357,0.04080409838521226,
8400,99681,33125,0.0011656447808476814,0.06837735849056603,33290,0.001234306185355987,0.041033343346350254,33266,0.0013098438350433797,0.01767570492394637,0.001236698079800886,0.042325016803603496,
8500,100393,33516,0.0011969132798541292,0.06734097147630982,33348,0.001266554428798652,0.041981528127623846,33529,0.001331733212159302,0.01825285573682484,0.0012650731171461825,0.04252288506170749,
8600,100145,33104,0.0013926384862959875,0.08328298695021749,33462,0.001520991669659933,0.051252166636782025,33579,0.001616263329212589,0.02224604663629054,0.0015105081035711755,0.05211443407059763,
8700,100125,33401,0.0012749099964090734,0.07275231280500584,33434,0.0013698967651192395,0.04465514147275229,33290,0.0014314930904969472,0.01907479723640733,0.0013586896601018646,0.0455230961298377,
8800,100662,33623,0.0014662323082766222,0.08654789875977753,33621,0.001561951589914757,0.05487641652538592,33418,0.0016515515969224273,0.022981626668262613,0.0015597251651235185,0.05486678190379687,
8900,99319,33233,0.001597811158310798,0.0971323684289712,33066,0.0017386449169389472,0.05897296316457993,33020,0.0018489578364984068,0.026075105996365838,0.001728195801496419,0.06080407575589766,
9000,100570,33262,0.0017996900983199005,0.10564608261679995,33677,0.0019497835215096207,0.06725658461264364,33631,0.0021066236633233565,0.02836668549849841,0.0019525903562237694,0.06694839415332604,
9100,99889,33494,0.0017186925896320814,0.10324237176807786,33042,0.0018926004356151578,0.06301071363718903,33353,0.0020268555750873186,0.028273318741942253,0.001879114889393452,0.06490204126580504,
9200,99906,33108,0.0018327168138486264,0.1077081068019814,33302,0.0020066129913928425,0.06921506215842892,33496,0.002166347427930393,0.030570814425603058,0.002002540263429847,0.06901487398154264,
9300,99304,33007,0.0019368824266015189,0.11879298330657133,33132,0.002167439380163336,0.07515392973560305,33165,0.002374439650068762,0.03310719131614654,0.0021599388825519323,0.07561628937404334,
9400,99417,33144,0.00238698638122839,0.15097755249818973,33140,0.0027296524011328318,0.0975859987929994,33133,0.0031037335260575773,0.0459662572058069,0.0027400842925439485,0.09818240341189133,
9500,100247,33438,0.002767820446277368,0.18185896285663017,33434,0.0032050656468527888,0.11589998205419633,33375,0.003647162800363661,0.05111610486891386,0.003206406210476466,0.11633265833391523,
9600,100311,33461,0.004405985587772421,0.3507964495980395,33387,0.005950343035116843,0.24452631263665497,33463,0.007805364580260027,0.11657651734751816,0.006054009048012129,0.23729202181216416,
