Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,299850,99763,0.0004447224945943654,0.0254302697392821,100213,0.0004633654906842704,0.01532735273866664,99874,0.0004735538598659175,0.006418086789354587,0.00046055632598435576,0.015721193930298482,
100,300037,99542,0.0004487184885189507,0.025526913262743364,100348,0.0004624239800897579,0.015147287439709809,100147,0.00047802290598905785,0.006180914056337184,0.00046308361070230165,0.01559807623726407,
500,299280,99465,0.00045080727590909837,0.024450811843361987,100034,0.0004646555507751916,0.015504728392346602,99781,0.0004744609663387385,0.006343893125945821,0.0004633222692688803,0.015423683507083667,
1000,299839,100206,0.0004546899610807072,0.025707043490409757,99560,0.0004705247271156083,0.015006026516673363,100073,0.0004848748675164468,0.006525236577298572,0.0004700222008766542,0.015751786792245173,
1500,300374,100515,0.00045808401347303913,0.025637964482912997,100266,0.0004791545194324562,0.01572816308619073,99593,0.0004917343757788779,0.006867952566947476,0.0004762746554182529,0.01610658712138867,
2000,299930,100156,0.00046317394987780753,0.025849674507767883,99510,0.00048312274001699414,0.015586373228821225,100264,0.0005064346030499742,0.0072408840660655865,0.00048425416938371435,0.016223785549961657,
2500,300016,100057,0.0004702268555132695,0.02662482385040527,99805,0.000488871432245543,0.01610139772556485,100154,0.0005179214201801346,0.007438544641252471,0.0004923510869223003,0.01671910831422324,
3000,300351,99948,0.00047344967764709775,0.026113579061111777,100550,0.0005023973535137954,0.016061660865241172,99853,0.0005438243225281869,0.007320761519433568,0.0005065369929006113,0.016500694187800275,
3500,299682,99801,0.0004752597281385361,0.027344415386619372,100259,0.0005193228998741157,0.01736502458632143,99622,0.0005811739074154011,0.00816084800546064,0.0005252097148009378,0.017628686407592048,
4000,299919,99823,0.00048502568569079476,0.02719814070905503,100238,0.000535930894026516,0.017089327400786128,99858,0.0006313319095806511,0.008201646337799675,0.0005507517089782535,0.01749472357536535,
4500,299851,100051,0.0004895211274945742,0.02828557435707789,99879,0.0005499517064370182,0.01891288459035433,99921,0.0007092336812266915,0.009587574183605048,0.0005828663018500399,0.01893273659250761,
5000,299238,99890,0.0005023765620459469,0.028871758934828313,99409,0.0005827378697614432,0.01969640575802996,99939,0.0007808132831291007,0.011126787340277569,0.0006220649863336963,0.019897205568811447,
5500,300379,100658,0.0005087239243540155,0.028879969798724394,99654,0.0006087795618278253,0.0208722178738435,100067,0.0009299037428831428,0.012701490001698863,0.0006822285481711507,0.020833680117451618,
6000,300189,100090,0.0005204738882557956,0.028004795683884504,100058,0.0006539559606470265,0.022187131463751026,100041,0.0011640331996063088,0.015443668096080608,0.0007794382949000838,0.02187954921732642,
6500,300640,100337,0.0005322538565011215,0.02998893728136181,100367,0.000709179786931988,0.02372293682186376,99936,0.0014996713095275685,0.020523134806276017,0.0009128996635966707,0.024750532197977647,
7000,299171,99669,0.0005454414740328665,0.030340426812750204,99402,0.00075417028141575,0.024325466288404658,100100,0.0021617067036196562,0.0301998001998002,0.0011555815290285037,0.028294854782047726,
7100,299030,99747,0.000540042374102397,0.03021644761245952,99467,0.0007591325642432109,0.024842410045542742,99816,0.0021476857454749334,0.02938406668269616,0.001149549027948675,0.028151021636625088,
7200,299667,99980,0.0005502443658545293,0.031676335267053414,99780,0.0007952067005735838,0.025506113449589096,99907,0.0026337673349607995,0.0383456614651626,0.001326442182206545,0.03184534833665369,
7300,300553,100332,0.0005466129923312007,0.030458876529920662,99924,0.000806588859409774,0.026920459549257435,100297,0.002745533320987877,0.040260426533196406,0.0013668441686802808,0.03255332670111428,
7400,298456,99814,0.0005527132231065781,0.03119802833269882,99186,0.0008069767501039993,0.0267073982215232,99456,0.0030007201611636763,0.04288328507078507,0.0014529744348770791,0.03359959256975903,
7500,298718,99666,0.0005511712886461963,0.030642345433748722,99818,0.000798114201478467,0.02672864613596746,99234,0.002822610612869435,0.03893826712618659,0.0013882596381030808,0.032090466593911314,
7600,300700,99946,0.0005577061995955763,0.031446981369939765,100744,0.000856469704286047,0.028904947192884937,100010,0.003521318518379059,0.050824917508249176,0.001643471076609424,0.03704023944130363,
7700,298894,99442,0.0005607102744355166,0.03122423121015265,99682,0.0008588675861797081,0.02882165285608234,99770,0.003933410357972855,0.05727172496742508,0.0017859446534588493,0.039117546688792686,
7800,299819,99508,0.0005625897737107316,0.03276118503034932,100110,0.0008552900350430967,0.027979222854859653,100201,0.004491791884752492,0.06727477769682938,0.001973481691469384,0.042699095120722834,
7900,299821,99980,0.0005693779028686966,0.03201640328065613,99521,0.0008778173965680554,0.02934054119231117,100320,0.0044027008112680465,0.06438397129186603,0.0019543881624004686,0.04195836849320094,
8000,300243,100321,0.00056355661391852,0.03122975249449268,100346,0.000932046579645387,0.03208897215633907,99576,0.0056937310349228125,0.08497027396159718,0.0023881411745801987,0.049340034571996684,
8100,300684,100227,0.0005669414218666505,0.031069472297883805,99963,0.0009396480453818094,0.031201544571491453,100494,0.007219400765907559,0.11691245248472545,0.002914220031724455,0.05980364768328212,
8200,299209,99867,0.0005744853549258946,0.03204261668018465,99627,0.0009237483906724245,0.03044355445812882,99715,0.0067005196112847575,0.10330441759013187,0.0027323533814061943,0.055259032983633515,
8300,299298,99652,0.0005716416111438913,0.0306366154216674,99789,0.0009543453235032876,0.031476415236148275,99857,0.008702032939629234,0.13882852479045035,0.003411841370718605,0.06701347820566793,
8400,299627,99733,0.0005771832590401215,0.03203553487812459,100021,0.0009875324273040237,0.03361294128233071,99873,0.010495635904329352,0.17424128643377088,0.0040202279619604145,0.07996275369042176,
8500,300098,100356,0.0005833277150565702,0.03181673243254016,100003,0.001013744061630297,0.03453896383108507,99739,0.014666364528234443,0.2993713592476363,0.005407321659088112,0.1216469286699678,
8600,300227,100065,0.0005868014818813059,0.032598810772997554,100140,0.0010635140326717297,0.034981026562812066,100022,0.016500939933656224,0.3325868308972026,0.006047675923752231,0.13333577592954665,
8700,300319,100516,0.0005906285333941957,0.032173982251581836,99990,0.0010568692007906029,0.03555355535553555,99813,0.019323761318960134,0.6223738390790778,0.006971941693929045,0.22945601177414682,
8800,300557,100221,0.0005944757320780293,0.03264784825535567,100527,0.0011116978136829709,0.0374924149730918,99809,0.005922752157719426,0.9019226723041008,0.002536885078605787,0.3229370801545131,
8900,299940,100146,0.0005846301340487918,0.03251253170371258,100321,0.0010525031794843894,0.03426999332143818,99473,0.004606251361864152,0.9467292632171544,0.0020748622477569333,0.336293925451757,
9000,300389,100259,0.0005959105306209833,0.03283495746017814,100380,0.0011113312397585731,0.03788603307431759,99750,0.0015990599533456046,0.9655739348370928,0.0011012622102764046,0.34425694682561614,
9100,300045,100109,0.000595089877815615,0.03313388406636766,100271,0.0011993239872249814,0.04128810922400295,99665,0.0011269644210734535,0.9895851101188983,0.0009736878705779582,0.35356029928844007,
9200,300727,100248,0.000595130992338737,0.03334729869922592,100821,0.0012097203840918923,0.03968419277729838,99658,0.0006496260364352253,0.98763772100584,0.0008192358587807736,0.3517143455692372,
9300,300454,100012,0.000598712265029002,0.03371595408550974,100431,0.0011820038273618462,0.04011709531917436,100011,0.0006022604870530177,0.9944306126326105,0.0007948668049236189,0.35564512371278134,
9400,299837,99674,0.0005904000591274112,0.032606296526676966,100145,0.0012488472441954828,0.04181936192520845,100018,0.0006156015827921675,0.9889519886420445,0.0008187267811215061,0.3546960515213266,
9500,300481,99940,0.0006025792818915311,0.033440064038423055,100280,0.0012649588188603969,0.044236138811328284,100261,0.0004523336680295344,0.9945941093745325,0.0007735040474368309,0.3577497412481987,
9600,300185,100013,0.0005990448162057703,0.03423554937858078,100221,0.0013499048772966137,0.04660699853324154,99951,0.0006419772420772847,0.9915558623725625,0.0008640250286776489,0.3571197761380482,
9700,299535,99500,0.0005932217479460219,0.032733668341708544,99908,0.0012899708416165662,0.043139688513432355,100127,0.0002502164200024384,0.9964844647297931,0.0007109599554324037,0.35836212796501243,
9800,300771,100658,0.0005979332630718822,0.03352937670130541,99932,0.0014047123384503364,0.047542328783572826,100181,0.0002090793878923466,0.9943901538215829,0.0007364681500502075,0.3582293505690376,
9900,300802,100216,0.0006087653999703613,0.03444559750937974,100234,0.0014374318212288404,0.04887563102340523,100352,0.00016634774690498373,0.9979073660714286,0.0007372986336190825,0.36067911782501444,
10000,300781,100347,0.0006058564542650785,0.03357349995515561,100136,0.0014266679558221146,0.04943277143085404,100298,0.00025101274601236256,0.9972980518056193,0.0007607953176559966,0.36021557212722877,
