Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999772,799697,0.0005094494416319263,0.028113147854749988,100178,0.0005240638289988394,0.017019704925233085,99897,0.0005448258215139025,0.007447671101234271,0.0005144486157623405,0.024936685564308662,
500,1000477,800880,0.0005151331143581355,0.028950654280291678,99923,0.000534487518565044,0.017163215676070574,99674,0.0005575420669153767,0.0073439412484700125,0.000521291197021457,0.0256207788884702,
1000,999933,799333,0.0005229277959561755,0.029095508380111917,100473,0.0005389655278024746,0.01816408388323231,100127,0.0005612399736749441,0.007810081196879963,0.0005283756034095152,0.025865733004111276,
1500,1000639,800436,0.0005326722462371601,0.029581378148908846,100319,0.0005547844587713976,0.01866047309084022,99884,0.0005839324390176364,0.00745865203636218,0.0005400059081720894,0.026278208224944262,
2000,1000499,800733,0.0005435620597621433,0.02949547477124085,99855,0.0005678640219514602,0.018436733263231687,99911,0.0006002291420493692,0.007596761117394481,0.0005516463629876596,0.02620492374305222,
2500,1000708,800416,0.0005614738725722104,0.029840732818934155,100093,0.0005996970331091859,0.01834294106480973,100199,0.0006375562463580663,0.007564945757941696,0.0005729150208178582,0.02646026613157884,
3000,1000831,800761,0.0005705468678799323,0.051836940110719675,99835,0.0006107997842782315,0.040586968498021736,100235,0.0006848860640203446,0.029390931311418168,0.0005860134543802945,0.048466724152229496,
3500,998295,798762,0.0006169549349815014,0.03085149268492993,99461,0.000680905324288739,0.019595620393923246,100072,0.0007619645937156162,0.007864337676872652,0.0006378625587197142,0.027425760922372644,
4000,1001171,801234,0.0006577460441054736,0.031223088386164343,99873,0.0007362359038555757,0.019144313277862885,100064,0.0008754181312999737,0.008004876878797569,0.0006873315569657873,0.027697566150038305,
4500,999978,799865,0.0007218822344341516,0.03414201146443462,100217,0.0008443348291051038,0.021643034614885696,99896,0.001088214627058641,0.010100504524705694,0.000770750281904943,0.030487670728756033,
5000,999666,799675,0.0007501626014179344,0.1090455497545878,100130,0.0009376540412776785,0.0977629082193149,99861,0.001364853654116026,0.08608966463384105,0.0008303465639480731,0.10562227784079882,
5500,999232,799448,0.0009651005160113773,0.03560831974062103,100013,0.001307192626334799,0.02291702078729765,99771,0.002078528389528379,0.011265798678974853,0.0011105136639074041,0.03190750496381221,
6000,1000441,800065,0.0011968277206020651,0.03298481998337635,99978,0.0017901242541941216,0.02005441197063354,100398,0.0033027634846988646,0.008336819458554951,0.0014674567128957119,0.02921911437056258,
6500,1000226,800240,0.0016659562846169861,0.03523567929621114,100457,0.0028849927234217447,0.02279582308848562,99529,0.006519840292780421,0.01002722824503411,0.0022713824232911367,0.03147788599776451,
7000,1000408,800123,0.0030510215470525674,0.048015117675657366,99527,0.006218171248484311,0.035327097169612263,100758,0.017624237457752115,0.02198336608507513,0.004833879138220032,0.044130994554221877,
7100,999908,799598,0.003467410816759123,0.04953739253975122,100164,0.007130328340006866,0.03547182620502376,100146,0.020794501495017974,0.024364427935214587,0.005569735524495615,0.045607195862019306,
7200,999671,800012,0.003936685347576458,0.09444608330875037,100038,0.008266846944519568,0.08251864291569204,99621,0.024903621435102833,0.0694130755563586,0.0064594431807140865,0.09075785933572145,
7300,998615,798310,0.0047593952112690635,0.08496574012601621,100200,0.009981119484990473,0.0727245508982036,100105,0.029428259306956243,0.060306677988112484,0.0077562392527922505,0.081265552790615,
7400,1001969,800459,0.005758342923558517,0.16609845101373089,101143,0.01201365080978246,0.15243763779994662,100367,0.03593343756939797,0.14299520758815149,0.009412412390633316,0.16240522411372008,
7500,999340,799584,0.0060327822415331845,0.21694531156201224,100479,0.012324534565603541,0.20667005045830472,99277,0.03714887793688034,0.198797304511619,0.009756541536785254,0.21410931214601636,
