Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999463,799504,0.000418300720608428,0.023158108026976727,100097,0.00043032922106326634,0.013536869236840264,99862,0.00043824337556044624,0.006068374356612125,0.0004214979677489889,0.020487001519816143,
500,999719,799734,0.00042100120712609314,0.02334151105242493,100167,0.0004326381523143833,0.014485808699471883,99818,0.0004446323474188513,0.005930794045162195,0.0004245266488256251,0.020715821145741952,
1000,1000405,800214,0.0004249489640593029,0.023352503205392557,100313,0.00043893433135449997,0.014594319779091444,99878,0.0004469440779250491,0.005777047998558241,0.0004285472488861251,0.020719608558533793,
1500,999035,799583,0.00042876080258766737,0.023439717952982993,99724,0.00043844697714154145,0.015201957402430709,99728,0.0004553040412474633,0.006026391785656987,0.0004323773407232402,0.02087914837818495,
2000,1000132,799883,0.00043521799064508127,0.024003510513412585,100233,0.0004467362056124276,0.014546107569363384,100016,0.00046289465313553604,0.005919052951527755,0.00043914008724479,0.021247195370211133,
2500,999007,799399,0.0004410937376317191,0.023757848083372633,100110,0.00045908362591270296,0.013834781740085905,99498,0.00047059984709581215,0.006583046895414983,0.0004458352125115461,0.02105290553519645,
3000,1000381,800634,0.00045236485772058696,0.02407217280305358,100020,0.0004730674285764887,0.014297140571885622,99727,0.0004917131748662639,0.0063373008312693655,0.0004583573353475987,0.021326874460830425,
3500,999718,799870,0.00046261034924398683,0.023962643929638566,100103,0.0004837312164910658,0.014535028920212181,99745,0.0005179807412152392,0.006165722592611158,0.0004702496854580069,0.02124299052332758,
4000,1001228,801790,0.00047914102604023387,0.02425946943713441,99931,0.0005090896818181977,0.015440654051295393,99507,0.0005488468310737397,0.006210618348457897,0.000489057862826686,0.021585493014578096,
4500,1000186,799612,0.0004980475593347473,0.024576919806105962,100518,0.0005364009146636746,0.015609144630812392,100056,0.000604599328338989,0.006416406812185176,0.0005125612061668741,0.021858934238231688,
5000,1000476,801144,0.0005229421997743778,0.024745863415316097,99435,0.000574578514381723,0.015547845326092422,99897,0.0006687542060098278,0.0064666606604802945,0.0005426334656616919,0.022006524894150385,
