Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,1000884,801033,0.0004185370601704178,0.023746836896856933,99770,0.0004328595162809228,0.01420266613210384,100081,0.0004406146657101839,0.005655419110520478,0.00042217234686315187,0.02098644797998569,
500,999897,799765,0.00042154308693028667,0.023075528436478216,100051,0.00043124258413430844,0.013832945197949045,100081,0.0004456098025518133,0.005755338176077377,0.00042492250037074445,0.020417102961605045,
1000,1000177,800208,0.00042436366439278187,0.023445154259892426,99950,0.0004344416942498335,0.01455727863931966,100019,0.00044931704619610144,0.006078845019446305,0.00042786615583059875,0.020820314804279642,
1500,998848,798631,0.00042961614642708683,0.02375064328832715,100119,0.0004436248855749937,0.014392872481746722,100098,0.00045324411098267775,0.00583428240324482,0.00043338814471994517,0.021017211828025885,
2000,999720,800144,0.0004362240051162059,0.02415440220760263,100032,0.00044920289723976014,0.014505358285348689,99544,0.00046208554246661025,0.005635698786466286,0.00044009775517713976,0.021344976593446165,
2500,1000810,800937,0.00044553730011782954,0.024578712183355247,99930,0.00045600963409753013,0.015640948664064847,99943,0.0004709275318807527,0.0067438439910749125,0.0004491184756333429,0.02190525674203895,
3000,999887,799815,0.0004534319179797917,0.025178322487075137,99807,0.00046701928760234054,0.015630166220806156,100265,0.00047873335079805723,0.006861816187104174,0.0004573253206957211,0.02238852990387914,
3500,1000245,800703,0.00046955870636049133,0.02628065587365103,99454,0.00048561224788091665,0.015725863213143766,100088,0.0004937864192631651,0.006634161937495005,0.0004735792135836037,0.023265300001499633,
4000,1000926,800046,0.0004827895969075345,0.026599720516070326,100236,0.0004961641908547967,0.016920068638014287,100644,0.0005115941358614462,0.0072135447716704425,0.00048702529446897403,0.023681071327950318,
4500,998898,799396,0.0005044519852725789,0.028221307086850573,99759,0.0005209818500728703,0.01644964364117523,99743,0.0005336738503371088,0.0075794792617025755,0.0005090206992651425,0.02498453295531676,
5000,999261,798753,0.0005243676360588416,0.029354506336752413,100339,0.0005463136335868097,0.018238172594903276,100169,0.0005573187502908931,0.007517295770148449,0.0005298744251834779,0.026049250396042674,
5500,999762,800326,0.0005589007673247558,0.03091615166819521,99703,0.0005782195380158017,0.018234155441661737,99733,0.0005937674774213775,0.007399757352130188,0.0005643055546564316,0.027305498708692668,
6000,1001086,800812,0.0005952177669563937,0.03284041697676858,99856,0.000613889551914477,0.020189072264060248,100418,0.0006312473692558462,0.008384950905216196,0.0006006943297716508,0.029125369848344698,
6500,1001122,801399,0.0006515198745214084,0.03610061904244952,100039,0.0006778544024374544,0.02240126350723218,99684,0.0006943430023359982,0.009510051763572891,0.000658415398255042,0.03208400175003646,
7000,1000385,800938,0.0007222014717172302,0.040196619463678834,99796,0.0007516503147308669,0.024890777185458336,99651,0.0007771905538124729,0.010847859028007747,0.0007306168255632638,0.03574623769848608,
7100,1001021,801491,0.000736781580560747,0.04099359818138944,99781,0.0007641631880110859,0.025145067698259187,99749,0.0007891426907699637,0.01048632066486882,0.0007447285992099647,0.03637386228660538,
7200,999833,800053,0.0007613009022309068,0.0427821656815236,99966,0.0007905704506607756,0.0254986695476462,99814,0.0008208113748417919,0.011411224878273589,0.0007701683210813895,0.037922333029615944,
7300,999373,799041,0.0007723477845698233,0.04293521859328871,100371,0.00079998778736536,0.02605334210080601,99961,0.0008309791397178982,0.011444463340702874,0.000780988305789196,0.03808988235623736,
7400,1000248,800179,0.0008102349895576941,0.04535860101302334,99594,0.0008455065483630644,0.028194469546358215,100475,0.0008814576027658228,0.01151530231400846,0.0008209012720093902,0.04025001799553711,
7500,1000218,800718,0.0008203259987728228,0.0462759673193309,99852,0.0008583794839161872,0.02810159035372351,99648,0.0008875823668448904,0.011229527938342967,0.0008308253890699187,0.040970068525061534,
7600,998905,799205,0.0008628175972016015,0.04902496856250899,99606,0.0008992570320933966,0.029435977752344238,100094,0.0009400782817858705,0.012518232861110557,0.0008741929705500324,0.043413537823917187,
7700,1002242,801769,0.0008911786614031154,0.050497088313466845,100157,0.0009373707705580165,0.030761704124524496,100316,0.0009744658840171895,0.012689899916264603,0.0009041311260777189,0.04474069136994858,
7800,999257,799692,0.000909705637344653,0.051183455630417714,99884,0.0009515828446103515,0.030815746265668176,99681,0.0009997732730183794,0.012369458572847384,0.0009228763181226018,0.04527563980037168,
7900,999480,800725,0.0009274682034418492,0.05293203034749758,99405,0.0009692081659262901,0.032312257934711534,99350,0.0010157738742369575,0.014031202818319074,0.0009403972559134043,0.04701444751270661,
8000,1000636,800397,0.000977197410667715,0.05542249658606916,100063,0.00102973875009108,0.034058543117835766,100176,0.0010752036447557929,0.014933716658680722,0.0009922631454131617,0.04923268801042537,
8100,999371,799823,0.0010114733996128798,0.057705267290387996,99822,0.001066653579134188,0.03540301737092024,99726,0.0011154704323498071,0.015161542626797425,0.001027362798011392,0.05123222506956876,
8200,999921,799989,0.0010420005860553583,0.059087062447108644,100064,0.0010951709741447455,0.036456667732651105,99868,0.0011455746887205382,0.015480434173108503,0.001057666003822098,0.052467144904447455,
8300,1000345,799996,0.001125071879674518,0.06463657318286592,100422,0.0011958147126593164,0.038776363744996115,99927,0.0012543816838464083,0.016642148768601078,0.0011450906507739513,0.05724625004373491,
8400,997372,797945,0.001121953526513822,0.0636284455695568,99643,0.0011908113856172785,0.040614995534056585,99784,0.001244794808728879,0.016956626312835725,0.00114112270126422,0.05665990222304215,
8500,1001114,800665,0.0012620371761003384,0.07320664697470228,99629,0.0013441511531407694,0.0455489867408084,100820,0.001423567203635337,0.019152945844078555,0.0012864763416645638,0.06501057821586752,
8600,999898,799786,0.001304747272451868,0.07506507990887562,99907,0.0013916705284056886,0.045802596414665636,100205,0.001471076594553964,0.0194401476972207,0.0013301011299991605,0.06656678981256088,
8700,998952,799785,0.0013506337824748485,0.07879492613639916,99741,0.0014443002163793833,0.04894677213984219,99426,0.0015292138819138009,0.021392794641240723,0.001377760099606155,0.07010146633672089,
8800,999234,799303,0.0014744651504566937,0.08559582536284738,100201,0.0015861797742037578,0.053652159160088225,99730,0.0016795797487745535,0.02406497543367091,0.0015061394088429175,0.07625140857897149,
8900,1000968,800317,0.0016040385555355567,0.09549965826041432,100472,0.001737066986061434,0.059628553228760255,100179,0.001862787176429908,0.02584373970592639,0.0016432873732444215,0.08492778989937741,
9000,1001733,801182,0.0018487705387527187,0.11113954132768834,100375,0.0020281834083144797,0.07061519302615193,100176,0.00222807803013924,0.029967257626577225,0.0019046797221772673,0.09896149972098353,
9100,999324,800237,0.0018555407576091134,0.11108084230046848,99498,0.002035904882740889,0.06906671490884239,99589,0.0022191943286409355,0.03011376758477342,0.0019097391609375766,0.09882880827439348,
9200,1000601,800379,0.002114930724246775,0.12995468396846993,100335,0.0023547445408714594,0.08194548263317886,99887,0.0026015412962867735,0.03567030744741558,0.0021875548666376405,0.11572844720323086,
9300,998995,798479,0.0024166858821443623,0.1529808548502841,100263,0.0027482383736173724,0.09839123106230613,100253,0.0031068568773661813,0.044148304788884124,0.0025192230922770798,0.1365802631644803,
9400,998680,798537,0.002684086362345123,0.17296130298282986,99923,0.0031140600079290663,0.11164596739489407,100220,0.0035800082492423524,0.050379165835162644,0.00281701537673668,0.1545249729643129,
9500,1001149,801507,0.0032448392363123068,0.2226742873112774,99777,0.003906433248762244,0.14833077763412408,99865,0.004674970764910719,0.06681019376157812,0.0034534315146682545,0.19971752456427563,
9600,1000579,800359,0.004145959721236105,0.3194866303746194,100159,0.005414996191853787,0.21677532722970477,100061,0.007049779938330122,0.10374671450415247,0.004563382611985609,0.2876304619625237,
