Lambda,h=0,h=10,h=25,h=40,Bonus 10,Bonus 25,Bonus 40
5000,3.04E-04,1.12E-04,9.87E-05,9.86E-05,2.72,3.08,3.09
5500,0.00031254,0.000112594,9.90E-05,9.91E-05,2.78,3.16,3.15
6000,0.000322394,0.000113224,9.94E-05,9.96E-05,2.85,3.24,3.24
6500,0.000337613,0.000113509,9.99E-05,1.00E-04,2.97,3.38,3.38
7000,0.000350884,0.000114311,0.000100298,0.000100397,3.07,3.50,3.49
7500,0.000369866,0.00011489,0.000100654,0.000100944,3.22,3.67,3.66
8000,0.000396061,0.000115678,0.000101318,0.000101355,3.42,3.91,3.91
8100,0.000402295,0.000117079,0.000102394,0.000102291,3.44,3.93,3.93
8200,0.000408898,0.000118452,0.00010325,0.000103408,3.45,3.96,3.95
8300,0.000413035,0.000119721,0.000103623,0.000103758,3.45,3.99,3.98
8400,0.000419882,0.00011889,0.000103668,0.000103766,3.53,4.05,4.05
8500,0.000426178,0.000119593,0.00010378,0.00010401,3.56,4.11,4.10
8600,0.000439991,0.000119599,0.000103663,0.000103899,3.68,4.24,4.23
8700,0.000450006,0.00011986,0.000104465,0.00010458,3.75,4.31,4.30
8800,0.000453256,0.000119645,0.000104581,0.000104187,3.79,4.33,4.35
8900,0.000467392,0.000120185,0.000104446,0.000104736,3.89,4.47,4.46
9000,0.000478629,0.000119456,0.000103897,0.000104771,4.01,4.61,4.57
9100,0.000485334,0.000120863,0.000104701,0.00010464,4.02,4.64,4.64
9200,0.000502858,0.000120592,0.000104514,0.000105374,4.17,4.81,4.77
9300,0.000507194,0.00012061,0.000104694,0.00010497,4.21,4.84,4.83
9400,0.00052944,0.000121502,0.000105055,0.000104975,4.36,5.04,5.04
9500,0.000540629,0.000121477,0.000104791,0.000105315,4.45,5.16,5.13
9600,0.000560606,0.000121339,0.000105273,0.000105636,4.62,5.33,5.31
9700,0.000584651,0.000122113,0.000105653,0.000105272,4.79,5.53,5.55
9800,0.000603022,0.000122026,0.000105327,0.000105366,4.94,5.73,5.72
9900,0.000633009,0.000122206,0.000106072,0.000105768,5.18,5.97,5.98
10000,0.000645032,0.000122596,0.000106525,0.000105587,5.26,6.06,6.11
10100,0.000677254,0.000123257,0.000105981,0.000106766,5.49,6.39,6.34
10200,0.00071269,0.000122598,0.000106351,0.000106196,5.81,6.70,6.71
10300,0.000757093,0.000122621,0.000106033,0.0001064,6.17,7.14,7.12
10400,0.000789556,0.000122834,0.000106472,0.000106892,6.43,7.42,7.39
10500,0.000867281,0.000123948,0.000106977,0.000106587,7.00,8.11,8.14
10600,0.000918766,0.000124586,0.000106411,0.000106934,7.37,8.63,8.59
10700,0.001022228,0.000124407,0.000106956,0.000107876,8.22,9.56,9.48
10800,0.001082122,0.000124494,0.000107473,0.000108041,8.69,10.07,10.02
10900,0.001233946,0.000124443,0.000107706,0.000107237,9.92,11.46,11.51
11000,0.001448974,0.000124759,0.00010769,0.000107436,11.61,13.46,13.49
11100,0.001556203,0.000126195,0.000107853,0.000107611,12.33,14.43,14.46
11200,0.001933304,0.000125922,0.000107738,0.000107485,15.35,17.94,17.99
11300,0.002489139,0.000125492,0.000108074,0.00010799,19.84,23.03,23.05
11400,0.00366655,0.000126352,0.000107797,0.000108491,29.02,34.01,33.80
11500,0.004667287,0.000125377,0.00010794,0.00010795,37.23,43.24,43.24
