Lambda,Total Avg Wait Time
5000,0.000304347
5500,0.00031254
6000,0.000322394
6500,0.000337613
7000,0.000350884
7500,0.000369866
8000,0.000396061
8100,0.000402295
8200,0.000408898
8300,0.000413035
8400,0.000419882
8500,0.000426178
8600,0.000439991
8700,0.000450006
8800,0.000453256
8900,0.000467392
9000,0.000478629
9100,0.000485334
9200,0.000502858
9300,0.000507194
9400,0.00052944
9500,0.000540629
9600,0.000560606
9700,0.000584651
9800,0.000603022
9900,0.000633009
10000,0.000645032
10100,0.000677254
10200,0.00071269
10300,0.000757093
10400,0.000789556
10500,0.000867281
10600,0.000918766
10700,0.001022228
10800,0.001082122
10900,0.001233946
11000,0.001448974
11100,0.001556203
11200,0.001933304
11300,0.002489139
11400,0.00366655
11500,0.004667287
11510,0.004781967
11520,0.00533
