Lambda,Q1 Drop Rate
5000,0.006067369
5500,0.006077394
6000,0.006035318
6500,0.006067496
7000,0.006083179
7500,0.006146223
8000,0.006208665
9000,0.006280522
10000,0.006903866
10100,0.006971643
10200,0.007393217
10300,0.006401138
10400,0.006272294
10500,0.006295971
10600,0.006621064
10700,0.006259389
10800,0.006311565
10900,0.006779695
11000,0.006884197
11100,0.00687945
11200,0.006462229
11300,0.006335375
11400,0.006990833
11500,0.006121247
11600,0.006261019
11700,0.006560553
11800,0.006423833
11900,0.006166803
12000,0.006857531
12100,0.006003448
12200,0.006831836
12300,0.006891792
12400,0.006451225
12500,0.006736901
12600,0.006645767
12700,0.006922252
12800,0.006773768
12900,0.006707843
13000,0.006508846
13100,0.00664895
13200,0.007003306
13300,0.007061738
13400,0.006899577
13500,0.007168819
13600,0.006854722
13700,0.007006021
13800,0.006755069
13900,0.006664942
14000,0.006701983
14100,0.007052299
14200,0.007016875
14300,0.00691817
14400,0.006935297
14500,0.006856672
14600,0.007502251
14700,0.007104314
14800,0.006461163
14900,0.006799856
15000,0.006506116
15100,0.006674472
15200,0.007126605
15300,0.007337065
15400,0.007031954
15500,0.006924195
15600,0.007011122
15700,0.007592869
15800,0.007121293
15900,0.007182426
16000,0.007040774
16100,0.007171211
16200,0.007407334
16300,0.007092625
16400,0.007513449
16500,0.007168888
16600,0.007613063
16700,0.007203661
16800,0.007901027
16900,0.007702592
17000,0.007550741
17100,0.007935634
17200,0.007557657
17300,0.007154684
17400,0.007964946
17500,0.007584574
17600,0.007270839
17700,0.007319232
17800,0.007786005
17900,0.007841383
18000,0.007911011
18100,0.007702682
18200,0.007938158
18300,0.007509549
18400,0.007945742
18500,0.008055328
18600,0.007977978
18700,0.007402065
18800,0.00890472
18900,0.007815853
19000,0.008308944
19100,0.00835758
19200,0.008542638
19300,0.00844924
19400,0.008167432
19500,0.008175366
19600,0.008190033
19700,0.008883565
19800,0.008831855
19900,0.008271894
20000,0.009113472
20100,0.008830706
20200,0.008758831
20300,0.00886734
20400,0.008754074
20500,0.008751289
20600,0.008462652
20700,0.009071724
20800,0.00854024
20900,0.008869625
21000,0.009245146
21100,0.008882501
21200,0.009296135
21300,0.00933143
21400,0.009562855
21500,0.009155677
21600,0.008911298
21700,0.009357592
21800,0.009649843
21900,0.010111725
22000,0.0099998
22100,0.010114988
22200,0.01006661
22300,0.010226312
22400,0.01010676
22500,0.010473305
22600,0.010460314
22700,0.010668528
22800,0.011049006
22900,0.010285096
23000,0.010520216
23100,0.010885804
23200,0.011219035
23300,0.011285304
23400,0.010888401
23500,0.011030814
23600,0.011355102
23700,0.011754358
23800,0.011773466
23900,0.012008158
24000,0.012314559
24100,0.012135386
24200,0.013136716
24300,0.012143957
24400,0.012402712
24500,0.012355923
24600,0.01317148
24700,0.012551757
24800,0.013458883
24900,0.013862333
25000,0.014635917
25100,0.0144961
25200,0.014908485
25300,0.014938776
25400,0.015306327
25500,0.015816683
25600,0.01609295
25700,0.016564019
25800,0.016811943
25900,0.017565215
26000,0.017825818
26100,0.018324149
26200,0.018598213
26300,0.019618514
26400,0.020086903
26500,0.020467795
26600,0.021386881
26700,0.021749478
26800,0.023056474
26900,0.024293356
27000,0.0250628
27100,0.026218998
27200,0.028481408
27300,0.03119326
27400,0.030781032
27500,0.03258265
27600,0.035584872
27700,0.042070978
27800,0.04228592
27900,0.048732819
28000,0.055466982
28100,0.063396376
28200,0.07731667
28300,0.075433335
28400,0.133731256
28500,0.144251375
28600,0.266387852
28610,0.200781091
28620,0.248924624
28630,0.263780299
28640,0.333567506
28650,0.267652542
28660,0.310015251
28670,0.308075292
28680,0.269745239
28690,0.287848898
28700,0.5
28710,0.7
28720,0.9
28730,0.999
