Lambda,Total Avg Wait Time
5000,9.87E-05
5500,9.90E-05
6000,9.94E-05
6500,9.99E-05
7000,0.000100298
7500,0.000100654
8000,0.000101318
9000,0.000102394
10000,0.00010325
10100,0.000103623
10200,0.000103668
10300,0.00010378
10400,0.000103663
10500,0.000104465
10600,0.000104581
10700,0.000104446
10800,0.000103897
10900,0.000104701
11000,0.000104514
11100,0.000104694
11200,0.000105055
11300,0.000104791
11400,0.000105273
11500,0.000105653
11600,0.000105327
11700,0.000106072
11800,0.000106525
11900,0.000105981
12000,0.000106351
12100,0.000106033
12200,0.000106472
12300,0.000106977
12400,0.000106411
12500,0.000106956
12600,0.000107473
12700,0.000107706
12800,0.00010769
12900,0.000107853
13000,0.000107738
13100,0.000108074
13200,0.000107797
13300,0.00010794
13400,0.000108374
13500,0.000108683
13600,0.000108521
13700,0.000109252
13800,0.000108753
13900,0.000109319
14000,0.00010963
14100,0.00010941
14200,0.00010968
14300,0.000109961
14400,0.000110229
14500,0.000110713
14600,0.000110976
14700,0.000111429
14800,0.000111702
14900,0.000111568
15000,0.000111953
15100,0.000111995
15200,0.000111742
15300,0.000112463
15400,0.000112289
15500,0.00011266
15600,0.000113346
15700,0.000112943
15800,0.000113829
15900,0.000113781
16000,0.000113845
16100,0.000114272
16200,0.00011449
16300,0.000114191
16400,0.000114867
16500,0.00011542
16600,0.00011599
16700,0.000116322
16800,0.000115745
16900,0.000115155
17000,0.000116935
17100,0.000116495
17200,0.000117284
17300,0.000117144
17400,0.000117277
17500,0.000117544
17600,0.000118697
17700,0.000118439
17800,0.00011846
17900,0.000119253
18000,0.000118989
18100,0.000119447
18200,0.000120912
18300,0.000120106
18400,0.000121201
18500,0.000120178
18600,0.000121103
18700,0.00012165
18800,0.000122028
18900,0.000122149
19000,0.000123091
19100,0.0001231
19200,0.000123442
19300,0.000125218
19400,0.000124348
19500,0.000125016
19600,0.000124607
19700,0.00012584
19800,0.000126973
19900,0.000127307
20000,0.000126799
20100,0.000127994
20200,0.000127313
20300,0.000126835
20400,0.000129706
20500,0.000130066
20600,0.000129513
20700,0.000129644
20800,0.000131457
20900,0.000131031
21000,0.000133165
21100,0.000131886
21200,0.000133805
21300,0.000132989
21400,0.000135976
21500,0.00013496
21600,0.000135853
21700,0.000136283
21800,0.000134822
21900,0.000137005
22000,0.000136752
22100,0.000138484
22200,0.00013777
22300,0.000138883
22400,0.000138949
22500,0.000140558
22600,0.000141171
22700,0.000141258
22800,0.000143414
22900,0.000144732
23000,0.000143466
23100,0.000142594
23200,0.000145753
23300,0.000145266
23400,0.000146789
23500,0.000146595
23600,0.000148484
23700,0.000150568
23800,0.000148855
23900,0.000149929
24000,0.000151675
24100,0.000154579
24200,0.000153757
24300,0.000157269
24400,0.000154261
24500,0.000157655
24600,0.0001609
24700,0.000161097
24800,0.000158898
24900,0.000160273
25000,0.000158761
25100,0.000163312
25200,0.000166839
25300,0.00016937
25400,0.000168374
25500,0.000168166
25600,0.000170062
25700,0.000173762
25800,0.000174443
25900,0.000171876
26000,0.000177076
26100,0.000176193
26200,0.000179965
26300,0.000180914
26400,0.000181031
26500,0.000185904
26600,0.00018747
26700,0.000189599
26800,0.000189218
26900,0.00019374
27000,0.000191276
27100,0.000192006
27200,0.000195074
27300,0.000202904
27400,0.000203588
27500,0.000205904
27600,0.000209412
27700,0.000215471
27800,0.000218387
27900,0.000215553
28000,0.000219533
28100,0.000226682
28200,0.000232712
28300,0.000239076
28400,0.000231068
28500,0.000235776
28600,0.000243276
28700,0.000247036
28800,0.000259152
28900,0.000259323
29000,0.000259194
29100,0.000278068
29200,0.00028045
29300,0.000284622
29400,0.000291838
29500,0.00029579
29600,0.000303762
29700,0.00030856
29800,0.000305813
29900,0.000332371
30000,0.000337207
30100,0.00034844
30200,0.000360417
30300,0.000384283
30400,0.000381825
30500,0.000412647
30600,0.000410507
30700,0.00044978
30800,0.000474947
30900,0.000479154
31000,0.000530303
31100,0.000543149
31200,0.00057997
31300,0.000598553
31400,0.000662111
31500,0.00074831
31600,0.000764843
31700,0.000902874
31800,0.001016719
31900,0.00173354
32000,0.002787606
32100,0.003483119
32110,0.00491353
32115,0.009
