Lambda,Total Avg Drop Rate
5000,0.005306716
5500,0.005234613
6000,0.005341801
6500,0.005462882
7000,0.005356437
7500,0.005381227
8000,0.005499892
9000,0.005377042
10000,0.005450407
10100,0.005679602
10200,0.005338789
10300,0.005490118
10400,0.005753613
10500,0.005497306
10600,0.005782197
10700,0.005611785
10800,0.005175663
10900,0.005595596
11000,0.005650337
11100,0.005470613
11200,0.005441342
11300,0.005733784
11400,0.005950283
11500,0.00547562
11600,0.005571839
11700,0.005807236
11800,0.006120627
11900,0.006033273
12000,0.005522264
12100,0.005672991
12200,0.005670357
12300,0.005712517
12400,0.005839314
12500,0.00554444
12600,0.005671323
12700,0.00552011
12800,0.005749708
12900,0.00545622
13000,0.005952262
13100,0.005653222
13200,0.005473448
13300,0.006130552
13400,0.00562018
13500,0.005263945
13600,0.005966838
13700,0.005915848
13800,0.006149717
13900,0.006271693
14000,0.005946422
14100,0.005570281
14200,0.005608097
14300,0.005938492
14400,0.006060727
14500,0.00596176
14600,0.005990475
14700,0.005938826
14800,0.006099576
14900,0.005428546
15000,0.006627356
15100,0.005962157
15200,0.00600793
15300,0.006373314
15400,0.005764584
15500,0.006176042
15600,0.006156588
15700,0.006130974
15800,0.006237712
15900,0.006367832
16000,0.006092454
16100,0.005662233
16200,0.005728568
16300,0.006539145
16400,0.006119719
16500,0.006528326
16600,0.00598874
16700,0.006626885
16800,0.006112237
16900,0.006073438
17000,0.006556983
17100,0.006375082
17200,0.006487051
17300,0.006031412
17400,0.006448135
17500,0.006526064
17600,0.006347593
17700,0.006185197
17800,0.006562963
17900,0.006542056
18000,0.006095849
18100,0.006157734
18200,0.006807467
18300,0.006459948
18400,0.006256246
18500,0.006217016
18600,0.006914468
18700,0.006852193
18800,0.006560168
18900,0.006619727
19000,0.007282685
19100,0.006647009
19200,0.006581243
19300,0.006737353
19400,0.006511925
19500,0.006519363
19600,0.007225419
19700,0.006554129
19800,0.006593473
19900,0.007502626
20000,0.007176938
20100,0.006508442
20200,0.006347328
20300,0.007007087
20400,0.006541365
20500,0.006996657
20600,0.006527271
20700,0.00731946
20800,0.006433952
20900,0.006992588
21000,0.007010867
21100,0.006919824
21200,0.007070535
21300,0.007196114
21400,0.007418086
21500,0.007061526
21600,0.007471569
21700,0.007637013
21800,0.007589072
21900,0.007174592
22000,0.006785471
22100,0.007720964
22200,0.007779527
22300,0.007923867
22400,0.007503697
22500,0.00757166
22600,0.00774095
22700,0.007944725
22800,0.008373514
22900,0.00811302
23000,0.007696229
23100,0.008017609
23200,0.007804741
23300,0.007913849
23400,0.007683316
23500,0.007893664
23600,0.008477616
23700,0.007868269
23800,0.007854576
23900,0.007864102
24000,0.008143437
24100,0.008135865
24200,0.008451859
24300,0.00841695
24400,0.008386961
24500,0.008500298
24600,0.008801863
24700,0.008553732
24800,0.008462935
24900,0.008332085
25000,0.008619656
25100,0.00921525
25200,0.009151215
25300,0.009224356
25400,0.008997545
25500,0.008703518
25600,0.008908641
25700,0.008744603
25800,0.009196457
25900,0.009426764
26000,0.009207734
26100,0.009536186
26200,0.010056436
26300,0.009759857
26400,0.00966015
26500,0.009879669
26600,0.010248565
26700,0.010281668
26800,0.010221703
26900,0.011287133
27000,0.010423206
27100,0.010442217
27200,0.01086262
27300,0.010377688
27400,0.011922993
27500,0.011576974
27600,0.011222083
27700,0.011224357
27800,0.012066335
27900,0.011993988
28000,0.01192591
28100,0.01237715
28200,0.011501023
28300,0.012701177
28400,0.01270726
28500,0.01314227
28600,0.014266953
28700,0.013088874
28800,0.014942287
28900,0.013315179
29000,0.014572733
29100,0.014668873
29200,0.015815924
29300,0.015631432
29400,0.015837761
29500,0.015390786
29600,0.015910448
29700,0.016979751
29800,0.017877975
29900,0.017460761
30000,0.018972962
30100,0.019247559
30200,0.020270102
30300,0.020630166
30400,0.02137551
30500,0.022429882
30600,0.023374825
30700,0.024018086
30800,0.026072967
30900,0.026391717
31000,0.028839804
31100,0.030637769
31200,0.030357729
31300,0.036305521
31400,0.037460971
31500,0.040124515
31600,0.044688607
31700,0.049295275
31800,0.057426822
31900,0.061930811
32000,0.079150839
32100,0.099594124
32200,0.111213517
32300,0.15514496
32400,0.317227679
32500,0.711350894
32600,0.900223007
32710,0.996548209
