Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
1,998688,333690,0.0017399895244719866,0.10915220713836195,332604,0.0019691683021549593,0.07037498045724044,332394,0.0022314981576997163,0.0310685511772174,
100,999546,332810,0.0017423388997847167,0.10950993059102791,334099,0.001986911629318811,0.07084127758538637,332637,0.002247541030487926,0.031036835950300178,
200,1000357,333374,0.001763245403351784,0.11089647063058307,333908,0.0020065115696307457,0.071684416066701,333075,0.0022735740002413412,0.031554454702394354,
300,1001200,333910,0.0017852763960849918,0.11290766973136473,333904,0.002033638411723874,0.07227825961953137,333386,0.002312074251396752,0.031740984924381946,
400,999466,333806,0.0018005337931127452,0.11412616909222723,333105,0.00206103061586904,0.0721514237252518,332555,0.0023669456711481246,0.03214806573348769,
500,999952,333145,0.001838579911883891,0.11492293145627279,332531,0.0021072938864568668,0.07233912026247177,334276,0.0024270793110235094,0.0328859983965346,
600,999312,332478,0.0018721882341190806,0.11543921703090129,333776,0.002158791742263651,0.07355232251569915,333058,0.0025011323374283345,0.03257690852644284,
700,999582,333015,0.001933669207427006,0.11770640962118824,333187,0.002250056783931921,0.07499092101432529,333380,0.002666427961665366,0.03375727398164257,
800,999721,333291,0.0019864615157774057,0.11840103693169032,333507,0.002337821092135423,0.07661908145856008,332923,0.002818472031669438,0.03407394502632741,
900,999310,332033,0.002063215796808469,0.12027720136251517,333943,0.0024693961692367214,0.07738745833869852,333334,0.00309708395339123,0.03463193073613853,
1000,999323,333368,0.0021653036858390947,0.12192831945477671,333315,0.002639043397798365,0.0787963337983589,332640,0.0034645954622823496,0.0356511544011544,
1100,1000173,333077,0.0022878685772492117,0.12491105660252734,333147,0.002879777489479187,0.0813154553395348,333949,0.003981141562293394,0.036251044321138855,
1200,1001029,333932,0.002451838806305006,0.12909215049770612,333038,0.0032226631161771714,0.08376821864171656,334059,0.004960033220758655,0.03755324658219057,
1300,1000174,332926,0.0026679604928086373,0.13329088145714063,333800,0.0036904307603712293,0.08543139604553625,333448,0.0061504825568661995,0.03927149060723111,
1400,1000932,333526,0.0029608640130983706,0.13938043810677428,333596,0.004353539498889106,0.09151188863175817,333810,0.008294995175524603,0.04364458823881849,
1500,998703,332146,0.003421039976880065,0.14662226852046992,333588,0.005426620802775784,0.09935009652625394,332969,0.012090663132926218,0.05071643306133604,
1600,1000779,333985,0.004157181699492566,0.18174169498630177,332791,0.007312910340599386,0.13545738917218314,334003,0.019420499496569044,0.08505312826531498,
1700,1000927,333537,0.004592061902946923,0.35542983237242043,332752,0.008657736242729367,0.3191626196085974,334638,0.025514403619591803,0.278521865418751,
