Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate
1,999099,332788,0.001967373774979,0.130560597136916,333804,0.002308522478017,0.084969023738481,332507,0.002696431710647,0.038531519637181
100,999620,333434,0.001985784716392,0.132739912546411,332697,0.002329307479911,0.08696802195391,333489,0.002735696778841,0.039476564444405
200,999950,333220,0.002034853026987,0.134379689094292,333748,0.002376688832947,0.088503901146973,332982,0.002811553909083,0.040182352199218
300,999923,333055,0.002075827680772,0.139280299049706,334016,0.002447360144922,0.091998586894041,332852,0.002916301137371,0.041393772607646
400,1000011,333756,0.002134198070318,0.149318663934131,333310,0.002529766034203,0.100156010920764,332945,0.003067033951725,0.048227184670141
500,1001670,334021,0.002223816081038,0.155107014229644,333592,0.002669218619914,0.102316602316602,334057,0.00322316104738,0.049030554665821
600,1000508,332710,0.002339165782361,0.167154579062848,334273,0.002826068298224,0.112704286616029,333525,0.003533162165461,0.054646578217525
700,999430,333013,0.002471270836097,0.183929756495993,333215,0.003026959139394,0.126951067629008,333202,0.003877801972285,0.062397584648352
800,1000370,333806,0.002640300556564,0.210250864274459,333303,0.003293064919591,0.146806359378703,333261,0.0043771188171,0.077194751261024
900,999697,332760,0.002885906698274,0.235103377809833,334135,0.003705663556297,0.164244990797133,332802,0.005133762106861,0.083689400905043
1000,999382,333256,0.003158108941158,0.285789303118323,333583,0.004246020318835,0.208946499072195,332543,0.006219775249462,0.114752077174982
1100,1000501,333324,0.00346403273071,0.363589180497054,333970,0.004887251723266,0.27700392250801,333207,0.007929173796316,0.161836335971333
1200,1000073,333553,0.003749678236254,0.467634828647921,333138,0.005767321727255,0.369420480401515,333382,0.010242225111387,0.224625204720111
1300,999287,333119,0.002536917669699,0.771345975462222,332440,0.004950764081561,0.696895680423535,333728,0.013462269010895,0.548947046696711
1400,999300,333198,1.10489617276887E-05,0.999363741679121,332673,3.7404412788618E-05,0.998809641900605,333429,0.000171198074553,0.99739974627282
1500,1001295,334184,1.72868617488617E-06,0.999910229095349,333415,4.73574692455753E-06,0.999859034536538,333696,6.13930852968612E-05,0.999442606444189
1600,1001430,334729,2.70221773725465E-06,0.999880500345055,333592,6.59030103175759E-06,0.999742200052759,333109,4.72852355572601E-05,0.999381583805901
1700,1000702,333619,2.22414942327161E-06,0.999889095045546,334217,3.98523286719365E-06,0.999856380734672,332866,3.43789709961068E-05,0.99966953669044
