Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate
1,999730,333672,0.001729417653975,0.110057181903186,332638,0.001956580281239,0.070268580258419,333420,0.002225611639969,0.031071921300462
100,998740,333196,0.001744063675851,0.110232415755291,333046,0.001970061242867,0.070629882959111,332498,0.002252426336072,0.031124999248116
200,1000531,334132,0.001756330963037,0.111889911771396,332260,0.00201002917498,0.072271714922049,334139,0.002268864938472,0.031576679166455
300,999422,333401,0.001781628238734,0.113122036226646,333275,0.002035479835527,0.072708724026705,332746,0.002310211209216,0.032397083661411
400,1000359,333342,0.00181478595017,0.115338001211968,333450,0.002066581889151,0.073750187434398,333567,0.002347903191757,0.032641118575878
500,1001495,333655,0.001857285850755,0.117795327508954,334224,0.002109297489203,0.076095672363445,333616,0.002386410419547,0.034072106853388
600,998448,332924,0.001905853225236,0.120625127656763,332676,0.002164380691724,0.078809412160781,332848,0.002471044205999,0.035304403211075
700,997158,333428,0.001943538588725,0.124164737214631,331611,0.002241854554916,0.080476823748308,332119,0.00254265606558,0.036234000463689
800,1001802,334777,0.002025418808386,0.129952177120889,333293,0.002324958238697,0.083452097703822,333732,0.002652026257065,0.037745855956276
900,1001191,333031,0.002108454626226,0.135855220685161,334816,0.002435526788943,0.08709261206155,333344,0.002791433682982,0.039307742152251
1000,1000224,332911,0.00221920188329,0.143002183766833,333736,0.002564641110857,0.092534218663854,333577,0.002952248101198,0.041414725835414
1100,999127,333782,0.002342737171866,0.153474423426068,332976,0.002751687417746,0.100424655230407,332369,0.003178419977263,0.045419398319338
1200,1001994,333584,0.002546630721363,0.168272459110749,334470,0.002988775433442,0.110458337070589,333940,0.003502633184422,0.048775229083069
1300,1000398,333538,0.002773259631243,0.187157085549473,333147,0.003319939865682,0.122222322278153,333713,0.003922043278519,0.055370932507874
1400,1000694,333234,0.003081318646865,0.215947352310989,333748,0.0037568916105,0.142913215959347,333712,0.004541735889461,0.066006017164501
1500,1001027,334128,0.003515876431041,0.259316788775559,333264,0.004471909803992,0.175185438571223,333635,0.005585564799046,0.082155649137531
1600,1000048,332966,0.004043786259198,0.33114191839407,333214,0.005453428120735,0.231289801749026,333868,0.0073844623341,0.112038290581907
1700,1000078,332881,0.004663147914892,0.501236177492858,333602,0.007338834258041,0.375534319338613,333595,0.012020283024163,0.200233816454084
