Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate
1,998994,332751,0.00197109125966,0.130998854999684,332548,0.002295800939699,0.085635757845484,333695,0.002705948891859,0.038679033248925
100,1000680,333850,0.001985906401921,0.132107233787629,333385,0.002320836732401,0.08609865470852,333445,0.002747144812915,0.039676708302719
200,999454,333096,0.002012569223943,0.13531234238778,333175,0.002374342530353,0.088797178659864,333183,0.002823151605252,0.041088530927448
300,998808,332450,0.002054257738827,0.134958640397052,333909,0.002417980681376,0.091036779481835,332449,0.002960104854353,0.042565927405407
400,998636,332260,0.002063817971768,0.140278697405646,333088,0.002486449873475,0.095530310308387,333288,0.003106630250843,0.047949521134874
500,999834,333039,0.002112303863535,0.143571773876333,333955,0.002574633460903,0.100809989369825,332840,0.003399013653031,0.052502704001923
600,998946,333283,0.002152387221964,0.146350098864929,332675,0.002692184922923,0.104372134966559,332988,0.003704623186523,0.057449517700338
700,1000635,332832,0.002206656444748,0.152332107489664,333497,0.002831117894436,0.115950068516358,334306,0.00433617325367,0.072930189706437
800,1000902,333595,0.002254859372296,0.156171405446724,333406,0.003026363335981,0.123420094419417,333901,0.005103980605066,0.090299220427612
900,1000070,333213,0.002306169556869,0.164768481421793,333300,0.003198807892816,0.138643864386439,333557,0.006139902171998,0.123562089837719
1000,1000045,333299,0.002385574097685,0.16758226097288,333299,0.003493543271233,0.150384489602429,333447,0.008051417929716,0.157320353759368
1100,1000757,333681,0.002444266318587,0.180714514761104,333690,0.003747934496992,0.17649315232701,333386,0.010272330145655,0.262188574205276
1200,998750,332562,0.002538253583649,0.180119797210746,332550,0.004141913862163,0.19170951736581,333638,0.012958741783587,0.404357417320569
1300,1000214,333938,0.002638645954856,0.192164413753451,333091,0.004694769066882,0.233347643736997,333185,0.000347711375818,0.99441151312334
1400,1001220,334398,0.002656061106978,0.193132135957751,333436,0.004903216235521,0.258913254717547,333386,3.66774190813247E-05,0.998791190991823
1500,999918,332471,0.002700933094572,0.200158810843652,333364,0.005308649254164,0.294941865348388,334083,1.71545392468367E-05,0.999775504889504
1600,999968,332833,0.002726724132678,0.206367758004765,333583,0.005604338355884,0.360279150915964,333552,2.32193439722111E-07,0.999985009833549
1700,1001368,334355,0.002782036110791,0.210488851669633,333613,0.005934210438115,0.438028494093456,333400,1.26915671787644E-05,0.999817036592682
