Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate
1,1001299,333592,0.001730572354728,0.109148300918487,333373,0.001953404711737,0.070551604359081,334334,0.002231212956378,0.031298043274091
100,1000693,334125,0.001744872021764,0.110725028058361,333503,0.00197921677052,0.070716005553174,333065,0.002241847339749,0.030921892123159
200,999870,333357,0.001759659021418,0.110386162582457,333093,0.002014233428119,0.071295403986274,333420,0.002274435462617,0.031944694379461
300,1001477,333497,0.001776883747582,0.112486768996423,333393,0.002026268662389,0.071843140077926,334587,0.002308900523155,0.032804621817345
400,1000372,333235,0.001798088714628,0.112656233588909,334303,0.002058938533612,0.073654738366093,332834,0.002383511041271,0.033049508163229
500,999685,332800,0.00180806492677,0.115375600961538,333306,0.002090355013712,0.075657203890719,333579,0.002463038725402,0.034189802115841
600,1002208,333928,0.001824688549493,0.116072925900194,334392,0.002147527318217,0.077403167539893,333888,0.00257374662118,0.035395102549358
700,999683,333743,0.001861766805783,0.117102081541785,332944,0.00220385996499,0.078914171752607,332996,0.002707582543706,0.038351812033778
800,1001066,333416,0.00187601504667,0.12019819084867,334545,0.002266363479276,0.081050381861932,333105,0.002923609856456,0.041467405172543
900,999881,333288,0.001907179872579,0.121111471160078,333805,0.00234060965249,0.084028100238163,332788,0.003173885258156,0.045220981525776
1000,998736,332867,0.001937381624287,0.12253542706246,332534,0.002424295730292,0.0879549158883,333335,0.003590098982031,0.052124739376303
1100,998990,332416,0.001973219678333,0.125057157296881,333732,0.00253789837982,0.092772044634617,332842,0.004090499655354,0.060956850397486
1200,1000721,333367,0.002012250767859,0.128036068357096,333867,0.002687332776577,0.099665435637544,333487,0.004986018154787,0.075850033134725
1300,1001169,333669,0.002042587326583,0.130908175467304,334088,0.002842133955062,0.105717655228563,333412,0.006234160914177,0.10083920194834
1400,999248,333276,0.002095022142337,0.133733002076357,333091,0.003043451482529,0.113995875001126,332881,0.007972874345969,0.135357680372265
1500,1000770,332578,0.002124807736519,0.135910974267691,334427,0.003244334169232,0.123922410570917,333765,0.010469013344962,0.193007055862658
1600,1000192,334171,0.002180719005308,0.13928198437327,333274,0.003512684309526,0.135072042823623,332747,0.014178607137623,0.346524536659985
1700,1000080,333458,0.002232101026333,0.144518949912733,333002,0.003878392431999,0.155647713827545,333620,0.008253140818739,0.850407649421497
