Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
1,100125,33275,0.0007998106037576186,0.04474830954169797,33494,0.000844435811441806,0.026900340359467367,33356,0.0008791118980167686,0.012291641683655114,
100,100553,33751,0.0007988928973642599,0.04607270895677165,33147,0.0008433320179473692,0.028599873291700606,33655,0.0008863413354679661,0.01256871192987669,
200,100406,33696,0.0007965427784347787,0.04775047483380817,33440,0.0008340791963653262,0.02757177033492823,33270,0.0008961711560307995,0.012353471596032463,
300,100590,33194,0.0008016205443876519,0.045911911791287584,33872,0.0008512171383710788,0.027190599905526688,33524,0.000901929357328483,0.010947380980789881,
400,99307,32839,0.0008009991610468881,0.046499588903437986,33130,0.0008522271585688663,0.028886205855719892,33338,0.000896746021116635,0.01208830763693083,
500,99735,33284,0.0008129197743139984,0.04659896647037615,33164,0.0008538046625870527,0.02912797008804728,33287,0.0009033110679494645,0.012797788926607986,
600,99668,32967,0.0008078427982310345,0.045530378863712195,33369,0.00087652967883928,0.029907998441667416,33332,0.0009028500087192105,0.012420496819872794,
700,99731,33276,0.0008168076196192705,0.04736146171414834,33227,0.0008517920448515075,0.0297047581785897,33228,0.0009240886920330534,0.012519561815336464,
800,99927,33078,0.0008198277087272094,0.04685893947638914,33536,0.0008619214659425499,0.027463024809160304,33313,0.0009137303532211164,0.011857232912076366,
900,99916,33267,0.0008160441111712486,0.04683319806414765,33451,0.0008866861178846047,0.027951331798750412,33198,0.0009190967018228705,0.012199530092174227,
1000,100164,33310,0.0008414108037308196,0.047553287301110775,33491,0.0008730339194501787,0.031023259980293212,33363,0.0009281317639028182,0.012019302820489764,
1100,99745,33229,0.0008330064304550764,0.04875259562430407,33225,0.0008914625937132943,0.031392024078254324,33291,0.0009207536028449354,0.013517166801838334,
1200,100483,33506,0.0008491003517526586,0.04963290156986808,33543,0.0009066191519119897,0.03145216587663596,33434,0.0009599798889565356,0.012891068971705449,
1300,99700,33334,0.000872776243014732,0.05084898302033959,33099,0.0009080228690024844,0.031239614489863742,33267,0.0009639086669005164,0.01454895241530646,
1400,99894,33332,0.0008699685484799806,0.04914196567862714,33353,0.0009200602188128293,0.030402062782958053,33209,0.0009783975969555273,0.01288807251046403,
1500,99948,33020,0.0008699256762061713,0.049697153240460326,33502,0.0009250720958760334,0.030833980060891886,33426,0.0009708275703085731,0.013911326512295817,
1600,100138,33567,0.000872512464201603,0.05028748473202848,33186,0.0009282309749444068,0.03145904899656481,33385,0.0009851789205202264,0.014048225250861164,
1700,99753,33254,0.0008934913723767159,0.05145245684729657,33212,0.0009274972113710392,0.03230759966277249,33287,0.0009855730156564592,0.013308498813350557,
1800,100275,33310,0.0009070211247126344,0.05328730111077754,33308,0.0009640742703144187,0.032184460189744205,33657,0.0010308952470896682,0.014350655138604153,
1900,100329,33336,0.0009080392264278752,0.05267578593712503,33452,0.0009628371596590916,0.03225517158914265,33541,0.0010262248158984723,0.012551802271846397,
2000,99454,33088,0.000928541379916784,0.05391682785299807,33181,0.0009932234919874698,0.03275971188330671,33185,0.0010415080174065662,0.014735573301190297,
2100,100188,33116,0.0009593011623968546,0.055018722067882594,33475,0.0010154127797552405,0.03659447348767737,33597,0.0010713892803932955,0.01339405304045004,
2200,100527,33554,0.000976777246383558,0.05713178756631102,33410,0.0010445475031367795,0.03573780305297815,33563,0.0010879658018048627,0.01316926377260674,
2300,100216,33315,0.0009787500467713314,0.05874230826954825,33534,0.0010513789195504063,0.033339297429474564,33367,0.001083294741003213,0.014805046902628346,
2400,99662,33164,0.0009927477332846834,0.05689904715957062,33289,0.0010656556488053061,0.03586770404638169,33209,0.0011311344923315794,0.015417507302237345,
2500,99774,33350,0.0010505297365142328,0.06113943028485757,33263,0.0011130507476090235,0.03724859453446773,33161,0.0011661406064186364,0.0160127861041585,
2600,99881,33132,0.0010512778909063014,0.06235663406978148,33205,0.0011364160511931982,0.036771570546604425,33544,0.0011939899313424384,0.015680896732649652,
2700,100367,33539,0.0010634483110145648,0.06270312173887116,33354,0.0011476894819327666,0.03906577921688553,33474,0.0012167000705574436,0.017535998088068352,
2800,99337,33062,0.0011011359369319834,0.06227693424475229,33315,0.0011862407315719767,0.03956175896743209,32960,0.0012306963723644473,0.016899271844660193,
2900,99781,33115,0.0011382493203733782,0.06854899592329759,33519,0.0012311310447537364,0.04233419851427549,33147,0.0013163874987176755,0.01761848734425438,
3000,99566,33446,0.0011824141813431095,0.06790049632243018,33029,0.0012786927012410092,0.04135759484089739,33091,0.0013513885611535585,0.018010939530385905,
3100,99753,33002,0.001161596098156452,0.06960184231258712,33272,0.001239197332943261,0.043820629959124786,33479,0.0013312853207489248,0.018071029600645182,
3200,99821,33181,0.001278509701823448,0.07465115578192338,33352,0.0013755414060669193,0.047463420484528666,33288,0.0014891773765859416,0.020277577505407353,
3300,100039,33432,0.0012815112520968297,0.07531706149796602,33092,0.0013782843033870987,0.0466578024900278,33515,0.0014760206247183473,0.02028942264657616,
3400,100640,33337,0.0013840409237489998,0.07871134175240724,33544,0.0014859604877237738,0.049248747913188645,33759,0.0015815665420968817,0.021416511152581533,
3500,99957,33430,0.0014194056491669631,0.08576129225246784,33400,0.0015337305396117271,0.05200598802395209,33127,0.0016605991297055033,0.021704349926042203,
3600,100011,33375,0.0015248080960629554,0.09087640449438203,33334,0.0016918951574645116,0.05759884802303954,33302,0.0018278418882043605,0.023842411867155126,
3700,99923,33271,0.0017009362801828824,0.09990682576417902,33161,0.0018373034303647998,0.06408130032266819,33491,0.0020186955166884824,0.025887551879609446,
3800,100025,33285,0.0018132153795592644,0.1081868709628962,33480,0.0019818421297520955,0.069026284348865,33260,0.002189067136257377,0.030336740829825615,
3900,99592,32957,0.0017629906132815044,0.1035895257456686,32980,0.001923065665392783,0.0648271679805943,33655,0.0020883328101058115,0.029534987371861537,
4000,100167,33477,0.0019501967359456618,0.11978373211458614,33452,0.0021792356420327606,0.07467415999043406,33238,0.0023708975744201623,0.032763704193994825,
4100,100331,33428,0.0021929681699171346,0.13276295321287543,33603,0.0024327720921493664,0.08633157753771985,33300,0.0027460519400192697,0.038138138138138135,
4200,99949,33372,0.002517964405063793,0.16130288864916698,33354,0.00287384137220509,0.10691371349763147,33223,0.0033298266783391506,0.04701562170785299,
4300,100950,33794,0.0028952409853119435,0.1937917973604782,33386,0.003416899316019426,0.1262804768465824,33770,0.003996689831239099,0.05543381699733491,
4400,99586,32859,0.0028855414485309187,0.1881067591831766,33574,0.0033608332567316352,0.12226723059510336,33153,0.0038811036107381054,0.05583205139806352,
