Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
1,100470,33468,0.0003607279423903801,0.02118441496354727,33489,0.00037018995515762947,0.012272686553793783,33513,0.00037623331328383384,0.00495330170381643,
100,100090,33354,0.00036021744897118393,0.019877675840978593,33238,0.0003702045065597952,0.011312353330525302,33498,0.00037931985068511017,0.0052540450176129915,
200,99795,33511,0.00035889543655748897,0.02112739100593835,33171,0.00036901475770858004,0.011938138735642579,33113,0.000375269306461444,0.004711140639627941,
300,100513,33263,0.0003604279518715401,0.01990199320566395,33379,0.0003705769852824106,0.01138440336738668,33871,0.00038011164715087974,0.0049009477133831305,
400,99917,33402,0.0003618059570187772,0.019190467636668464,33045,0.00037062770507310304,0.013163867453472538,33470,0.0003853401797078613,0.004870032865252465,
500,100323,33469,0.0003654255867237508,0.019749619050464608,33362,0.0003802650446176795,0.011420178646364127,33492,0.00038748555875583963,0.004389107846649946,
600,99915,33390,0.0003684674912348112,0.019796346211440552,33325,0.0003708664809244554,0.013083270817704426,33200,0.00037946254225469075,0.005,
700,99488,33212,0.00036633937417364647,0.0196615681079128,33186,0.00037117568207269364,0.011269812571566323,33090,0.0003834564707387331,0.005439709882139619,
800,100180,33273,0.00036527880222263616,0.021579058095152225,33480,0.0003726183912717314,0.012694145758661887,33427,0.0003845768307054129,0.0055942800729948845,
900,99610,33116,0.0003638484213021067,0.019839352578813866,33329,0.0003750938460367547,0.011221458789642653,33165,0.0003859633715609966,0.005306799336650083,
1000,100354,33591,0.0003662506652262045,0.01964812003215147,33446,0.0003725267854115367,0.012766848053578903,33317,0.0003857245539620379,0.0046222649098058045,
1100,99867,33309,0.0003662455471985364,0.01957428923113873,33275,0.000376197504512844,0.0129526671675432,33283,0.0003823695463278944,0.00609920980680828,
1200,99913,33498,0.00036880650826319776,0.01958325870201206,33279,0.00037341862550086273,0.012109738874365216,33136,0.00038012503067003057,0.005190729116368904,
1300,100121,33500,0.0003667104377432392,0.02101492537313433,33250,0.00037539892774957675,0.011157894736842104,33371,0.00039119921333395814,0.005184141919630817,
