Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,300895,99679,0.0007997624346999645,0.0450746897541107,100410,0.0008430964674706095,0.028084852106363908,100806,0.0008830304454493181,0.012400055552248873,0.0008421196866386798,0.028458432343508533,
100,300086,99631,0.0008028486072351103,0.04590940570705905,100085,0.0008482919771872434,0.027626517460158866,100370,0.0008906806311157514,0.012314436584636844,0.0008473821740078315,0.028575141792686096,
150,299885,100237,0.0007933594711107151,0.04636012650019454,99663,0.0008405740312373223,0.02819501720799093,99985,0.0008891213115619892,0.012591888783317498,0.0008409786995596837,0.029064474715307535,
200,300035,99597,0.0008008263517110615,0.04499131499944777,100348,0.0008435502582046952,0.028211822856459522,100090,0.0008910940374817373,0.012199020881206914,0.000845228342270863,0.028440015331544652,
250,299738,100026,0.0008034433009084587,0.046497910543258754,99920,0.0008491948798788229,0.028312650120096077,99792,0.0008926018979227822,0.012025012025012025,0.0008483785860040141,0.02895862386484196,
300,299249,99934,0.0007997647357712545,0.04572017531570837,100075,0.0008436650931772689,0.028458656007994004,99240,0.0008911326265336602,0.012424425634824668,0.0008447462653558674,0.02890569392044752,
350,298981,99533,0.0007998279388181914,0.04746164588628897,99836,0.0008429127359128536,0.02903762169958732,99612,0.0008995395507102796,0.011825884431594587,0.0008474359369402781,0.029436653165251302,
400,299640,99514,0.0008052025712718279,0.046616556464417064,100196,0.0008571418257258893,0.02868377979160845,99930,0.0008969374308221376,0.012768938256779746,0.0008531640251970156,0.02933186490455213,
450,300694,100132,0.0008142579467432932,0.04686813406303679,100900,0.0008575843263401387,0.028156590683845392,99662,0.0008985523592129549,0.012923682045313158,0.0008567349547210763,0.029338796251338572,
500,300399,100203,0.0008100388614728357,0.04618624192888437,100503,0.0008527612585542273,0.0287553605365014,99693,0.0009115141767969036,0.012046984241621778,0.0008580087537976206,0.02902473044184568,
550,299862,100213,0.0008121913567544539,0.04647101673435582,99161,0.0008605100736584023,0.029900868284910398,100488,0.0009043253091558085,0.011842210015126184,0.0008590452058444314,0.0293868512849244,
600,299400,99349,0.0008138158408225036,0.046361815418373614,100176,0.0008673969292561613,0.02891910237981153,99875,0.0009029249268969902,0.012125156445556947,0.0008614688437838289,0.02910487641950568,
650,299438,99637,0.0008206134124303593,0.04664933709364995,99899,0.0008621476218018958,0.028178460244847294,99902,0.0009046192357484103,0.012051810774559068,0.0008624971270661956,0.0289442221762101,
700,300359,99933,0.0008140828439392856,0.04739175247415769,100449,0.0008717688593925013,0.028730997819789147,99977,0.0009092070789479228,0.012212808946057594,0.0008650376620393512,0.02944143508268439,
750,299630,99414,0.0008154602906419025,0.04582855533425876,99807,0.0008642783853767315,0.028304627931908584,100409,0.0009182788162464418,0.012737901980898126,0.0008661771511652859,0.028902312852518104,
800,300389,100555,0.0008259189232030401,0.04685992740291383,99575,0.0008681950499113067,0.030288727090133066,100259,0.0009193016212022859,0.012208380295035856,0.0008711006749838212,0.029801357573013658,
850,299964,100399,0.0008282031484326508,0.04692277811531988,99825,0.000866783072036995,0.029421487603305783,99740,0.000931256294041153,0.012181672348105074,0.0008753080064049456,0.02954687895880839,
900,300096,99893,0.0008319156737965422,0.04758091157538566,99867,0.000878079803463733,0.028848368329878738,100336,0.0009277924347310501,0.012149178759368521,0.0008793343792194571,0.029500559820857326,
950,299218,99698,0.0008311148743961281,0.04835603522638368,99713,0.0008801312698367754,0.029725311644419484,99807,0.000934787572421035,0.012704519723065516,0.0008820303701562251,0.030255532755382362,
1000,300337,100251,0.0008388623172644628,0.047949646387567206,100156,0.0008891893203403505,0.029973241742881105,99930,0.0009346715231200411,0.013049134394075852,0.0008875235386964383,0.03034258183307418,
1050,300397,100632,0.000839137985412494,0.04734080610541379,100025,0.0008948844756871961,0.02971257185703574,99740,0.0009336693154416929,0.012562662923601364,0.0008890872110933096,0.029923734258331475,
1100,299188,100098,0.0008391435496949662,0.04830266338987792,99915,0.0008920659105818539,0.029855377070509934,99175,0.0009420817199986895,0.012866145702041846,0.000890939178957787,0.030395604101768788,
1150,300821,100195,0.0008416336013927898,0.04777683517141574,99967,0.0008950434631848536,0.029859853751738073,100659,0.0009408673672768663,0.012686396646102186,0.0008925874752709148,0.03008101163150179,
1200,300457,100729,0.0008468829259492789,0.04885385539417646,100074,0.0009003290950598573,0.030477446689449808,99654,0.0009447210441128624,0.01328596945431192,0.000897134814755473,0.030936207177732586,
1250,299390,100031,0.000849110316383625,0.048534954164209096,99361,0.0009017926414007476,0.030555248034943288,99998,0.0009521105482108196,0.012880257605152103,0.0009009971051149897,0.03065900664684859,
1300,299905,100153,0.0008575360431741025,0.04823619861611734,100183,0.0008974384440763993,0.030613976423145645,99569,0.0009506487956521721,0.013166748686840282,0.0009017790063827418,0.030706390356946365,
1350,300275,100180,0.0008628348047310187,0.049361149930125775,100025,0.0009133018009406611,0.029802549362659334,100070,0.0009646277885833963,0.014319976016788248,0.0009135695818186063,0.03116809591208059,
1400,300000,100193,0.0008626380066984224,0.0494545527132634,99826,0.0009184901731493808,0.030192535010918998,99981,0.0009573385929935247,0.01289244956541743,0.0009127838656534286,0.03086,
1450,300106,100263,0.0008735016985200483,0.05005834654857724,100242,0.0009217097391827297,0.031014943835917082,99601,0.0009749331933002752,0.013774962098774109,0.0009232679435258652,0.031655481729788805,
1500,300109,100166,0.0008792325530042048,0.051334784258131504,99935,0.0009231706657231488,0.03155050783008956,100008,0.0009811905537572094,0.013928885689144868,0.000927840129031153,0.032281604350419345,
1550,300818,100569,0.0008824503859431754,0.05045292286887609,100360,0.000938776484648953,0.031974890394579514,99889,0.0009898276084515248,0.01341489052848662,0.0009368975621269364,0.03198944212114967,
1600,300966,100526,0.0008891602246924519,0.05069335296341245,99864,0.0009327485655621935,0.03148281663061764,100576,0.000983481124846104,0.013909879096404709,0.0009351432424634367,0.03202687346743486,
1650,299872,99753,0.0008910396422948042,0.050835563842691445,100445,0.000958988298135673,0.03242570561003534,99674,0.0009995251253201347,0.014105985512771636,0.0009498590211331229,0.03246051648703447,
1700,299562,99903,0.0008912308706651214,0.051670120016415924,99717,0.0009556847306024459,0.031178234403361513,99942,0.0010038678425812332,0.013477817133937683,0.0009502647594714956,0.03210687603901696,
1750,299334,99846,0.0009014763357493431,0.05186987961460649,99551,0.0009527989722659885,0.03207401231529568,99937,0.0010088052682057206,0.012938151035152145,0.0009543782824402346,0.03228834679655502,
1800,299198,99735,0.0009128280521655709,0.052088033288213764,99675,0.0009682163988050669,0.03241534988713318,99788,0.0010154487327361111,0.013047661041407784,0.0009655060310426502,0.032513586320764176,
1850,300852,100188,0.0009218753712295304,0.05302032179502535,100409,0.000973176806792031,0.03162067145375415,100255,0.0010300339280287843,0.014084085581766496,0.0009750395913620535,0.032903221517556806,
1900,298960,99359,0.0009181457069740936,0.05394579253011806,99343,0.0009752894740670886,0.032704871002486334,100258,0.0010242219436720737,0.014253226675178041,0.0009727076035260918,0.033576398180358576,
1950,300840,100091,0.0009259335557335406,0.05317161383141342,100379,0.0009814692828555827,0.03299494914274898,100370,0.0010358312826412757,0.013888612135100129,0.0009811291932901032,0.03333333333333333,
2000,300254,100176,0.0009439457337786569,0.05211827184155886,100232,0.001000812508818566,0.033392529331949874,99846,0.0010414671854169426,0.014562426136249826,0.0009953588621834986,0.03337840628268066,
2050,300826,100191,0.0009452781822643155,0.053058657963290116,100592,0.0010067884935888716,0.03300461269285828,100043,0.0010517056252716207,0.01412392671151405,0.0010012399871533637,0.033404692413554676,
2100,300422,99964,0.0009479220026112912,0.05546996918890801,100006,0.0010052008052926114,0.03283802971821691,100452,0.0010570272980840827,0.014514394934894278,0.001003470760963826,0.03424183315469573,
2150,299233,99698,0.0009519441733711547,0.05499608818632269,99785,0.0010184005074781082,0.03407325750363281,99750,0.0010734686576800438,0.014606516290726818,0.0010146157791388155,0.034555012314818216,
2200,300623,99926,0.0009588892659306267,0.054140063647098856,100154,0.0010149969268056732,0.034237274597120435,100543,0.0010762415955276813,0.014441582208607263,0.0010168301485043404,0.03423224437251973,
2250,299718,100232,0.0009781667036410692,0.057446723601245114,99804,0.0010468351862061877,0.034156947617329965,99682,0.001097965748037959,0.015027788367007083,0.0010408763092620208,0.03558344844153504,
2300,299609,99860,0.000973268852922346,0.056789505307430405,99901,0.0010429820917708598,0.034754406862794164,99848,0.0011035249336281325,0.015072910824453169,0.0010399231637758743,0.03553965334819715,
2350,300351,100073,0.0009877806137522172,0.056988398469117546,100101,0.0010441918876640927,0.03674288968142177,100177,0.0011074624965512554,0.015063337891931282,0.0010464992359742198,0.03625757863299939,
2400,299997,99673,0.0010057343991051423,0.05790936361903424,100050,0.0010711223777526613,0.03735132433783109,100274,0.0011399974850069229,0.01531802860163153,0.0010724189457485668,0.03681703483701504,
2450,299713,100044,0.0010011375233183655,0.060133541241853584,99669,0.0010812659045099403,0.036009190420291166,100000,0.0011428994675127314,0.01508,0.0010750832982577983,0.03707880539049024,
2500,299473,100110,0.0010129501973776087,0.05749675357107182,99649,0.0010703066112373162,0.03680920029302853,99714,0.001135225878216998,0.015735002106023226,0.001072748932234911,0.03670781673139148,
2550,299393,99724,0.0010372439449958088,0.062422285508002086,99643,0.0011103479444136987,0.03757413967865279,100026,0.0011731681333795726,0.01588586967388479,0.0011069859051661044,0.03860477699879423,
2600,300176,100231,0.001040320480527347,0.06007123544611946,100171,0.001113184282876704,0.03696678679458126,99774,0.0011576368312063547,0.015956060697175617,0.0011036298774071125,0.037697883908107244,
2650,300249,99916,0.001065146403363916,0.060190560070459184,99841,0.0011194004710616062,0.03622760188700033,100492,0.0011998371742033304,0.015264896708195677,0.0011282677636888297,0.03718580245063264,
2700,300084,99996,0.0010641376844358504,0.06174246969878795,100064,0.0011427557784489373,0.03819555484489926,100024,0.001210332486770026,0.01677597376629609,0.001139082799363698,0.038902440649951346,
2750,300169,99819,0.0011084047884934991,0.06373536100341619,99895,0.001175312865056037,0.03862055157915811,100455,0.0012479958231283686,0.017510328007565575,0.00117738726067569,0.03990751876442937,
2800,300202,99765,0.001116848183590247,0.06428106049215657,100305,0.0011908033149466146,0.04068590798065899,100132,0.0012724167985559717,0.017387049095194344,0.001193448159621225,0.040755891033370864,
2850,300112,100176,0.001119057647955082,0.06538492253633604,99881,0.0011967478961131723,0.03974729928615052,100055,0.0012731369047705578,0.01744040777572335,0.0011962827496402614,0.040868075918323823,
2900,299252,99862,0.001120646149250522,0.06637159279806132,99719,0.0012065200666882706,0.04148657728216288,99671,0.0012917249748548984,0.01715644470307311,0.001206242431981386,0.04168727360218144,
2950,300274,99826,0.0011743849793458233,0.06908019954721215,99955,0.0012733995525563294,0.04199889950477715,100493,0.0013334062625946662,0.019235170608898133,0.0012605646934828344,0.04338370954528198,
3000,300074,100009,0.0011872154643658706,0.06890379865812077,100214,0.0012732037656755862,0.04369648951244337,99851,0.00136788023730275,0.018457501677499474,0.001276049518199152,0.04369922085885482,
3050,300721,100036,0.001198204434481051,0.06896517253788637,100169,0.0012848034478438256,0.04380596791422496,100516,0.0013612084190419895,0.01865374666719726,0.0012815343152730982,0.043768143894174334,
3100,299903,100011,0.0012233966880060118,0.07210206877243504,100007,0.001326300190205845,0.04496685232033758,99885,0.0014110392128616944,0.019242128447714873,0.0013202071371836417,0.0454480281957833,
3150,300433,100281,0.0012537031590346965,0.07262592116153609,100143,0.00134633301717814,0.044995656211617385,100009,0.0014373665284009094,0.019708226259636634,0.0013457177572679295,0.04580056119001574,
3200,300241,100376,0.0012675158064625023,0.07502789511436997,99917,0.0013597437659478048,0.04683887626730186,99948,0.0014554510405482405,0.019470124464721655,0.001360770531181237,0.04715212112935942,
3250,300400,100417,0.0013106952495966224,0.07720804246292959,100302,0.001417256071383433,0.047825566788299335,99681,0.001528503112559449,0.020716084308945535,0.0014185500070362435,0.04865179760319574,
3300,298894,99528,0.001312648377430014,0.07712402539988747,99622,0.0014365411774220646,0.04986850294111742,99744,0.0015211409526982007,0.021094000641642605,0.0014235182240925654,0.0493419071644128,
3350,299983,100115,0.0013259076496437234,0.0788193577386006,99589,0.00142895214847953,0.0494231290604384,100279,0.0015315482613285365,0.020133826623719823,0.0014288585951763406,0.04944280175876633,
3400,299914,100278,0.001365597853572852,0.07880093340513372,99427,0.0014720522829581254,0.04954388646947006,100209,0.001579595485701409,0.021485096149048487,0.001472391578668901,0.04995098594930547,
3450,299574,100218,0.0014089597784804197,0.08386716957033667,99499,0.0015218592331236822,0.05187991839113961,99857,0.0016398145071888684,0.023723925213054668,0.001523408440521172,0.053195537663482145,
3500,300644,100333,0.0014491378979578893,0.08659164980614553,99887,0.00158448917250608,0.05373071570875089,100424,0.001704587860470526,0.023719429618417907,0.001579435325467396,0.054672636074559945,
3550,300042,100114,0.0014812896927295835,0.0879497372994786,99924,0.0016010340385729672,0.05454145150314239,100004,0.0017377539392324853,0.02421903123875045,0.0016066480909582963,0.05558221848941148,
3600,299489,99728,0.0015436912403450258,0.09214062249318146,99898,0.0016867912812658552,0.05729844441330157,99863,0.0018198627307864864,0.02507435186205101,0.0016835118061683336,0.0581557252520126,
3650,300002,99697,0.0015576658611328278,0.09329267681073654,100054,0.0016981151176805153,0.05874827593099726,100251,0.0018384451387301794,0.025106981476494,0.0016983346342511342,0.05898627342484383,
3700,300383,100372,0.0015772435714690922,0.09837404853943331,100279,0.001735050757106436,0.060361591160661754,99732,0.001882558553836515,0.02640075402077568,0.0017312949678197468,0.06178778426209206,
3750,300072,100183,0.0017015765575938446,0.10037631135022908,99852,0.0018589635915501823,0.06513640187477467,100037,0.002036244203872445,0.028219558763257595,0.0018655190695422233,0.06459449732064304,
3800,300134,99556,0.0017361210938049128,0.10344931495841536,100291,0.001914606581374211,0.06585835219511223,100287,0.002082734773129627,0.027720442330511432,0.0019115805022432843,0.06558403912918896,
3850,299678,99925,0.0017939454018998228,0.10771078308731549,99806,0.001975400468713397,0.06892371200128249,99947,0.0021811426726027184,0.028735229671726016,0.0019835139054713933,0.06845347339477706,
3900,299779,100182,0.00188497269192652,0.11399253358886827,100157,0.0020767641728099296,0.07233643180207075,99440,0.002261522267846444,0.03213998390989541,0.0020739564071978766,0.07292372047408258,
