Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,299337,100157,0.00036315007693409686,0.01971904110546442,99424,0.0003723965408329551,0.011707434824589637,99756,0.00037826150418345157,0.005132523356991058,0.0003712572469911454,0.012196955271149239,
200,300022,100240,0.0003620378782390312,0.020391061452513966,99571,0.0003750319029630588,0.012152132649064487,100211,0.0003771252987210742,0.005179072157747154,0.0003713897042042015,0.012575744445407338,
400,300347,100233,0.0003621900096570888,0.020222880687996967,100577,0.0003748855866995531,0.012050468795052546,99537,0.0003796754560170533,0.0050835367752694975,0.00037223616269518053,0.012468910959656665,
600,299119,99790,0.000368401090219767,0.019981962120452952,99842,0.0003747606735419652,0.011878768454157569,99487,0.0003799305421774783,0.005397690150471921,0.00037435853225779246,0.0124264924662091,
800,300984,100202,0.00036489450945190286,0.019839923354823256,100689,0.0003762503834754573,0.012811727199594792,100093,0.0003834274931998235,0.004925419359995204,0.0003748566122275926,0.012528905190973607,
1000,300180,100143,0.00036395911153038125,0.02137942741879113,100179,0.0003765203055030395,0.012557522035556355,99858,0.0003809371102792602,0.00559794908770454,0.0003737990637259028,0.013185422080085283,
1200,299718,99799,0.0003694252969489333,0.020881972765258168,99948,0.00037488613919282746,0.012106295273542242,99971,0.00038467875905467296,0.004371267667623611,0.00037633413832905094,0.012448368132711416,
1400,299831,99800,0.0003710106093671538,0.02056112224448898,100047,0.0003794563231162113,0.01155456935240437,99984,0.00038867541430348995,0.005110817730836934,0.00037971940258802465,0.012403654058452928,
1600,300239,99757,0.0003753208671608178,0.020339424802269516,100040,0.00038089295965965087,0.012255097960815673,100442,0.0003893309947418383,0.005615180900420143,0.00038186444533712486,0.012719866506349941,
1800,300437,99837,0.00037338532643018584,0.020232979757003916,100006,0.00038070411920444405,0.012439253644781312,100594,0.0003879459865419462,0.005179235342068115,0.00038069680349015264,0.012598315120973782,
2000,300000,99677,0.0003753627018704614,0.020526299948834738,99677,0.00038306353883631183,0.012219468884496924,100646,0.00039176702803847395,0.005355404089581304,0.0003834247889962983,0.012676666666666666,
2200,301106,100458,0.0003780943447128547,0.021222799577933067,100520,0.00038823747535932297,0.011689216076402706,100128,0.00039670415592144335,0.005622802812400128,0.00038766888214909425,0.012852616686482502,
2400,300337,99836,0.0003794785155959266,0.02015305100364598,100143,0.0003858366846973406,0.012352336159292212,100358,0.0003961994924427582,0.005390701289384005,0.00038718589072026465,0.012619157812723707,
2600,299096,99617,0.0003813885870421247,0.021582661593904654,99796,0.000390970456567152,0.01321696260371157,99683,0.00039980331053542117,0.005015900404281573,0.000390722938331013,0.013269986893840105,
2800,299831,100072,0.0003831485818022616,0.02083499880086338,99911,0.0003907872131195669,0.01239102801493329,99848,0.0004022866844810307,0.005708677189327778,0.000392067221201831,0.012983980975949785,
3000,300130,100247,0.0003844678157798084,0.020918331720649993,99648,0.00039527433288188166,0.013316875401412973,100235,0.00040487409997720853,0.005497081857634559,0.0003948708801609659,0.013244260820311198,
3200,300255,100525,0.00038798323359884925,0.02204426759512559,100069,0.0003979308189782722,0.013060987918336348,99661,0.0004058111461990594,0.005508674406237144,0.0003972160274540176,0.01356180579840469,
3400,300088,99893,0.0003916631743353798,0.021492997507332846,100040,0.00040340390037001264,0.012984806077568972,100155,0.00041305314105310244,0.005391642953422196,0.00040271611330367266,0.013282770387353043,
3600,299901,100065,0.0003975942551395091,0.021955728776295407,99724,0.0004053855251011429,0.012985840920941799,100112,0.00041430721116182396,0.00552381332907144,0.0004057640980508697,0.013487784302153043,
3800,300062,99946,0.0003971458885609311,0.02130150281151822,100283,0.0004064746080776686,0.01348184637475943,99833,0.00041531744847491563,0.005919886209970651,0.0004063094391610989,0.013570528757390139,
4000,299629,99769,0.0004051955380683971,0.022091030279946678,99473,0.00041265992046632757,0.013320197440511496,100387,0.00042395521436577367,0.005588372996503531,0.0004139588157709298,0.013650214098101318,
4200,299683,100121,0.0004071979656939771,0.021863545110416396,99496,0.0004168459947359859,0.013588485969285198,100066,0.00042665101342064763,0.005916095377051146,0.00041689664386852045,0.013791239409642856,
4400,299709,99612,0.00041077369976792613,0.022567562141107497,99773,0.0004220173375205197,0.014051897808024214,100324,0.0004319303021597485,0.005851042621905027,0.0004215986214347637,0.0141370462682135,
4600,299795,100087,0.00042058762260278296,0.022450468092759298,99643,0.000429624626202821,0.01443152052828598,100065,0.0004391042843684683,0.005826212961574977,0.0004297717114278279,0.014236394869827716,
4800,300703,100391,0.0004243851238962483,0.023219212877648394,100229,0.0004346985105796562,0.013958036097337099,100083,0.00044448428651308657,0.006364717284653737,0.00043451234220159596,0.014522635291300719,
5000,299159,99964,0.0004317988315579424,0.02319835140650634,99516,0.0004406387515378041,0.014861931749668395,99679,0.0004518126673699111,0.005858806769730836,0.0004414080113473351,0.014647729134005662,
5200,299626,99886,0.00043134860610881306,0.02484832709288589,99886,0.0004441080471838226,0.014116092345273612,99854,0.00045381102204750356,0.006219079856590622,0.0004430880800274931,0.015062110764753393,
5400,300054,100405,0.0004389460656418072,0.024062546685922014,100244,0.0004563230333962706,0.015083196999321655,99405,0.00046521018729556645,0.005744177858256627,0.00045345252704065815,0.014993967752471221,
5600,300305,100568,0.00045017623401708495,0.024739479754991647,100423,0.000461208511604205,0.01489698575027633,99314,0.00047564302234282576,0.0062730330064240695,0.00046228759755719305,0.015341069912255874,
5800,299555,99404,0.00045353752947695035,0.02485815460142449,100353,0.00046664391706044493,0.015007025201040327,99798,0.00047681764079466845,0.00614240766348023,0.00046568412647066387,0.015322728714259486,
6000,299903,99950,0.00046325209573851845,0.025812906453226613,99896,0.00047918811046731197,0.015165772403299431,100057,0.0004878710321716071,0.006446325594411185,0.0004767739379675988,0.015805110319003144,
6100,300713,100227,0.0004670221684968914,0.025482155506999112,100741,0.00048035399261645224,0.015683783166734497,99745,0.000489770714676669,0.006707103112937992,0.0004790340038093882,0.015972039785443263,
6200,300183,99764,0.0004718142915967673,0.025971292249709316,100261,0.0004803029813912234,0.015599285863895234,100158,0.0004965547844785906,0.006549651550550131,0.0004829043360481166,0.01602689026360587,
6300,300365,100257,0.00048372546206610734,0.02729983941270934,100124,0.0004997175975675013,0.016379689185410093,99984,0.0005065706742548984,0.006641062570011202,0.0004966608981869217,0.016782914121152598,
6400,300447,100048,0.00048255760490528964,0.0265172717095794,100370,0.0004999431421992784,0.016269801733585734,100029,0.0005103942813463134,0.007207909706185206,0.0004976333463369465,0.01666516889834147,
6500,300071,100899,0.0004918925962791403,0.027007205225027007,99602,0.0005052403061933767,0.017047850444770186,99570,0.0005156499020561245,0.007160791403033042,0.0005042062605089191,0.01711594922535,
6600,300504,100077,0.0004938425991955192,0.02709913366707635,100060,0.0005083929600508292,0.015940435738556864,100367,0.0005210766656888302,0.0071338188846931765,0.0005077835472658113,0.01671525171045976,
6700,300117,99932,0.0005003159105128485,0.02721850858583837,99959,0.000513014480111211,0.01612661191088346,100226,0.0005253463688447692,0.007093967633149083,0.0005129044644276858,0.016803446655804237,
6800,301139,100574,0.000503655261564922,0.02715413526358701,100611,0.0005141042484236219,0.016847064436294242,99954,0.000530105698965084,0.007283350341156932,0.0005159257082248882,0.017115019974164754,
6900,300125,100475,0.0005127685951825923,0.027827817865140582,100004,0.0005196032091111352,0.017399304027838885,99646,0.0005354526030236655,0.0070148325070750455,0.0005225773727807194,0.017442732194918785,
7000,299388,99697,0.0005171891643381703,0.02842613117746773,99891,0.0005344548976167944,0.018019641409135957,99800,0.0005474330918629938,0.007535070140280561,0.0005330316006746709,0.01799003300065467,
7100,299448,99837,0.0005197308985249192,0.028155894107395055,99611,0.000539265853697796,0.017498067482506954,100000,0.0005489202726018605,0.00762,0.0005359769039329376,0.017752664903422297,
7200,299220,100053,0.0005202370370826703,0.027465443315043025,99538,0.0005338260361824795,0.01749080753079226,99629,0.0005503217917053357,0.007778859569000994,0.0005347746208360872,0.01759240692467081,
7300,299491,100023,0.0005440431832665954,0.029763154474470872,99873,0.0005539881579302618,0.01810299079831386,99595,0.0005776608900715165,0.008022491088910086,0.0005585390778471349,0.018644967628409535,
7400,300684,100450,0.0005505388577507587,0.030174216027874564,100361,0.00056519805550886,0.01866262791323323,99873,0.0005804323446699463,0.007829944028916725,0.0005653609432800167,0.018910218036210773,
7500,299359,100212,0.0005581266443447915,0.03068494791042989,100139,0.0005692983411650737,0.018933682181767345,99008,0.000584839153351275,0.007655946994182288,0.0005706984215073322,0.019137557247318436,
7600,299866,99671,0.0005634452695961185,0.030911699491326463,100250,0.0005814385359102337,0.01917206982543641,99945,0.0005953102279720833,0.007864325378958427,0.000580081261048546,0.01930528969606424,
7700,300768,100432,0.0005768083555453389,0.03131472040783814,100042,0.0005975677538648834,0.01933188061014374,100294,0.000615575755885999,0.008834027957804056,0.0005966407492057356,0.019832561974678156,
7800,300065,99815,0.0005764891887034534,0.03084706707408706,100202,0.0005958685823166528,0.019310991796570927,100048,0.0006080810278139924,0.008565888373580681,0.000593494018717483,0.0195657607518371,
7900,300028,100436,0.0005964799002490374,0.03311561591461229,99922,0.0006176807852921234,0.021216548908148357,99670,0.0006334651062626039,0.008778970602989867,0.0006158272622240611,0.02106803365019265,
8000,301166,100365,0.0006089470459268551,0.03446420564937976,99931,0.0006331385825826249,0.02041408571914621,100870,0.0006482709317722927,0.008644790324179637,0.0006301449394964435,0.021154446385050107,
8100,299599,100016,0.0006369306947432402,0.035194368900975846,99732,0.000646039249394882,0.021266995548068823,99851,0.0006718586544630047,0.009474116433485894,0.0006516036612033763,0.021986054693106452,
8200,300147,100318,0.0006171240197414938,0.03481927470643354,99842,0.0006425453527894456,0.02213497325774724,99987,0.0006626229353266399,0.009201196155500215,0.0006407371719861736,0.02206585439801164,
8300,300262,100076,0.0006463675191956697,0.03695191654342699,100036,0.000668648555737322,0.021902115238514135,100150,0.0006914390099305093,0.009116325511732401,0.0006688239591333855,0.022653549233669263,
8400,300026,100016,0.0006699853027714581,0.03810390337545993,100018,0.0006938970458354914,0.02224599572077026,99992,0.0007168930627531411,0.009680774461956957,0.000693589941882289,0.023344643464233098,
8500,300554,100073,0.0006656375029077305,0.036393432794060335,100265,0.0006918779559039414,0.022251034757891586,100216,0.0007098036349567023,0.009030494132673426,0.0006891179826521032,0.022551687883042647,
8600,299093,99690,0.0006855490993040299,0.038258601665162005,99476,0.0007045978211541796,0.023231734287667376,99927,0.0007312623008697224,0.009917239584896974,0.0007071573407126368,0.023791930937868824,
8700,300159,100089,0.0007088928253740913,0.039215098562279574,99937,0.0007407479592770037,0.023784984540260363,100133,0.0007601061343966825,0.01070576133742123,0.0007365836452036424,0.024566979500864543,
8800,300577,100228,0.0007314747852480415,0.04159516302829549,100440,0.0007540627731611978,0.025457984866587017,99909,0.0007802435314568183,0.010159244912870713,0.0007552330041768633,0.025753800190966042,
8900,299910,100282,0.0007204776451479555,0.03971799525338545,99768,0.000743812206598658,0.02476746050837944,99860,0.0007710188220535913,0.009993991588223512,0.0007450686372876331,0.024847454236270883,
9000,300783,100249,0.0007819635768431429,0.04442937086654231,100276,0.0008181538030876171,0.026905740157166222,100258,0.0008502897283255568,0.012108759400746075,0.0008168034927367259,0.027814071938906122,
9100,300112,99898,0.0007712529765670832,0.04291377204748844,100056,0.000803630341270542,0.026535140321420004,100158,0.0008257325724810237,0.01123225304019649,0.0008002292153390101,0.02687996481313643,
9200,301230,100571,0.0008182692244688514,0.04606695767169462,100559,0.0008561475411644326,0.028620014121063256,100100,0.0008824365855902037,0.012027972027972029,0.0008522371509597093,0.028931381336520266,
9300,299494,99515,0.0008399986393065272,0.046877355172587044,99955,0.0008680464356407152,0.029563303486568954,100024,0.0008960000730297282,0.011997120691034152,0.0008680626569139505,0.02944967177973515,
9400,300720,100161,0.0008901075800889657,0.04946036880622198,100214,0.0009361554366657802,0.030923823018739898,100345,0.0009678696442626518,0.013343963326523494,0.0009314007239720044,0.0312317105613195,
9500,299839,100046,0.0008887976378296547,0.04949723127361414,99721,0.0009344053209708057,0.030896200399113526,100072,0.0009702727630303645,0.013030617955072347,0.0009311584464623042,0.031140045157567894,
9600,300912,100290,0.0009437382836146427,0.05380396849137501,100077,0.0009816734468738857,0.0342036631793519,100545,0.0010281387813610848,0.013486498582724153,0.0009845558162467922,0.033813872494284046,
9700,300035,100279,0.000992479361213152,0.05614336002552878,100069,0.0010460371840075623,0.03434630105227393,99687,0.001099487176394458,0.014826406652823337,0.0010458956821130217,0.03514589964504141,
9800,299542,99614,0.0009695252649596555,0.05725098881683297,99858,0.0010131420058561624,0.034539045444531236,100070,0.001063294629737463,0.014210052962925952,0.0010153918908276743,0.03530055885318253,
9900,300198,99901,0.0010597646246668555,0.060409805707650574,100074,0.0011182768369071212,0.037851989527749465,100223,0.0011642076590689717,0.01622382087943885,0.0011141392219813652,0.03813816214631677,
10100,300861,99792,0.0011604536922533923,0.06756052589385923,100812,0.0012367669133893527,0.042415585446177045,100257,0.0013076339925162188,0.017564858314132677,0.0012350700227602416,0.0424747640937177,
10150,299735,100420,0.0012680039984117907,0.07364070902210715,100041,0.001348257656693832,0.04464169690426925,99274,0.0014272784183134715,0.01919938755363942,0.0013475424740303033,0.04593057200527132,
10200,300129,99897,0.0012181684479555647,0.06973182377849185,100287,0.001295956080471863,0.044332764964551734,99945,0.001366365806260258,0.01896042823552954,0.001293511627981245,0.044337601498022516,
10250,299856,99882,0.0013192006256812407,0.07583949059890671,100376,0.0013962918984542288,0.0467043914880051,99598,0.0014738170570299581,0.02039197574248479,0.0013963630000387172,0.04766954804973054,
10300,300440,100349,0.001277502017167907,0.07412131660504838,100044,0.0013641653026544565,0.0456799008436288,100047,0.0014387716742477936,0.01882115405759293,0.0013600632177906006,0.046235521235521236,
10350,299985,100091,0.001454651220935908,0.08592181115185181,100093,0.0015602555938675265,0.051562047296014706,99801,0.0016638005734342773,0.022404585124397552,0.001559468371888582,0.053325999633315,
10400,300600,100260,0.001423273389590916,0.08440055854777578,100213,0.0015332010033037012,0.05170985800245477,100127,0.0016363036266942078,0.023090674842949455,0.0015308790266615369,0.05308050565535596,
10450,300232,99701,0.001574161926831527,0.09439223277600024,100191,0.0017069212587796916,0.05730055593815812,100340,0.0018494915308121113,0.025951764002391867,0.0017104827143912377,0.059140931013349676,
10500,299965,100201,0.0015728357976438772,0.09213480903384198,99786,0.0017007563228978672,0.0563004830336921,99978,0.0018194163728907106,0.02509552101462322,0.0016975747181347057,0.05787008484323171,
10550,299874,100163,0.0015801082872920987,0.09287860786917325,99806,0.0017062130954796366,0.058393282968959785,99905,0.0018317759223190097,0.025444171963365198,0.001705924035117311,0.05893475259609036,
10600,300739,100416,0.0016551936667128374,0.09685707456978968,99948,0.0017836428670592007,0.06114179373274103,100375,0.0019053113924345868,0.0263013698630137,0.0017813622294716959,0.06143865611044793,
10650,299625,100053,0.0016680634699321132,0.10010694332004037,99466,0.001797352114153761,0.061056039249592825,100106,0.0019463300344307113,0.026322098575509958,0.0018039532554701434,0.062491447642886944,
10700,299500,99952,0.0016848040521100136,0.09998799423723387,99607,0.0018302802090683918,0.06284698866545524,99941,0.001963376435846853,0.026375561581332987,0.00182614377220755,0.06307178631051753,
10750,300008,100213,0.002013273976849457,0.12478420963348069,99615,0.0022343326578335015,0.07769914169552779,100180,0.0024548315120954153,0.03309043721301657,0.0022341214022086817,0.07853123916695555,
10800,299831,100197,0.00245470542230826,0.15599269439204766,99580,0.002808197413283353,0.09898574010845551,100054,0.0031352829688588786,0.04302676554660483,0.00279921695815308,0.09936264095440431,
10850,300912,100456,0.0022662977324287665,0.13872740304212788,100092,0.0025157734701891006,0.08595092514886304,100364,0.0027885476308992605,0.03760312462636005,0.002523467982714544,0.08744416972403893,
10900,301242,100484,0.002580492569781333,0.16647426455953188,100091,0.0029861164686743277,0.10949036376897024,100667,0.0034238124586418884,0.04739388280171258,0.00299708051208696,0.10774725967826532,
10950,299547,99733,0.0024259638175500157,0.1520559894919435,99761,0.002753033370891297,0.09624001363258188,100053,0.0030922885206090523,0.043636872457597474,0.002757452936873583,0.0972535194810831,
11000,301043,100689,0.002680954385593453,0.16916445689201404,100310,0.0030616754461570434,0.1117834712391586,100044,0.003487469232497215,0.04870856822997881,0.0030758385082230695,0.11001418402022302,
11050,298588,99517,0.0025538561135702103,0.15928936764572887,99421,0.0028784943403771523,0.10231238873075105,99650,0.0032227988584967717,0.04471650777722027,0.002885202321988921,0.10208045869224483,
11100,299840,99922,0.002946348635544509,0.19652328816476852,99564,0.003508494162573954,0.12871118074806154,100354,0.004087582018897207,0.05747653307292186,0.0035149745433825006,0.12746798292422626,
11150,301306,100338,0.0034201087069541387,0.23685941517670275,100188,0.004153834394118478,0.15620633209566015,100780,0.005025978383220129,0.07000396904147649,0.004201208502908111,0.15423191041665285,
11200,300020,99824,0.0038723452369990646,0.28531214938291394,99869,0.004898840772741545,0.19310296488399803,100327,0.006118697903387932,0.08992594216910701,0.0049652220672765125,0.1892807146190254,
11250,299772,100071,0.004498032462090979,0.3724555565548461,99921,0.006186528616153071,0.25839413136377737,99780,0.008372030302151404,0.12350170374824614,0.006350319295722179,0.2515711941075217,
11300,299542,99925,0.004206186062337706,0.31664748561421063,99725,0.00540701703927938,0.21380797192278767,99892,0.006852580052920118,0.09947743563048092,0.005488498585065099,0.209987247197388,
11350,299553,99706,0.0046678746428467765,0.38510220046938,99874,0.00636489169362087,0.2710014618419208,99973,0.008579794172832124,0.13005511488101787,0.006539243689727427,0.26194029103364014,
11400,299833,99965,0.005219443038777678,0.4426049117191017,99773,0.00730998072388135,0.3067162458781434,100095,0.009978948974523836,0.1493281382686448,0.007503987979109137,0.2994800438910994,
11450,300502,100765,0.002196929469160122,0.8191137795861658,100056,0.005327614232867991,0.7465719197249541,99681,0.020283832095195162,0.5512484826596844,0.009239026810886066,0.7061051174368224,
11500,298617,99986,0.004916772457195535,0.49508931250375054,99355,0.007558745307549396,0.3604750641638569,99276,0.011635530636633524,0.18542245860026593,0.008029470828583588,0.3473512894443384,
11550,299301,99844,0.00273400399891934,0.8491747125515805,99922,0.0065129791143515685,0.7607333720301835,99535,0.02182411980341995,0.5319435374491385,0.010344193834854095,0.7141506376523967,
11600,301066,100202,0.0005682942428254818,0.9677152152651644,100064,0.0014548210491143645,0.9488827150623601,100800,0.008127329469847684,0.8846130952380953,0.0033937882183269607,0.9336324925431633,
