Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
5000,999331,999331,0.00030434678121303094,0.016605108817799107,0.00030434678121303094,0.016605108817799107,
5500,1000619,1000619,0.0003125397966306699,0.016953505779922228,0.0003125397966306699,0.016953505779922228,
6000,997910,997910,0.00032239430382759914,0.0174795322223447,0.00032239430382759914,0.0174795322223447,
6500,997962,997962,0.00033761296805002067,0.0184916860561825,0.00033761296805002067,0.0184916860561825,
7000,998934,998934,0.0003508843581525975,0.018946196645624237,0.0003508843581525975,0.018946196645624237,
7500,998953,998953,0.00036986560446747226,0.020099043698752594,0.00036986560446747226,0.020099043698752594,
11510,998635,998635,0.004781967413745053,0.44560725390157563,0.004781967413745053,0.44560725390157563,
11520,1001905,1001905,0.002987182093171388,0.8513342083331253,0.002987182093171388,0.8513342083331253,
11530,999700,999700,0.0023772906708633863,0.8169540862258677,0.0023772906708633863,0.8169540862258677,
11540,1001890,1001890,0.0021602673550676636,0.899384163930172,0.0021602673550676636,0.899384163930172,
11550,1000023,1000023,0.002163193490730054,0.8102753636666357,0.0021631934907300546,0.8102753636666357,
11560,999616,999616,0.001957442524400395,0.9465964930533325,0.001957442524400395,0.9465964930533325,
