Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999248,799267,0.0005096343313337987,0.02813077482243105,99796,0.0005331165844521149,0.01803679506192633,100185,0.0005441530554595249,0.007366372211408893,0.000515440390799248,0.025040830704689928,
500,999845,799170,0.0005159124961611788,0.028883716856238348,100128,0.000531345223228449,0.01676853627356983,100547,0.0005569328952183777,0.0071906670512297734,0.000521583101264763,0.025488950787372042,
1000,999972,799216,0.0005216405238641941,0.029457618466096774,99946,0.0005459809051921675,0.0178796550137074,100810,0.0005640642247766168,0.007142148596369408,0.0005283501687754463,0.02605072942042377,
1500,999763,799974,0.0005335409675547426,0.0298334695877616,99637,0.0005508005627159695,0.01827634312554573,100152,0.0005736453148154645,0.007478632478632479,0.0005392785522322461,0.026442266817235684,
2000,999153,798804,0.0005482314131092052,0.03089744167530458,99949,0.0005705619780869,0.018469419403895987,100400,0.0005885536313199675,0.007768924302788844,0.0005545170053531543,0.027330148635894603,
2500,998717,798809,0.0005628910960885974,0.03187370197381351,99838,0.0005816447575253405,0.019381397864540555,100070,0.0006167112307878485,0.008144298990706506,0.0005701585291350605,0.028247241210473038,
3000,999850,799869,0.00059033758796126,0.03385054302642058,100019,0.000622239539283527,0.020406122836661034,99962,0.0006641878353921822,0.00923350873331866,0.0006009121938551636,0.0300445066760014,
3500,998753,798660,0.0006243923499714282,0.035528259835224,99948,0.0006536656341605367,0.021781326289670628,100145,0.0006849871105371284,0.009626042238753806,0.000633397648083145,0.0315553495208525,
4000,999813,799767,0.0006753468086025954,0.04065934203336722,100055,0.0007157738595707496,0.025595922242766477,99991,0.000796118192203889,0.012591133201988179,0.0006914708037919994,0.03634479647694119,
4500,1001300,800863,0.0007295113452639426,0.04291245818573214,100145,0.0007732044152323731,0.026681312097458686,100292,0.0008385015914317196,0.011366808917959558,0.0007447979649190167,0.03812943173873964,
5000,999254,799251,0.0008058704400558638,0.0471266223001285,100050,0.000858216635316007,0.02976511744127936,99953,0.0009288285786693974,0.013336268045981611,0.0008234107968266275,0.04200833822031235,
5500,1000598,800069,0.0009160357620246446,0.05281794445229099,100452,0.0009710848611589886,0.031885875841197786,100077,0.0010203381557294668,0.013679466810555872,0.0009319942815910258,0.046802012396586844,
6000,998302,798313,0.0011045537495476092,0.06870362877718389,100102,0.0011938044598615645,0.04490419771832731,99887,0.0013631113175322231,0.021043779470802007,0.0011393735880304663,0.061548509368908405,
6500,1002159,801872,0.0014330617273816903,0.08744163657042521,99948,0.0015711689734532483,0.05519870332572938,100339,0.0017421760870274252,0.024088340525618153,0.001477784938731181,0.07788285092485324,
7000,999309,799074,0.0019630107200169153,0.13755046466284723,100356,0.002220757511010712,0.09416477340667224,99879,0.0028179567984346317,0.04649626047517496,0.0020743452484993487,0.12409274808892945,
7100,997430,797790,0.0022290822833424947,0.14354153348625578,100294,0.0025421840715060427,0.09381418629230064,99346,0.0029450670473816325,0.04070621867010247,0.0023318789238187337,0.1282987277302668,
7200,999457,799093,0.0025243433174026416,0.17331274332274216,100128,0.003013698072421836,0.11480305209332055,100236,0.0036501974493691114,0.05341394309429746,0.002686280476962636,0.15542639653331758,
7300,1000320,800788,0.002906191724040979,0.20043881776450195,99850,0.003489606864140659,0.13609414121181773,99682,0.004200451564778649,0.061435364458979555,0.003093400228502935,0.18016434740882917,
7400,1000242,799760,0.00343009901859118,0.27016855056516953,100130,0.004398088393940896,0.1879157095775492,100352,0.005944676162944151,0.09255420918367346,0.0037792821380201176,0.24411492418834643,
