Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,k,
10000,999396,999396,0.00015235731449980962,0.008053864534178643,0.0001523573144998096,0.008053864534178643,0.0,
12000,1999436,1999436,0.0001568745547422089,0.008324847607025182,0.0001568745547422089,0.008324847607025182,0.0,
15000,2999345,2999345,0.00016558668731133354,0.00883892983301354,0.00016558668731133354,0.00883892983301354,0.0,
20000,3997677,3997677,0.00020119768315876913,0.010817782427144564,0.00020119768315876913,0.010817782427144564,0.0,
10000,1001484,1001484,0.00014569382683855196,0.007709559014422597,0.00014569382683855193,0.007709559014422597,0.5,
12000,2001804,2001804,0.00014943752576015258,0.007964316186799507,0.00014943752576015258,0.007964316186799507,0.5,
15000,3000665,3000665,0.00015682470909096586,0.008382141958532525,0.00015682470909096586,0.008382141958532525,0.5,
20000,4000443,4000443,0.0001820966718521502,0.00971167443205665,0.00018209667185215017,0.00971167443205665,0.5,
10000,999787,999787,0.00013941432801907436,0.007307556509536532,0.00013941432801907436,0.007307556509536532,1.0,
12000,2000590,2000590,0.0001428657877046215,0.007658240818958407,0.0001428657877046215,0.007658240818958407,1.0,
15000,3001067,3001067,0.00014898626179912598,0.00802681179727077,0.000148986261799126,0.00802681179727077,1.0,
20000,4000176,4000176,0.00016916591597082746,0.009119098759654574,0.0001691659159708275,0.009119098759654574,1.0,
10000,1000160,1000160,0.00013418610683564992,0.00715585506318989,0.00013418610683564992,0.00715585506318989,1.5,
12000,1999672,1999672,0.00013696623806762055,0.007323201004964814,0.00013696623806762055,0.007323201004964814,1.5,
15000,2999732,2999732,0.0001423706638462572,0.007619680691475105,0.0001423706638462572,0.007619680691475105,1.5,
20000,3998193,3998193,0.00015790536535958985,0.008480831215501602,0.00015790536535958985,0.008480831215501602,1.5,
10000,999587,999587,0.00012934086347318367,0.0068608335242455135,0.00012934086347318367,0.0068608335242455135,2.0,
12000,2000469,2000469,0.0001319822010690646,0.0070573450525851684,0.0001319822010690646,0.0070573450525851684,2.0,
15000,3001642,3001642,0.0001367416188240268,0.007303669125098862,0.0001367416188240268,0.007303669125098862,2.0,
20000,4002072,4002072,0.00014986203057808272,0.008041084718116017,0.00014986203057808272,0.008041084718116017,2.0,
10000,1000257,1000257,0.00012546439451176287,0.006752264667980329,0.00012546439451176287,0.006752264667980329,2.5,
12000,1999710,1999710,0.00012784371269687367,0.006844992523915968,0.00012784371269687367,0.006844992523915968,2.5,
15000,2998826,2998826,0.00013198726892723787,0.007085105971470169,0.00013198726892723784,0.007085105971470169,2.5,
20000,4000092,4000092,0.00014339013214458848,0.007697572955822016,0.00014339013214458845,0.007697572955822016,2.5,
10000,999852,999852,0.00012216776142515463,0.006583974428215376,0.00012216776142515463,0.006583974428215376,3.0,
12000,2000230,2000230,0.00012438462616693735,0.006742224644165921,0.00012438462616693735,0.006742224644165921,3.0,
15000,3001336,3001336,0.00012835429750830433,0.006956568674750178,0.00012835429750830433,0.006956568674750178,3.0,
20000,4002561,4002561,0.00013855228175377543,0.00746971751336207,0.00013855228175377543,0.00746971751336207,3.0,
10000,999113,999113,0.00011980339528669966,0.006438711136778323,0.00011980339528669964,0.006438711136778323,3.5,
12000,1999664,1999664,0.00012181350646983624,0.006515594619896143,0.00012181350646983622,0.006515594619896143,3.5,
15000,2998915,2998915,0.00012535296017899075,0.006656073946744072,0.00012535296017899075,0.006656073946744072,3.5,
20000,3998964,3998964,0.0001344436019328716,0.007139099026647902,0.00013444360193287156,0.007139099026647902,3.5,
10000,998807,998807,0.00011733571370423353,0.0062614699336308215,0.00011733571370423354,0.0062614699336308215,4.0,
12000,2000157,2000157,0.00011934920126767822,0.006382998934583635,0.00011934920126767822,0.006382998934583635,4.0,
15000,3001355,3001355,0.00012282408525859332,0.006549042016022763,0.00012282408525859332,0.006549042016022763,4.0,
20000,4001984,4001984,0.00013129983501293386,0.007009273400393405,0.00013129983501293386,0.007009273400393405,4.0,
10000,999766,999766,0.00011548249198086821,0.006325480162357992,0.0001154824919808682,0.006325480162357992,4.5,
12000,1998374,1998374,0.0001173900281088625,0.006416216383920127,0.0001173900281088625,0.006416216383920127,4.5,
15000,2998199,2998199,0.00012067918178126071,0.006562939951617621,0.00012067918178126073,0.006562939951617621,4.5,
20000,3997770,3997770,0.00012845128772209346,0.006964132503870908,0.00012845128772209346,0.006964132503870908,4.5,
10000,1001174,1001174,0.0001136921257509632,0.006126807128431222,0.00011369212575096319,0.006126807128431222,5.0,
12000,2000651,2000651,0.00011563889034689164,0.006221474909916822,0.00011563889034689164,0.006221474909916822,5.0,
15000,3000694,3000694,0.00011873588356305097,0.006379857459641003,0.00011873588356305097,0.006379857459641003,5.0,
20000,4001726,4001726,0.000126161731600018,0.006756334641602148,0.000126161731600018,0.006756334641602148,5.0,
10000,1000921,1000921,0.0001125328569030269,0.005958512210254356,0.0001125328569030269,0.005958512210254356,5.5,
12000,2000737,2000737,0.00011426347413254009,0.006065764765683846,0.00011426347413254009,0.006065764765683846,5.5,
