Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time
1,250,107671,8295,16475,16586,24868,24769,16678,0.004007076431585,0.003975935053111,0.004061459664778,0.003968106884349,0.00399272889499,0.003999685333973,0.003997242850907
11,250,108464,8374,16732,16806,24946,24935,16671,0.004140008000955,0.004101572914176,0.004093894977984,0.004016623426601,0.004007984359334,0.003982604402855,0.004044012022422
21,250,109086,8409,16916,16969,25051,25079,16662,0.004430835533357,0.004195715062663,0.004124201897578,0.004039113408646,0.004020550261175,0.004031523646621,0.004101403030636
31,250,108588,8444,16524,16631,25212,25059,16718,0.004612281738513,0.004258607964173,0.004097333353376,0.004050723108044,0.00404713735584,0.004020507297524,0.004127684302133
41,250,108326,8319,16678,16666,24982,25066,16615,0.004814025964659,0.004270182096175,0.004181825033001,0.004055933952446,0.00404411649246,0.004073797833283,0.00416651212082
51,250,108018,8108,16586,16396,24890,25124,16914,0.004966430439073,0.004383083443868,0.004195065503781,0.004060486299719,0.00406418735074,0.004060967896417,0.004199386139347
61,250,107720,8271,16634,16492,24689,24980,16654,0.00505390194656,0.004518387218949,0.004265071974291,0.004084459354368,0.004056094715773,0.004086743304912,0.004247329455997
71,250,108721,8424,16664,16694,25148,24941,16850,0.00538278300095,0.004578106637062,0.004332960704445,0.004168941705106,0.004114306202638,0.004149116320475,0.004335286154469
81,250,108478,8420,16684,16810,25041,24827,16696,0.005677411401425,0.004686127547351,0.004423940749554,0.004147017331576,0.004134873766464,0.004169306480594,0.004392285191467
91,250,108339,8342,16660,16631,25237,24815,16654,0.005825949292736,0.004787883973589,0.004472988695809,0.004148321036573,0.004174614950635,0.004112765401705,0.004426242941138
101,250,108302,8489,16535,16445,25074,25096,16663,0.00621151655083,0.004813386452979,0.004473502280328,0.004172409906676,0.004151985894166,0.004141385104723,0.004466314546361
111,250,108016,8306,16499,16535,25038,25020,16618,0.00648427004575,0.004927741075217,0.004549245721197,0.00417483125649,0.004186653397282,0.004191380611385,0.0045300213024
121,250,108119,8332,16669,16748,24933,24758,16679,0.006696810729717,0.005098205231268,0.004634880164796,0.00424938495167,0.00422379287503,0.004195808741531,0.004614445712594
131,250,108408,8250,16855,16698,25126,24884,16595,0.006961710787879,0.005189894037378,0.004691203557312,0.004281911167715,0.004227584190645,0.004150697619765,0.004657505230241
141,250,108396,8075,16720,16643,25302,24875,16781,0.007112110835913,0.005322409090909,0.00478501682389,0.004292591771401,0.004247878673367,0.004241036350635,0.004718845529355
151,250,108289,8309,16986,16571,25235,24956,16232,0.007614041039836,0.005515519368892,0.004889019069459,0.004340499425401,0.004309059544799,0.004152811175456,0.004824547627183
161,250,108637,8376,16841,16713,24758,25176,16773,0.007957905205349,0.00558701615106,0.004950846347155,0.004354760360288,0.004334973228472,0.004261413223633,0.004896296611652
171,250,108585,8318,16628,16717,25254,25180,16488,0.008348001683097,0.005740043661294,0.005010340611354,0.004384209630158,0.004372367355044,0.004364838367297,0.004986181176037
181,250,108401,8300,16685,16803,24950,24962,16701,0.008758952409639,0.005915385615823,0.00509503535083,0.004457013547094,0.004400127233395,0.004319826896593,0.005075536996891
191,250,107953,8291,16768,16491,25039,24786,16578,0.009175789651429,0.006165060830153,0.005190109635559,0.00448130125005,0.004391433833616,0.004399762516588,0.00517850318194
