Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,Total Avg Wait Time,Total Avg Drop Rate,
1,999479,799403,0.00044746356575452796,0.02467091066708531,99932,0.00046657027359887877,0.014689989192651003,100144,0.00047638557178784837,0.006290941044895351,0.0004522718077491095,0.02183137414593003,
500,1000097,799496,0.00044977472225472695,0.024794370453385634,100019,0.00046548180212138056,0.015207110648976695,100582,0.0004811392542495123,0.006522041717205862,0.00045449997768323415,0.021997866206977922,
1000,1000719,800850,0.0004562382571411926,0.024967222326278328,99599,0.00046677953602248764,0.01551220393779054,100270,0.0004840188238145083,0.006612147202553107,0.00046007095968369333,0.02218704751283827,
1500,1000802,800274,0.00046067911016569213,0.025287589000767236,100819,0.0004736146562482396,0.015413761294994,99709,0.0004902726665167069,0.0063284156896569015,0.0004649305932070022,0.022404031966362977,
2000,998573,797978,0.00046627283657940156,0.02590046342129733,100279,0.0004882641999020674,0.015965456376708983,100316,0.0005058178421145608,0.006948044180389967,0.0004724539256914667,0.022998819315162736,
2500,1001910,801684,0.00047404546751720884,0.026277186522370412,100052,0.000500756052301505,0.016071642745772198,100174,0.0005243808003288626,0.007147563239962466,0.00048174549951400465,0.023345410266391194,
3000,1000243,800031,0.00048549146405126346,0.027425187273993134,100107,0.0005218560020745349,0.01729149809703617,100105,0.0005494449874379066,0.007142500374606663,0.0004955314366044447,0.02438107539867812,
3500,1000669,800821,0.0004980017779254935,0.027826443112755533,100077,0.0005502300246110722,0.018126042946930862,99771,0.000583915446791513,0.007837948902987842,0.0005117910917745085,0.024863366407873132,
4000,1000091,799217,0.0005152115779795911,0.02869558580460626,100319,0.0005811924680620659,0.019278501579959927,100555,0.0006378706844167828,0.008632091890010442,0.0005341629767622792,0.025733658237100422,
4500,997475,797875,0.0005310815904481694,0.029794140686197713,99528,0.0006161193150669637,0.020135037376416687,100072,0.0007115611990364578,0.008863618194899673,0.000557673324623452,0.026730494498608988,
5000,1001766,801311,0.0005492754680813941,0.030029539092811655,100240,0.0006800332660413625,0.021777733439744613,100215,0.0008184318000803425,0.011405478221823081,0.0005892854738899097,0.02734071629502299,
5500,1001157,801090,0.0005802351774424028,0.03212248311675343,100031,0.0007859301960417521,0.02653177514970359,100036,0.001006644077799598,0.013825022991722979,0.0006433942215899487,0.029735595915525735,
6000,998749,799038,0.0006048221366761884,0.03351530215083638,99704,0.0008885889761958664,0.030028885501083208,100007,0.001242167378412663,0.01772875898687092,0.0006969690870689247,0.031586514729927136,
6500,1001225,801821,0.0006450270399778413,0.035988082128056015,99375,0.001067011193710721,0.036236477987421384,100029,0.001727561022699634,0.02447290285817113,0.0007950627133129128,0.034862293690229466,
7000,1000500,800643,0.0006954881669071265,0.03914978336162309,99782,0.0013503703014933134,0.046701809945681586,100075,0.002510435059836985,0.03665251061703722,0.0009423409999538453,0.03965317341329335,
7100,999050,798759,0.000703025968309352,0.0389754606833851,99975,0.0013998950315661114,0.049402350587646915,100316,0.00272696693078065,0.03861796722357351,0.000975988428837224,0.03998298383464291,
7200,999015,798686,0.0007136363793906629,0.03992432570497041,99734,0.001482418394892446,0.05320151603264684,100595,0.0030468278923954165,0.044167205129479595,0.001025324497972251,0.04167705189611767,
7300,999412,798965,0.0007285879968237926,0.040884143861120326,100043,0.0015591964202096473,0.054846416041102325,100404,0.003341358557348011,0.04830484841241385,0.001074220402538014,0.04302730005243083,
7400,998089,797894,0.0007334837971707393,0.04148420717538921,99812,0.0016052758874763595,0.05755820943373542,100383,0.003423984039120504,0.051004652182142396,0.0010912633117282759,0.044049177979118094,
7500,1000343,800878,0.000745845452874051,0.0422174163855169,100080,0.0017284049453927545,0.06459832134292566,99385,0.0041453185630252075,0.06171957538864014,0.0011818870796597,0.04639408682821792,
7600,999329,800306,0.000768851800944702,0.043149745222452414,99277,0.0018281355269966666,0.06759873888211772,99746,0.004544087573933605,0.07115072283600345,0.0012509024348038424,0.04837345859071437,
7700,998898,800011,0.0007797328298749117,0.04414439301459605,99732,0.001899388593250893,0.07132114065696066,99155,0.004967147836922786,0.08014724421360496,0.0013071827232742864,0.05043157559630713,
7800,1001454,801466,0.0007978707565398608,0.044594530522816936,100142,0.0020365882135717356,0.07727027620778494,99846,0.005611840886853942,0.08889690122789096,0.00140169609970435,0.05227898635384151,
