Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time
1,250,1083804,83391,166790,167076,249167,250429,166951,0.00400772299169,0.004027546855327,0.004006253220091,0.003981308696577,0.004013011815724,0.003997278830315,0.004004087740034
11,250,1082443,82806,166545,166858,249538,250211,166485,0.004177724705939,0.004056574751569,0.004041848296156,0.004018728710657,0.004017700412852,0.004014910934919,0.004039453760614
21,250,1082399,83217,166847,167038,249538,249377,166382,0.004417738731269,0.004133020647659,0.00409348333912,0.004030335419856,0.004028025363205,0.004032528110012,0.004085498178583
31,250,1082428,83342,166433,166660,249489,249993,166511,0.004560325370162,0.004210233487349,0.00413974023761,0.00405743882095,0.004041109039053,0.004044484016071,0.004126559862642
41,250,1082566,82809,166447,167014,249727,249996,166573,0.00475649431825,0.004296985797281,0.004198374405738,0.004070512723895,0.004052662270596,0.00406147167308,0.00417201911477
51,250,1084389,83711,166907,166910,250066,249799,166996,0.004955786407999,0.004400295469932,0.004224991600264,0.004074920361025,0.004087950416135,0.004079147764018,0.004219752894026
61,250,1083506,83204,166767,166953,249629,250139,166814,0.005142734483919,0.004464275624074,0.004301119129336,0.004086319041458,0.004097394508653,0.004093229183402,0.004262334042451
71,250,1084217,83548,166292,167053,249605,250295,167424,0.005359615610188,0.004570427386765,0.004350597271525,0.00410974970854,0.004111637108212,0.004118850373901,0.004315668997073
81,250,1083353,83124,166432,167023,250226,249818,166730,0.005576428997642,0.004655849235724,0.004426171293774,0.00417112768857,0.004144648019758,0.004113925640257,0.004377831500905
91,250,1082873,83366,166822,166165,249893,249492,167135,0.005772221217283,0.004730593800578,0.004483187440195,0.004165281212359,0.004168053925577,0.004144822389087,0.004422345530824
101,250,1083191,83601,166072,166268,250094,250168,166988,0.00599935186182,0.004844333951539,0.004550810444583,0.004195166677329,0.004177786295609,0.004166942810262,0.004480168407049
111,250,1083841,83482,166754,166451,250236,250110,166808,0.006235137047507,0.004942034889718,0.004634019321001,0.004227652304225,0.004211016372796,0.004193381054865,0.004545482742395
121,250,1084619,83809,167489,166854,249674,250400,166393,0.006498945077498,0.005051955758289,0.004685861927194,0.004243027608001,0.004245750794728,0.004234729081151,0.004609739329663
131,250,1084287,83670,167252,166936,250199,249855,166375,0.006745430405163,0.005145664004018,0.00480705752504,0.004277448383087,0.004270323067379,0.004244404213373,0.004676641278554
141,250,1082556,83549,166358,166062,249293,250463,166831,0.007029864642306,0.005302613117494,0.004907736754947,0.004310635701765,0.004314082595034,0.004282967577968,0.004761065472825
151,250,1084907,83957,166728,166861,249606,251532,166223,0.007279732315352,0.005422735533324,0.005003426402814,0.004355949680697,0.00435089716219,0.004301891892217,0.00483628318925
161,250,1083547,83247,167537,166776,249660,249063,167264,0.007605479789061,0.0055238619111,0.005074602178971,0.004385419041897,0.004384109410069,0.004313855970203,0.004903564355769
171,250,1084512,82751,167173,166313,250753,250679,166843,0.007871785948206,0.005673689363713,0.005203332800202,0.004409785139161,0.004412698119906,0.004347609273389,0.004981570972013
181,250,1082545,83371,166195,165531,249449,250218,167781,0.008191359117679,0.005759616835645,0.005297888800285,0.004446159948527,0.004469194054784,0.004405389311066,0.00506547970477
191,250,1083599,83586,166574,166220,250184,250112,166923,0.0084988082454,0.005928517097506,0.005432860323667,0.004503090561347,0.004507256976874,0.004425978451142,0.005162136641876
201,250,1084416,83312,167272,167072,249470,250425,166865,0.008844704484348,0.006083611811899,0.005586227171519,0.004557586395158,0.004567544873715,0.004474645449915,0.005270357775061
211,250,1082649,83349,166854,165894,249901,250146,166505,0.009173175706967,0.006222546381867,0.00568625462042,0.004604036226346,0.004622312125719,0.004525554079457,0.005363216359134
221,250,1081793,82882,166025,166457,249659,249769,167001,0.009531335187375,0.006386455063996,0.005829514264945,0.004653610264401,0.004681677894374,0.004577957030197,0.005469001809034
231,250,1083168,83825,166468,165851,250152,250355,166517,0.009883024610796,0.00656623345628,0.005993103327686,0.004708911721673,0.004730963427932,0.004600001987785,0.00557975958854
241,250,1082971,83622,166631,166339,249596,250064,166719,0.010350769342996,0.006726520269338,0.006175164489386,0.004774287156044,0.004805287626368,0.004678965210924,0.005712908602354
251,250,1082206,83212,166188,166499,249749,249880,166678,0.010749488487238,0.006908022552772,0.006345904569997,0.004816017297367,0.004890681226989,0.004719951091326,0.005831324710822
261,250,1083381,83872,166516,166269,250411,249693,166620,0.011327855291397,0.007131889289918,0.006619827382134,0.004909990367835,0.00499433298891,0.004814011445205,0.006015438527166
271,250,1083716,83827,166479,166469,250677,249847,166417,0.011762837069202,0.007322850996222,0.006777263202158,0.004970173314664,0.005066960039544,0.004873955491326,0.006142135424779
281,250,1084396,83266,167570,166854,250193,250554,165959,0.01218196227752,0.007517801438205,0.007017204705911,0.005041752143345,0.005151057899694,0.004932848480649,0.006285185290245
291,250,1084048,82931,167125,167371,249689,250851,166081,0.012680467123271,0.007717228469708,0.007220829653883,0.005104667270084,0.005231071385005,0.005021939631866,0.006430297013601
301,250,1081196,83515,166039,166443,249577,249123,166499,0.013329118577501,0.007932436132475,0.00742847951551,0.005220186078845,0.005358739249287,0.005063441005652,0.006610804109523
311,250,1083988,83079,167174,166605,250098,250765,166267,0.014043158403447,0.008305482563078,0.007853459962186,0.005340468272437,0.005520667820469,0.0052033665971,0.006871622979221
321,250,1083149,83172,167349,166606,249414,249554,167054,0.014545394447651,0.008518885162146,0.008112015257554,0.005382529781809,0.005638628505253,0.005293163456128,0.007035755545174
331,250,1082317,83372,166761,166790,249449,249923,166022,0.015295494566521,0.008731718093559,0.008389108106002,0.005529182494217,0.005785688123942,0.005448035290504,0.007262442192999
341,250,1083569,83586,166554,166665,249836,249955,166973,0.016156227454358,0.009040660032182,0.008806145069451,0.005656284414576,0.005978702014363,0.005588081839579,0.007534801577934
351,250,1083942,83592,166687,166657,250479,250055,166472,0.016856856660925,0.009422567140809,0.009258837456572,0.005774357303407,0.006165252024555,0.005747843523235,0.007811884980931
361,250,1084195,83353,166022,166407,250528,250652,167233,0.017727684666419,0.009721374745516,0.009624727247051,0.005922042366522,0.006392582014107,0.00587512973516,0.008081301087904
371,250,1081501,83541,166225,166910,249508,249484,165833,0.018730214673035,0.010190043206497,0.010126699898149,0.006074514536608,0.006595496528836,0.006019703979304,0.008421818079687
381,250,1083211,83498,166297,166396,250293,248921,167806,0.019711520707083,0.010477497748005,0.01060109886055,0.006226965919942,0.006825536391064,0.006219707978261,0.008727310825869
391,250,1082888,83364,166498,165931,250479,250302,166314,0.020858064860132,0.010930232813607,0.011149718985603,0.006425617959989,0.007149165663878,0.006465034134228,0.0091264435057
401,250,1082777,82847,166528,166986,250236,250014,166166,0.022018062198993,0.011296338501633,0.011700647257854,0.006565260478109,0.007394836697145,0.006699690881408,0.009479393631376
411,250,1080414,83091,165017,166325,250105,249413,166463,0.023215905284568,0.011684246271596,0.012228321328724,0.006750555830551,0.00775435263198,0.006939562965944,0.009874522346989
421,250,1083264,83353,166339,166145,249922,249797,167708,0.024614982856046,0.012360481342319,0.013193421210389,0.007049079060667,0.008251073147396,0.007313037171751,0.010476718355821
431,250,1082551,83880,166813,166570,249515,249632,166141,0.026629018264187,0.013132740715652,0.014197787488744,0.007402460317015,0.008791116287175,0.007820026206656,0.011205084279632
441,250,1082730,83252,166075,166643,250246,249737,166777,0.028371128285206,0.01361348918862,0.015032518665651,0.007644016723544,0.009267250547576,0.008166674109739,0.011745449709531
451,250,1082487,83219,166775,167005,249114,249741,166633,0.030563967867915,0.014487177088892,0.016210797976109,0.007960275038737,0.009867660544324,0.008558921348112,0.012508658511373
461,250,1083673,83665,166226,166614,250078,250756,166334,0.032635007255125,0.015216362319974,0.017148235868535,0.008291031810075,0.010491569609501,0.009152328291269,0.013235977229293
471,250,1083931,83299,166743,166811,250798,249680,166600,0.035913241035307,0.016293742537918,0.018872110730108,0.008824177617046,0.01160075238305,0.009925814927971,0.014410218879246
481,250,1082727,83485,166246,166590,249814,250040,166552,0.038726164843984,0.017439044843184,0.020604867158893,0.009329996889686,0.012497640365542,0.010740805238004,0.015525027615456
491,250,1083187,82978,166848,166785,249709,250422,166445,0.042347326122587,0.018551509661488,0.022379460742873,0.009793605356635,0.01346097013042,0.011490760605606,0.016682983807967
501,250,1081062,82983,166396,165922,249127,250106,166528,0.04665336371305,0.020316590170437,0.024840224943046,0.010512565021054,0.015100106662775,0.012760580719158,0.018402423053442
511,250,1083117,83342,166929,166537,249567,249990,166752,0.052291301204675,0.022374612745539,0.027914632189844,0.011526962402882,0.017297216216649,0.014512379245826,0.020646616412631
521,250,1081283,82826,166645,167116,249295,249171,166230,0.057611560029459,0.024149297056617,0.030922980271189,0.01233753132634,0.018882921632132,0.01570666914516,0.022524630832076
531,250,1082000,83292,166408,166364,250213,249029,166694,0.064837533244489,0.027076243648142,0.03520661577625,0.013581600144677,0.021494005585695,0.017829500881855,0.025403197091497
541,250,1084125,83542,166621,166555,250336,250160,166911,0.075442138349573,0.031493541726433,0.041605289754135,0.015561745861562,0.026100590721938,0.021417936912486,0.029959201962873
551,250,1084919,83063,166280,166857,251095,250759,166865,0.086617985673525,0.035470469220592,0.047866311985712,0.017218739883311,0.029829759892965,0.024877705666257,0.034135679431368
561,250,1081679,83309,165923,166652,250176,249613,166006,0.100950786157558,0.040918305364537,0.056408257452656,0.019526181955903,0.035717859686795,0.029001231768731,0.039951731182726
571,250,1083548,83491,166430,166954,249920,249653,167100,0.126688437053096,0.051916447869975,0.072931871575404,0.024172776340429,0.04654312716851,0.037903148479952,0.051117785372683
581,250,1082829,83016,166590,166578,249653,249778,167214,0.167660952912692,0.067491706633051,0.097229752134135,0.030932146110802,0.063132095344666,0.050820614494002,0.067736967279229
591,250,1083394,83391,166857,166620,249527,250336,166663,0.239277942283939,0.098508204408566,0.145941589064938,0.043314579845067,0.094712221650102,0.075732478864535,0.099545535536472
601,250,1084498,83652,167232,166619,249855,251081,166059,0.508594920097547,0.217507107341896,0.329310343580264,0.089834605623262,0.213529371206901,0.169556201018915,0.219459710938148
611,250,1083459,83516,167135,166387,249974,249669,166778,2.16346913961397,1.01252764260628,1.46535029341836,0.380704665797243,0.996060026731392,0.798272703695931,0.98823697011239
