Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time,
1,250,108488,8289,16534,16877,25050,25010,16728,0.003989037760887924,0.004012984093383331,0.0039891504414291635,0.004013506786427146,0.003966295321871251,0.0040201542324246765,0.0039979097780399675,
11,250,108637,8412,16532,16651,25207,25030,16805,0.0041941356395625295,0.0040789758045003625,0.004040288210918263,0.004009200023802912,0.003985690211745905,0.00404899714370723,0.0040396427000009205,
21,250,108291,8385,16764,16851,24750,25111,16430,0.004393417889087656,0.0041970025650202815,0.004143098510474156,0.00406339098989899,0.004080353988291983,0.004035662751065125,0.00412175848408455,
31,250,108287,8254,16707,16579,25047,25033,16667,0.004525613520717228,0.004217569222481595,0.004125340310030761,0.0040398770311813785,0.004032570367115408,0.004035995860082798,0.00411511480602473,
41,250,107947,8245,16870,16807,24531,24999,16495,0.004713485021224984,0.0043296127445168935,0.004200251145356102,0.00406806978924626,0.004066075723028921,0.0040873754471051835,0.00418130913318573,
51,250,108503,8217,16612,16652,25271,25166,16585,0.004999959352561762,0.004371701902239345,0.004281513151573385,0.004079921886747655,0.004085519073352937,0.004037595417545975,0.004220035704081914,
61,250,108529,8242,16626,16757,25160,24976,16768,0.005190457898568308,0.0044816284734752795,0.004296688727099123,0.0041093773449920505,0.004047153947789878,0.004063998628339695,0.00425609470279833,
71,250,109006,8467,16662,16853,25150,25059,16815,0.005505593244360458,0.004589439383027247,0.004311317806918649,0.004091278648111332,0.004117225707330699,0.004084151769253643,0.004316165761517715,
81,250,108647,8331,16677,16723,24838,25382,16696,0.005738610010803025,0.004637328716195959,0.004367984691741912,0.004171923705612368,0.004152053935860058,0.004115262937230474,0.0043803234603808664,
91,250,109354,8390,16808,16871,25095,25357,16833,0.005963014779499403,0.004733677415516421,0.004387591725446032,0.004148765570830843,0.004134312024293095,0.004127603516901324,0.0044081000786436704,
101,250,108251,8248,16494,16679,25051,24867,16912,0.006374517701260912,0.004870499151206499,0.004455976377480664,0.004161510239112211,0.004161615192825833,0.0041868768921475875,0.0044875114779540145,
111,250,108629,8289,16814,16719,25043,25179,16585,0.006829732175171914,0.004945112882122041,0.004565445660625635,0.004253682306432935,0.0042037733825807215,0.00419749333735303,0.004585107724456637,
121,250,108425,8167,16605,16777,24904,25198,16774,0.006896139831027305,0.005179151761517615,0.004548909638195148,0.00423879786379698,0.004157236169537264,0.004214151961368785,0.0046081889785566064,
131,250,108508,8398,16503,16649,25005,25304,16649,0.007384055608478209,0.005158579955159668,0.004601554207459907,0.004258053829234153,0.00430517432026557,0.004224721064328188,0.00469553183175434,
141,250,109115,8371,16758,16673,25243,25199,16871,0.007774063433281566,0.005339754326291919,0.004620160439033167,0.004203504417066117,0.0041890103972379855,0.004186702033074506,0.004709655024515419,
151,250,108672,8414,16588,16581,25152,25102,16835,0.00818896280009508,0.005406134735953701,0.004772467462758579,0.004320352218511451,0.0042796417815313525,0.004187057261657262,0.004824548687794463,
161,250,108426,8242,16614,16660,24987,25098,16825,0.00852092429022082,0.005605795232936078,0.004769064105642257,0.004361707607956137,0.004316221890190453,0.00428012618127786,0.0049079039713721805,
171,250,108267,8309,16662,16775,24986,24902,16633,0.009021454928390902,0.005811297083183292,0.004821792369597615,0.004341144120707596,0.004268051321179022,0.00426335760235676,0.004972299370999474,
181,250,108562,8544,16805,16495,25001,25056,16661,0.009637499882958802,0.006004720321332937,0.004947488632919067,0.004395833806647734,0.004367910320881225,0.004299206110077426,0.005119955638252795,
191,250,108800,8370,16847,16657,25099,25240,16587,0.009893997491039426,0.006190541817534279,0.004928743951491865,0.0044167443722857485,0.0043264635103011095,0.004242773859046241,0.005143691185661764,
