Lambda,Mu,Generated Packets,Valid LP,Dropped LP,Valid HP,Dropped HP,Avg LP Wait,Avg HP Wait,Avg Total Wait
1,250,999643,799749,0,199681,213,0.00062798164251,0.000628983946148,0.000628482794329
100,250,999459,799392,0,199847,220,0.000635911329967,0.000632634594486,0.000634272962227
200,250,999731,799864,0,199622,245,0.00064468663767,0.00063874098414,0.000641713810905
300,250,1002377,802764,0,199388,225,0.000653115763049,0.000646729946986,0.000649922855017
400,250,1001227,801116,0,199890,221,0.000663718946487,0.000655811657694,0.000659765302091
500,250,1001023,800946,0,199844,233,0.000673664521674,0.000661551101378,0.000667607811526
600,250,999345,798650,0,200466,229,0.000686627533396,0.000668085320022,0.000677356426709
700,250,997852,798767,0,198846,239,0.000698812309618,0.000675769287445,0.000687290798532
800,250,1000170,799499,0,200417,254,0.00071183387871,0.000684921622152,0.000698377750431
900,250,998326,798556,0,199506,264,0.000728551594261,0.000687041156658,0.00070779637546
1000,250,999578,799576,0,199746,256,0.000746468045507,0.000701690431054,0.00072407923828
1100,250,1000836,800894,0,199697,245,0.000765800933808,0.000703179380492,0.00073449015715
1200,250,1000259,800140,0,199854,265,0.000783515030586,0.000711758834108,0.000747636932347
1300,250,999255,799110,0,199887,258,0.000804515287147,0.00071752799419,0.000761021640669
1400,250,999387,800141,0,198959,287,0.00083244822616,0.000727976975156,0.000780212600658
1500,250,998846,799304,0,199278,264,0.000857129208702,0.000733540610572,0.000795334909637
1600,250,1000933,801213,0,199443,277,0.000890052873264,0.000741589215488,0.000815821044376
1700,250,1001170,800726,0,200158,286,0.000922986012634,0.00074915197938,0.000836068996007
1800,250,999044,799267,0,199510,267,0.00096210398178,0.000753596820224,0.000857850401002
1900,250,998156,798451,0,199426,279,0.000999852923197,0.00075991981216,0.000879886367678
2000,250,1000698,801385,0,199056,257,0.001054343043643,0.000771330984307,0.000912837013975
2100,250,1001048,801068,0,199711,269,0.001106599518231,0.000778271862362,0.000942435690297
2200,250,998943,799821,0,198845,277,0.001170884529913,0.000785370444792,0.000978127487352
2300,250,998434,798582,0,199550,302,0.001239551234081,0.00079176857922,0.001015659906651
2400,250,998924,799065,0,199572,287,0.001332441612577,0.00080172931605,0.001067085464313
2500,250,1000951,800633,0,199991,327,0.001420930617114,0.000805478251675,0.001113204434395
2600,250,1000589,800690,0,199602,297,0.001541203968216,0.000816818409343,0.00117901118878
2700,250,999082,798783,0,200005,294,0.001687604046754,0.000821601889232,0.001254602967993
2800,250,1000963,800723,0,199917,323,0.001883252948668,0.000829588870088,0.001356420909378
2900,250,1000792,801188,0,199291,313,0.00211201130326,0.00083826404954,0.0014751376764
3000,250,999154,800198,0,198628,328,0.002422512215233,0.000845509401469,0.001634010808351
3100,250,999763,800230,0,199201,332,0.002824052182954,0.000851709344535,0.001837880763744
3200,250,998970,799722,0,198908,340,0.003353698934661,0.000856044730087,0.002104871832374
3300,250,1000359,800885,0,199133,341,0.004479329205688,0.000865700330123,0.002672514767905
3400,250,999927,799353,0,200230,344,0.006170775163548,0.000875926626664,0.003523350895106
3500,250,999852,799854,0,199625,373,0.010161271515783,0.000878281069603,0.005519776292693
3600,250,1000696,800170,75,200113,338,0.033920539474188,0.000889716328344,0.017405127901266
3700,250,1000728,91633,708891,199840,364,0.265631158019424,0.000888421988198,0.133259790003811
3800,250,999640,33377,766454,199481,328,0.344842950629914,0.000896204970841,0.172869577800377
3900,250,1000246,18397,782018,199502,329,0.375143540336545,0.000897216813331,0.188020378574938
4000,250,1000565,14473,785799,199922,371,0.34858430103016,0.000896997051683,0.174740649040921
4100,250,1000051,12970,786850,199858,373,0.317803260855944,0.000903564492512,0.159353412674228
4200,250,1000228,9977,789500,200417,334,0.329768828955804,0.000905458780642,0.165337143868223
4300,250,999207,7412,791363,200056,376,0.373563780919401,0.000907174127652,0.187235477523527
4400,250,999121,7134,792514,199112,361,0.336771204618171,0.000908520143146,0.168839862380658
4600,250,1001455,5746,795517,199801,391,0.351862083044659,0.00091922521113,0.176390654127894
4700,250,999566,4980,794647,199596,343,0.308931026563397,0.000919282417132,0.154925154490264
4800,250,1000681,5318,795240,199754,369,0.333668108944166,0.000922452167578,0.167295280555872
4900,250,999739,4458,795540,199350,391,0.321499277923762,0.000922697421047,0.161210987672404
5000,250,1000237,4584,795513,199757,383,0.342087045125903,0.000927391865546,0.171507218495725
5100,250,998275,3727,795349,198816,383,0.353837772530781,0.000933184301767,0.177385478416274
5200,250,999425,3859,795757,199432,377,0.348053534578001,0.000934883372097,0.174494208975049
5300,250,1000355,3611,796749,199606,389,0.342451218160558,0.000934875169547,0.171693046665053
5400,250,1000651,3327,796989,199939,396,0.34025391792501,0.000942093466908,0.170598005695959
